str_no_string|¡NO STRING!
str_kingdom_13_adjective|Tyroshí
str_kingdom_14_adjective|Mymeses
str_kingdom_15_adjective|Lysení
str_kingdom_16_adjective|Volantene
str_kingdom_17_adjective|Norvoshí
str_kingdom_18_adjective|Lorathí
str_kingdom_19_adjective|Hombres de las Hermanas
str_kingdom_20_adjective|Targaryens
str_kingdom_21_adjective|Salvajes
str_kingdom_22_adjective|Dothraki
str_credits_1|Mount&Blade: Warband Copyright 2008-2010 Taleworlds Entertainment
str_credits_2|Diseño del juego:^Armagan Yavuz^Steve Negus^Cem Cimenbicer
str_credits_3|Programación:^Armagan Yavuz^Cem Cimenbicer^Serdar Kocdemir^Ozan Gumus
str_credits_4|Artistas CG:^Ozgur Saral^Mustafa Ozturk^Pinar Cekic^Ozan Unlu^Yigit Savtur^Umit Singil
str_credits_5|Artista conceptual:^Ganbat Badamkhand
str_credits_6|Guión:^Steve Negus^Armagan Yavuz^Ryan A. Span
str_credits_7|Música original:^Jesse Hopkins
str_credits_8|Talento vocal:^Tassilo Egloffstein
str_credits_9|{***}
str_credits_10|Paradox Interactive^^Presidente y CEO:^Theodore Bergqvist^^Vice Presidente ejecutivo:^Fredrik Wester^^Director financiero jefe:^Lena Eriksson^^Finanzas y contaduría:^Annlouise Larsson^^VP Ventas y Marketing US:^Reena M. Miranda^^VP Ventas y Marketing EU:^Martin Sirc^^Jefe de distribución Nordic:^Erik Helmfridsson^^Director de PPRR y Marketing:^Susana Meza^^PPRR & Marketing:^Sofia Forsgren^^Jefe de producto:^Boel Bermann
str_credits_11|Logotipo:^Jason Brown^^Arte de portada:^Piotr Fox Wysocki^^Diseño:^Christian Sabe^Melina Grundel^^Póster:^Piotr Fox Wysocki^^Arte conceptual y mapa:^Ganbat Badamkhand^^Edición del manual:^Digital Wordsmithing: Ryan Newman, Nick Stewart^^Página Web:^Martin Ericsson^^Recursos de Marketing:^2Coats^^Localización:^S&H Entertainment Localization^^GamersGate:^Ulf Hedblom^Andreas Pousette^Martin Ericson^Christoffer Lindberg
str_credits_12|Gracias a nuestros socios en todo el mundo, en especial a socios antiguos como:^Koch Media (Alemania y Gran Bretaña)^Blue Label (Italia y Francia)^Friendware (España)^New Era Interactive Media Co. Ltd. (Asia)^Snowball (Rusia)^Pinnacle (Reino Unido)^Porto Editora (Portugal)^Hell-Tech (Grecia)^CD Projekt (Polonia, República Checa, Eslovaquia y Hungría)^Paradox Scandinavian Distribution (Escandinavia)
str_multi_scene_1|Ruinas
str_multi_scene_2|Aldea
str_multi_scene_3|Castillo
str_multi_scene_4|Fuerte en ruinas
str_multi_scene_5|Escena 5
str_multi_scene_6|Escena 6
str_multi_scene_7|Campo al lado del río
str_multi_scene_8|Castillo Rudkhan
str_multi_scene_9|Aldea nevada
str_multi_scene_10|Castillo Turin
str_multi_scene_11|Ciudad nórdica
str_multi_scene_16|Asalto al puerto
str_multi_scene_17|Castillo de Brunwud
str_multi_scene_18|Batalla en el hielo
str_multi_scene_19|Castillo de Mahdaar
str_multi_scene_20|Castillo Jameyyed
str_multi_scene_21|La Arena
str_multi_scene_22|Escondite del Bosque
str_multi_scene_12|Llanuras aleatorias (Media)
str_multi_scene_13|Llanuras aleatorias (Grandes)
str_multi_scene_14|Estepa aleatoria (Media)
str_multi_scene_15|Estepa aleatoria (Grande)
str_muiderslot|Muiderslot
str_multi_scene_end|fin multi escenas
str_multi_game_type_1|Combate mortal
str_multi_game_type_2|Combate mortal en equipo
str_multi_game_type_3|Batalla
str_multi_game_type_4|Lucha y destrucción
str_multi_game_type_5|Capturar la bandera
str_multi_game_type_6|Conquista
str_multi_game_type_7|Asedio
str_multi_game_type_8|Duelo
str_multi_game_types_end|fin de tipo multijuego
str_poll_kick_player_s1_by_s0|{s0} inició una votación para echar al jugador {s1}.
str_poll_ban_player_s1_by_s0|{s0} inició una votación para banear al jugador {s1}.
str_poll_change_map_to_s1_by_s0|{s0} inició una votación para cambiar el mapa a {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} inició una votación para cambiar el mapa a {s1} y las facciones a {s2} y {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} inició una votación para cambiar el número de bot a {reg0} y {reg1}.
str_poll_kick_player|Propuesta para echar al jugador {s0}: 1 = Aceptar, 2 = Rechazar
str_poll_ban_player|Propuesta para banear al jugador {s0}: 1 = Aceptar, 2 = Rechazar
str_poll_change_map|Propuesta para cambiar mapa a {s0}: 1 = Aceptar, 2 = Rechazar
str_poll_change_map_with_faction|Propuesta para cambiar mapa a {s0} y facciones a {s1} contra {s2}: 1 = Aceptar, 2 = Rechazar
str_poll_change_number_of_bots|Propuesta para cambiar número de bots a {reg0} para {s0} y {reg1} para {s1}: 1 = Aceptar, 2 = Rechazar
str_poll_time_left|(quedan {reg0} segundos)
str_poll_result_yes|La propuesta es aceptada por la mayoría.
str_poll_result_no|La propuesta es rechazada por la mayoría.
str_total_item_cost_reg0|Coste total: {reg0}
str_server_name|Nombre del servidor:
str_game_password|Contraseña del juego:
str_map|Mapa:
str_game_type|Tipo de partida:
str_max_number_of_players|Número máximo de jugadores:
str_number_of_bots_in_team_reg1|Número máximo bots en el equipo {reg1}:
str_team_reg1_faction|Facción del equipo {reg1}:
str_enable_valve_anti_cheat|Activar anti-trucos (Requiere cuenta Steam válida)
str_allow_friendly_fire|Permitir el fuego amigo a distancia
str_allow_melee_friendly_fire|Permitir el fuego amigo cuerpo a cuerpo
str_friendly_fire_damage_self_ratio|Daño propio por fuego amigo (%):
str_friendly_fire_damage_friend_ratio|Daño a amigos por fuego amigo (%):
str_spectator_camera|Cámara del espectador:
str_control_block_direction|Controlar dirección de bloqueo:
str_map_time_limit|Límite de tiempo del mapa (mn):
str_round_time_limit|Límite de tiempo de la ronda (s):
str_players_take_control_of_a_bot_after_death|Volverse un bot al morir:
str_team_points_limit|Límite de puntos del equipo:
str_point_gained_from_flags|Puntos de equipo ganados por banderas (%):
str_point_gained_from_capturing_flag|Puntos ganados por capturar banderas:
str_respawn_period|Periodo de reaparición (segundos):
str_add_to_official_game_servers_list|Añadir a la lista de servidores oficiales del juego
str_combat_speed|Velocidad de combate:
str_combat_speed_0|Muy lenta
str_combat_speed_1|Lenta
str_combat_speed_2|Media
str_combat_speed_3|Rápida
str_combat_speed_4|Muy rápida
str_off|No
str_on|Sí
str_defender_spawn_count_limit|Recuento de spawn defensor:
str_unlimited|Ilimitado
str_automatic|Automático
str_by_mouse_movement|Por movimiento del ratón
str_free|Libre
str_stick_to_any_player|Seguir a cualquier jugador
str_stick_to_team_members|Seguir a miembros del equipo
str_stick_to_team_members_view|Seguir la visión de miembros del equipo
str_make_factions_voteable|Permitir votaciones para cambiar de facción
str_make_kick_voteable|Permitir votaciones para echar a otros jugadores
str_make_ban_voteable|Permitir votaciones para banear a otros jugadores
str_bots_upper_limit_for_votes|Límite superior de bots para votación:
str_make_maps_voteable|Permitir votaciones para cambiar los mapas
str_valid_vote_ratio|Umbral para aceptar la votación (%):
str_auto_team_balance_limit|Umbral auto balance equipo (dif.):
str_welcome_message|Mensaje de bienvenida:
str_initial_gold_multiplier|Dinero inicial (%):
str_battle_earnings_multiplier|Bono de dinero por combate (%):
str_round_earnings_multiplier|Bono de dinero por ronda (%):
str_allow_player_banners|Permitir estandartes individuales
str_force_default_armor|Forzar armadura mínima
str_respawning_in_reg0_seconds|Reaparición en {reg0} segundos...
str_no_more_respawns_remained_this_round|No quedan vidas para esta ronda
str_reg0_respawns_remained|(quedan {reg0} vidas)
str_this_is_your_last_respawn|(Ésta es tu última vida)
str_wait_next_round|(Espera a la próxima ronda)
str_yes_wo_dot|Sí
str_no_wo_dot|No
str_we_resign|No nos quedan fuerzas para seguir luchando. Nos rendimos ante vos, {playername}.
str_i_resign|No quiero morir hoy. Me rindo.
str_s1_returned_flag|¡{s1} ha devuelto su bandera a la base!
str_s1_auto_returned_flag|¡La bandera de {s1} regresó automáticamente a su base!
str_s1_captured_flag|¡{s1} ha capturado la bandera enemiga!
str_s1_taken_flag|¡{s1} ha tomado la bandera enemiga!
str_s1_neutralized_flag_reg0|{s1} ha neutralizado la bandera {reg0}.
str_s1_captured_flag_reg0|¡{s1} ha capturado la bandera {reg0}!
str_s1_pulling_flag_reg0|{s1} ha comenzado a tirar de la bandera {reg0}.
str_s1_destroyed_target_0|¡{s1} destruyó el objetivo A!
str_s1_destroyed_target_1|¡{s1} destruyó el objetivo B!
str_s1_destroyed_catapult|¡{s1} destruyó la catapulta!
str_s1_destroyed_trebuchet|¡{s1} destruyó el trebuchet!
str_s1_destroyed_all_targets|¡{s1} destruyó todos los objetivos!
str_s1_saved_1_target|{s1} salvó un objetivo.
str_s1_saved_2_targets|{s1} salvó todos los objetivos.
str_s1_defended_castle|¡{s1} defendió su castillo!
str_s1_captured_castle|¡{s1} capturó el castillo!
str_auto_team_balance_in_20_seconds|Se realizará un auto-balance en 20 segundos.
str_auto_team_balance_next_round|La próxima ronda se realizará un auto-balance.
str_auto_team_balance_done|Los equipos se han auto-balanceado.
str_s1_won_round|¡{s1} ha ganado la ronda!
str_round_draw|Se acabó el tiempo. Ronda empatada.
str_round_draw_no_one_remained|No queda nadie. Ronda empatada.
str_death_mode_started|¡Aprisa! ¡Conviértete en amo del campo!
str_reset_to_default|Restaurar valores de inicio
str_done|Hecho
str_player_name|Nombre del jugador
str_kills|Muertes
str_deaths|Bajas
str_ping|Ping
str_dead|Muerto
str_reg0_dead|{reg0} Muertos
str_bots_reg0_agents|Bots ({reg0} agentes)
str_bot_1_agent|Bot (1 agente)
str_score|Puntuación
str_score_reg0|Puntuación: {reg0}
str_flags_reg0|(Banderas: {reg0})
str_reg0_players|({reg0} jugadores)
str_reg0_player|({reg0} jugador)
str_open_gate|Abrir puerta de entrada
str_close_gate|Cerrar puerta de entrada
str_open_door|Abrir puerta
str_close_door|Cerrar puerta
str_raise_ladder|Subir escalera
str_drop_ladder|Tirar escalera
str_back|Atrás
str_start_map|Comenzar mapa
str_choose_an_option|Elegir una opción:
str_choose_a_poll_type|Elegir un tipo de propuesta:
str_choose_faction|Elegir facción
str_choose_a_faction|Elegir una facción:
str_choose_troop|Elegir tropa
str_choose_a_troop|Elegir una clase de tropas:
str_choose_items|Elegir equipo
str_options|Opciones
str_redefine_keys|Redefinir claves
str_submit_a_poll|Hacer una propuesta
str_administrator_panel|Panel de administrador
str_kick_player|Echar a un jugador
str_ban_player|Banear a un jugador
str_mute_player|Enmudecer a un jugador
str_unmute_player|Cancelar enmudecer a un jugador
str_quit|Salir
str_poll_for_changing_the_map|Cambiar el mapa
str_poll_for_changing_the_map_and_factions|Cambiar el mapa y las facciones
str_poll_for_changing_number_of_bots|Cambiar el número de bots en los equipos
str_poll_for_kicking_a_player|Echar a un jugador
str_poll_for_banning_a_player|Banear a un jugador
str_choose_a_player|Elegir a un jugador:
str_choose_a_map|Elegir un mapa:
str_choose_a_faction_for_team_reg0|Elegir una facción para el equipo {reg0}:
str_choose_number_of_bots_for_team_reg0|Elegir número de bots para el equipo {reg0}:
str_spectator|Espectador
str_spectators|Espectadores
str_command|Comando:
str_profile_banner_selection_text|Elegir un estandarte para tu perfil:
str_use_default_banner|Utilizar estandarte de la facción
str_party_morale_is_low|¡La moral de algunas tropas está baja!
str_weekly_report|Informe semanal
str_has_deserted_the_party|ha desertado del grupo.
str_have_deserted_the_party|han desertado del grupo.
str_space| 
str_us_|Nosotros 
str_allies_|Aliados 
str_enemies_|Enemigos 
str_routed|vencidos
str_weekly_budget|Presupuesto semanal
str_income_from_s0|Ingresos de {s0}:
str_mercenary_payment_from_s0|Pago de mercenarios de {s0}:
str_s0s_party|Ejército de {s0}
str_loss_due_to_tax_inefficiency|Pérdidas por ineficacia en los impuestos:
str_wages_for_s0|Salario para {s0}:
str_earlier_debts|Deudas anteriores:
str_net_change|Cambio neto:
str_earlier_wealth|Riqueza anterior:
str_new_wealth|Nueva riqueza:
str_new_debts|Nuevas deudas:
str_maximum_seconds_for_round_is_reg0|Segundos máximos por ronda son {reg0}.
str_respawn_period_is_reg0_seconds|Periodo de reaparición es {reg0} segundos.
str_bots_upper_limit_for_votes_is_reg0|Límite superior de bots para votar es {reg0}.
str_map_is_voteable|Se puede votar el mapa.
str_map_is_not_voteable|No se puede votar el mapa.
str_factions_are_voteable|Se pueden votar las facciones.
str_factions_are_not_voteable|No se pueden votar las facciones.
str_players_respawn_as_bot|Los jugadores reaparecen como bot.
str_players_do_not_respawn_as_bot|Los jugadores no reaparecen como bot.
str_kicking_a_player_is_voteable|Se puede votar echar a un jugador.
str_kicking_a_player_is_not_voteable|No se puede votar echar a un jugador.
str_banning_a_player_is_voteable|Se puede votar banear a un jugador.
str_banning_a_player_is_not_voteable|No se puede votar banear a un jugador.
str_player_banners_are_allowed|Se permiten estandartes de jugadores.
str_player_banners_are_not_allowed|No se permiten estandartes de jugadores.
str_default_armor_is_forced|Armadura estándar obligatoria.
str_default_armor_is_not_forced|Armadura estándar no obligatoria.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Porcentaje de votos positivos para que una propuesta sea aceptada es {reg0}%.
str_auto_team_balance_threshold_is_reg0|Umbral de auto balance de equipo es {reg0}.
str_starting_gold_ratio_is_reg0|Proporción de dinero al comenzar es {reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Proporción de bonificación de dinero por combate es {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Proporción de bonificación de dinero por ronda es {reg0}%.
str_point_gained_from_flags_is_reg0|Puntos ganados por el equipo por banderas es {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Puntos ganados por el equipo por capturar banderas es {reg0}%.
str_map_time_limit_is_reg0|Límite de tiempo del mapa es {reg0} minutos.
str_team_points_limit_is_reg0|Límite de puntos del equipo es {reg0}.
str_defender_spawn_count_limit_is_s1|Recuento de spawn defensor es {s1}.
str_system_error|¡ERROR DE SISTEMA!
str_prisoner_granted_parole|Se concede libertad condicional al prisionero
str_prisoner_not_offered_parole|No se ofrece libertad condicional al prisionero
str__age_reg1_family_|^Edad: {reg1}^Familia: 
str_s49_s12_s11_rel_reg0|{s49} {s12} ({s11}, rel: {reg0}),
str_s49_s12_s11|{s49} {s12} ({s11}),
str_lord_info_string|{reg6?:{reg4?{s54} gobierna {s56}.^:{s54} rinde vasallaje a {s55} del {s56}.^}}Renombre: {reg5}. Controversia: {reg15}.^{reg9?{reg3?Ella:Él} es {reg3?la señora:el señor} de {s58}.:{reg3?Ella:Él} no tiene feudos.}{s59}^{s49}
str_foreign_relations__|Relaciones externas: ^
str_s21__the_s5_is_at_war_with_the_s14|{s21}.^* {s5} está en guerra con el {s14}
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21}. {s5} ha estado ganando la contienda.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21}. {s5} se ha llevado la peor parte en la contienda
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21}. La contienda lleva ya tiempo en marcha, y la guerra puede terminar pronto con una tregua.
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21}. La contienda ha comenzado hace relativamente poco, y la guerra puede aún continuar algún tiempo
str__however_the_truce_is_no_longer_binding_on_the_s14| No obstante, la tregua ya no es extensiva al {s14}
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}.^* {s5} está obligado por la tregua a no atacar a {s14}.{s18} La tregua expira en {reg1} días
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}.^* {s5} ha sufrido recientemente provocaciones por parte de súbditos de {s14}, y hay riesgo de guerra.
str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}.^* {s5} no tiene asuntos pendientes con {s14}
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21}. {s14} fue provocado recientemente por súbditos de {s5}, y hay riesgo de guerra.^
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|{s5} está gobernado por {s6}.^Ocupa {s8}.^Sus vasallos son {s10}.^^{s21}
str_reg4_killed_reg5_wounded_reg6_routed|{reg4} muertos, {reg5} heridos, {reg6} vencidos
str_reg4_killed_reg5_routed|{reg4} muertos, {reg5} vencidos
str_reg4_killed_reg5_wounded|{reg4} muertos, {reg5} heridos
str_reg4_wounded_reg5_routed|{reg4} heridos, {reg5} vencidos
str_s42|{s42}
str_s4_awarded_to_s5|{s4} concedido a {s5}
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|Calculando salida para {s4}, fuerzas de {reg3} vs {reg4} enemigos
str_current_wealth_reg1_taxes_last_collected_from_s4|Riqueza actual: {reg1}. Últimos impuestos recaudados de {s4}
str_s4_has_reg4_chance_of_recruiting_troops|{s4} tiene {reg4} probabilidad de reclutar tropas
str_s4_has_reg4_chance_of_going_to_s5|{s4} tiene {reg4} probabilidad de ir a {s5}
str_s4_has_reg5_chance_of_patrolling_s6|{s4} tiene {reg5} probabilidad de patrullar {s6}
str_s4_has_reg5_chance_of_raiding_s6|{s4} tiene {reg5} probabilidad de asaltar {s6}
str_s4_has_reg5_chance_of_besieging_s6|{s4} tiene {reg5} probabilidad de asediar {s6}
str_sum_chances_reg6|Suma de probabilidades: {reg6}
str_deciding_faction_ai_for_s3|Decidiendo IA de la facción para {s3}
str_lords_of_the_s1_gather_for_a_feast_at_s2|Señores del {s1} se reúnen para un banquete en {s2}.
str_players_kingdom_has_had_reg3_days_of_peace|El reino del jugador ha tenido {reg3} días de paz
str_s4_is_present_at_the_center_and_is_attending_the_feast|{s4} está presente en el centro y se encuentra en el banquete
str_s4_is_present_at_the_center_and_is_awaiting_the_player_in_private|{s4} está presente en el centro y espera al jugador en privado
str_s4_is_present_at_the_center_and_is_allowed_to_meet_the_player|{s4} está presente en el centro y se le concede audiencia con el jugador
str_s4_is_present_at_the_center_and_is_not_allowed_to_meet_the_player|{s4} está presente en el centro y no se le concede audiencia con el jugador
str_no_relation|sin parentesco
str_niece|sobrina
str_nephew|sobrino
str_aunt|tía
str_uncle|tío
str_cousin|pariente
str_daughterinlaw|nuera
str_soninlaw|yerno
str_motherinlaw|suegra
str_fatherinlaw|suegro
str_sisterinlaw|cuñada
str_brotherinlaw|cuñado
str_print_party_members_entered|imprimir miembros del grupo ingresados
str_num_companion_stacks_=_reg10|num stacks compañeros = {reg10}
str_someone|alguien
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|Trabajaré de lo que sea, {s0}. Llevar agua, o ayudar a los mercaderes con sus cargamentos, o ayudar a construir cosas, si hay cosas que construir.
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|No estoy haciendo nada, {s0}. Últimamente no hay trabajo por aquí.
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|No estoy haciendo nada, {s0}. No tengo tierras propias, y no hay trabajo por aquí estos días.
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|Pues aún estoy viviendo de vuestra amabilidad y bondad, {s0}. Con suerte pronto habrá trabajo.
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|Trabajo en los campos, justo al cruzar las murallas, donde se cultiva cereal. No producimos lo suficiente para nuestras necesidades, de todos modos, y tenemos que importar cereal de los campos de alrededor.
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|Trabajo sobre todo en los campos, cultivando cereal. En la ciudad lo muelen para hacer pan o cerveza, y también podemos hervirlo para hacer gachas.
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|Trabajo en la fábrica de cerveza. Las gentes pobres beben mucha, e es más barata que el vino. La hacemos con cereal traído del campo.
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|Trabajo en un molino, moliendo harina para hacer pan. El pan es barato, se conserva bien, y llena el estómago.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|Me dedico a criar ganado. Secamos y salamos la carne para conservarla, y enviamos las pieles a las ciudades para que fabriquen el cuero. También hacemos queso a partir de la leche.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|Me dedico a criar ganado. Secamos y salamos la carne para conservarla, y enviamos las pieles a las ciudades para que fabriquen el cuero. También hacemos queso a partir de la leche.
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|Me dedico a criar ovejas. Enviamos la lana a las ciudades para que la hilen haciendo paños, y preparamos salchichas de cordero cuando sacrificamos el ganado.
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|Trabajo en un telar, hilando telas a partir de lana. La lana es el paño más barato que se puede comprar, pero al menos te mantiene caliente.
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|Trabajo en un barco de pesca. Salamos y ahumamos el pescado, y lo vendemos tierra adentro.
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|Trabajo en una salina cercana. Sal hace falta en todas partes, para conservar la carne y el pescado.
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|Mino una vena de hierro en una cantera cercana. Lo utilizan para fabricar herramientas, armas y otros útiles.
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|Fabrico utensilios de cerámica, los que la gente utiliza para almacenar el grano y llevar agua.
str_trade_explanation_tools|Trabajo en una herrería, {s0}, haciendo todo tipo de utensilios de hierro: cuchillos, hachas, cazuelas, arados, guadañas, martillos, yunques, tenazas, sierras, clavos, herraduras de caballos, sacachispas, braseros, y por supuesto armas y armaduras para vuestras excelencias.
str_trade_explanation_oil|Trabajo en una prensa de aceite, sacando aceite de las aceitunas traídas del campo. Si os lo podéis permitir, nuestro aceite tiene cientos de usos: para cocinar, en lámparas o incluso para facilitar el parto.
str_trade_explanation_linen|Hilo lino, utilizando el lino traído de los campos de alrededor. Se consigue una tela resistente y ligera, {s0}, buena para vestimentas de verano, para velas de barcos, y cosas por el estilo.
str_trade_explanation_velvet|Trabajo en uno de los telares más importantes de esta ciudad, fabricando con esmero el terciopelo por el que somos conocidos. Utilizamos sedas traídas de más allá de las montañas, y tintes de los rincones más remotos de la tierra, y así fabricamos la tela de mejor calidad y más cara que se pueda hallar en todo el territorio.
str_trade_explanation_spice|Trabajo en las caravanas, ayudando a los mercaderes a cargar las especias que traen de más allá de las montañas. Pimienta, canela, clavo, azafrán... Los ricos hacen alarde de su fortuna según la cantidad de especias que lleva su comida, y dicen que para cada enfermedad hay una especia que la cura.
str_trade_explanation_apples|Justo llego de los huertos, donde recogemos manzanas. Las secamos para almacenarlas o las utilizamos para hacer sidra y vinagre.
str_trade_explanation_grapes|Trabajo en los viñedos de las colinas, cultivando uvas para elaborar los mejores vinos para las mesas de los señores, damas y mercaderes, y vino barato para mezclar con agua y saciar la sed de los plebeyos.
str_trade_explanation_dyes|Trabajo en las caravanas, descargando tintes traídos de tierras más allá de Essos: carmín de los escarabajos del roble y de las raíces rojas de la garanza, azul de los arbustos del índigo y añil, amarillo de la raíz de la gualda y la genista. Los tejedores los usan para colorear las sedas y terciopelos de los grandes señores del reino.
str_trade_explanation_leatherwork|Trabajo en la fábrica de curtidos que está fuera, curtiendo pieles traídas del campo para fabricar cuero bueno y flexible. Es un trabajo asqueroso, y llego a casa apestando a orines, estiércol y cal... pero de ahí es de donde vienen vuestras botas, vuestras monturas y vuestras bridas, {s0}.
str_trade_explanation_flax|Siembro y recojo linaza, y pudro los tallos para fabricar fibras de lino. De ahí salen vuestras ropas de hilo, {s0}... de un pozo de podredumbre al borde de un campo.
str_trade_explanation_dates|Trabajo en un bosquecillo de datileros. Los crecemos utilizando agua de los pozos, y exportamos la fruta a lugares lejanos ya que se conserva muchos meses una vez se ha secado adecuadamente. Tan dulces como la miel, y al que los come le dan salud y vigor.
str_trade_explanation_olives|Trabajo en un bosquecillo de olivos. La fruta se puede comer o conservar en salmuera, pero al final solemos enviar la mayoría a la prensa, para que hagan aceite.
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14}. He oído que podéis venderlo a buen precio en {s15}.
str_s2s_rebellion|Rebelión de {s2}
str_political_suggestion|Sugerencia política
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|Inestabilidad: {reg0}% de señores están descontentos, {reg1}% están impacientes
str_reg1shehe_is_prisoner_of_s1|{reg1?Ella:Él} es prisionero {s1}.
str_s39_rival|{s39} (rival)
str_s41_s39_rival|{s41}, {s39} (rival)
str_love_interest|interés amoroso
str_betrothed| Prometido 
str_other_relations_s40_|Otras relaciones: {s40}^
str_relation_with_liege_reg0_|Relación con el señor feudal: {reg0}^
str_sense_of_security_military_reg1_court_position_reg3_|Grado de seguridad: militar {reg1}, posición en la corte {reg3}^
str_political_details_s47_|Detalles políticos:^{s47}^
str_the_s55|el {s55}
str_travellers_on_the_road|viajeros en camino
str_a_short_while_ago|hace un rato
str_one_day_ago|el día de ayer
str_two_days_day_ago|hace dos días
str_earlier_this_week|hace unos días
str_about_a_week_ago|hace más o menos una semana
str_about_two_weeks_ago|hace más o menos dos semanas
str_several_weeks_ago|hace varias semanas
str_unknown_assailants|asaltantes desconocidos
str_swadians|Hombres de las Tierras de las Tormentas
str_vaegirs|Norteños
str_khergits|Hombres del Valle
str_nords|Braavosí
str_rhodoks|Qohorí
str_sarranids|Dorniense
str_dragonstone|Hombres de las Tierras de la Corona
str_westerlands|Hombres del Occidente
str_reach|Hombres del Dominio
str_ironborn|Hijos del Hierro
str_pentos|Pentoshí
str_tyrosh|Tyroshí
str_myr|Myrienses
str_lys|Lysení
str_volantis|Volantinos
str_norvos|Norvoshí
str_lorath|Lorathí
str_sisters|Hombres de las Hermanas
str_targaryen|Exiliados
str_wildlings|Salvajes
str_dothraki|Dothraki
str_bandits|bandidos
str_deserters|desertores
str_your_followers|vuestros seguidores
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|Hemos oído que unos viajeros en dirección a {s40} fueron atacados en el camino {s46} por {s39}
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|Hemos oído que unos viajeros viniendo de {s40} fueron atacados en el camino {s46} por {s39}
str_travellers_coming_from_s40_traded_here_s46|Viajeros viniendo de {s40} comerciaron aquí {s46}
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|Todavía es pronto en la temporada de caravanas, así que no hemos visto mucho comercio.{s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|Ha habido muy poca actividad comercial por aquí recientemente.{s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|Ha habido algo de actividad comercial por aquí recientemente, pero no la suficiente.{s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|Ha habido algo de actividad comercial por aquí recientemente, pero los caminos son peligrosos.{s42}
str_the_roads_around_here_are_very_dangerouss42|Los caminos de los alrededores son muy peligrosos.{s42}
