trp_multiplayer_profile_troop_male|perfil tropa multijugador hombre
trp_improved_clansman_1_pl|Arqueros de los clanes
trp_improved_clansman_2|Macero de los clanes
trp_improved_clansman_2_pl|Maceros de los clanes
trp_improved_clansman_3|Jinete de los clanes
trp_improved_clansman_3_pl|Jinete de los clanes
trp_improved_clansman_4|Hachero de los clanes
trp_improved_clansman_4_pl|Hacheros de los clanes
trp_scholars|Erudito
trp_scholars_pl|Eruditos
trp_odin_npc_1|Arquero proscrito
trp_odin_npc_1_pl|Arqueros proscritos
trp_odin_npc_2|Arquero proscrito
trp_odin_npc_2_pl|Arqueros proscritos
trp_odin_npc_3|Espadachín proscrito
trp_odin_npc_3_pl|Espadachines proscritos
trp_odin_npc_4|Hachero proscrito
trp_odin_npc_4_pl|Hacheros proscritos
trp_odin_npc_5|Vencarlo Dexa
trp_odin_npc_5_pl|Vencarlo Dexa
trp_horror_npc_1|Cultista
trp_horror_npc_1_pl|Cultistas
trp_horror_npc_2|Cultista
trp_horror_npc_2_pl|Cultistas
trp_horror_npc_3|Cultista
trp_horror_npc_3_pl|Cultistas
trp_horror_npc_4|Cultista
trp_horror_npc_4_pl|Cultistas
trp_horror_npc_5|Líder cultista
trp_horror_npc_5_pl|Líderes cultistas
trp_beowulf_npc_0|Maestre Criston
trp_beowulf_npc_0_pl|Maestre Criston
trp_beowulf_npc_1|Samol
trp_beowulf_npc_1_pl|Samol
trp_beowulf_npc_2|Rodgar
trp_beowulf_npc_2_pl|Rodgar
trp_beowulf_npc_3|Ben Pulgares
trp_beowulf_npc_3_pl|Ben Pulgares
trp_beowulf_npc_4|Ser Arwood Frey
trp_beowulf_npc_4_pl|Ser Arwood Frey
trp_beowulf_npc_5|Vargo Hoat
trp_beowulf_npc_5_pl|Vargo Hoat
trp_beowulf_npc_6|Ponorro de Asshai
trp_beowulf_npc_6_pl|Ponorro de Asshai
trp_beowulf_npc_7|Samol
trp_beowulf_npc_7_pl|Samol
trp_brave_archer|Arquero Audaz
trp_brave_archer_pl|Arqueros Audaces
trp_brave_horseman|Jinete Audaz
trp_brave_horseman_pl|Jinetes Audaces
trp_brave_swordsman|Hombre de armas Audaz
trp_brave_swordsman_pl|Hombres de armas Audaces
trp_urswyck|Urswyck
trp_urswyck_pl|Urswyck
trp_shagwell|Shagwell el Tonto
trp_shagwell_pl|Shagwell el Tonto
trp_tattered_starter|Denzo D'han
trp_tattered_starter_pl|Denzo D'han
trp_tattered_prince_1|El príncipe andrajoso
trp_tattered_prince_1_pl|El príncipe andrajoso
trp_tattered_prince_2|El Príncipe Desharrapado
trp_tattered_prince_2_pl|El Príncipe Desharrapado
trp_bloodbeard|Barbasangre
trp_bloodbeard_pl|Barbasangre
trp_cat_swordsman|Hombre de armas de la Compañía del Gato
trp_cat_swordsman_pl|Hombres de armas de la Compañía del Gato
trp_cat_archer|Arquero de tiro largo de la Compañía del Gato
trp_cat_archer_pl|Arqueros de tiro largo de la Compañía del Gato
trp_cat_horseman|Sargento de la Compañía del Gato
trp_cat_horseman_pl|Sargentos de la Compañía del Gato
trp_ramsay_snow|Ramsay Nieve
trp_ramsay_snow_pl|Ramsay Nieve
trp_rodrik_cassel_1|Ser Rodrik Cassel
trp_rodrik_cassel_1_pl|Ser Rodrik Cassel
trp_rodrik_cassel_2|Ser Rodrik Cassel
trp_rodrik_cassel_2_pl|Ser Rodrik Cassel
trp_bolton_swordsman|Hombre de Armas Bolton
trp_bolton_swordsman_pl|Hombres de Armas Bolton
trp_bolton_archer|Arquero Bolton
trp_bolton_archer_pl|Arqueros Bolton
trp_bolton_horseman|Sargento Bolton
trp_bolton_horseman_pl|Sargentos Bolton
trp_reek|Reek
trp_reek_pl|Reek
trp_sour_alyn|Sour Alyn
trp_sour_alyn_pl|Sour Alyn
trp_ser_rike|Ser Rike Darke
trp_ser_rike_pl|Ser Rike Darke
trp_tyrion_lannister_1|Tyrion Lannister
trp_tyrion_lannister_1_pl|Tyrion Lannister
trp_tyrion_lannister_2|Tyrion Lannister
trp_tyrion_lannister_2_pl|Tyrion Lannister
trp_brookwater_npc_1|Hombre de armas Darke
trp_brookwater_npc_1_pl|Hombres de armas Darke
trp_brookwater_npc_2|Hombre de armas Darke
trp_brookwater_npc_2_pl|Hombres de armas Darke
trp_brookwater_npc_3|Hombre de armas Darke
trp_brookwater_npc_3_pl|Hombres de armas Darke
trp_brookwater_npc_4|Hombre de armas Darke
trp_brookwater_npc_4_pl|Hombres de armas Darke
trp_brookwater_npc_5|Arquero Darke
trp_brookwater_npc_5_pl|Arqueros Darke
trp_brookwater_npc_6|Siervo
trp_brookwater_npc_6_pl|Siervos
trp_brookwater_npc_7|Criada
trp_brookwater_npc_7_pl|Criadas
trp_brookwater_npc_8|Ser Jeffory Darke
trp_brookwater_npc_8_pl|Ser Jeffory Darke
trp_brookwater_npc_9|Lady Wylla
trp_brookwater_npc_9_pl|Lady Wylla
trp_barrow_quest_starter|Gorbo
trp_barrow_quest_starter_pl|Gorbo
trp_barrow_quest_npc_1|Phario Forel
trp_barrow_quest_npc_1_pl|Phario Forel
trp_barrow_quest_npc_2|Phario Forel
trp_barrow_quest_npc_2_pl|Phario Forel
trp_odin_cave_quest_starter|Mellario de Norvos
trp_odin_cave_quest_starter_pl|Mellario de Norvos
trp_odin_cave_quest_npc_1|Moredo Tendyris
trp_odin_cave_quest_npc_1_pl|Moredo Tendyris
trp_odin_cave_quest_npc_2|Moredo Tendyris
trp_odin_cave_quest_npc_2_pl|Moredo Tendyris
trp_terror_npc_1|Septón Garibald
trp_terror_npc_1_pl|Septón Garibald
trp_terror_npc_2|Amo Tom
trp_terror_npc_2_pl|Amo Tom
trp_terror_npc_3|Maestre Bayard
trp_terror_npc_3_pl|Maestre Bayard
trp_terror_npc_4|Amo Tom
trp_terror_npc_4_pl|Amo Tom
trp_bryen_farring|Bryen Farring
trp_bryen_farring_pl|Bryen Farring
trp_burlow|Burlow
trp_burlow_pl|Burlow
trp_gilbert_farring_1|Ser Gilbert Farring
trp_gilbert_farring_1_pl|Ser Gilbert Farring
trp_gilbert_farring_2|Ser Gilbert Farring
trp_gilbert_farring_2_pl|Ser Gilbert Farring
trp_dragonseed_npc_1|Alyn el Fuerte
trp_dragonseed_npc_1_pl|Strong Alyn
trp_dragonseed_npc_2|Bennis
trp_dragonseed_npc_2_pl|Bennis
trp_dragonseed_npc_3|Byron
trp_dragonseed_npc_3_pl|Byron
trp_dragonseed_npc_4|Ser Gallard de Hull
trp_dragonseed_npc_4_pl|Ser Gallard de Hull
trp_dragonseed_npc_5|Gylbert
trp_dragonseed_npc_5_pl|Gylbert
trp_dragonseed_npc_6|Ser Herbert de Hull
trp_dragonseed_npc_6_pl|Ser Herbert de Hull
trp_dragonseed_npc_7|Hugh
trp_dragonseed_npc_7_pl|Hugh
trp_dragonseed_npc_8|Lady Alyse de Hull
trp_dragonseed_npc_8_pl|Lady Alyse de Hull
trp_dragonseed_npc_9|Lacerys Mares
trp_dragonseed_npc_9_pl|Lacerys Mares
trp_roman_conquest_npc_1|Menzo Mhor Kastos
trp_roman_conquest_npc_1_pl|Menzo Mhor Kastos
trp_relic_npc_0|Hermano Bert
trp_relic_npc_0_pl|Brother Bert
trp_relic_npc_1|Hermano Mayor
trp_relic_npc_1_pl|Elder Brother
trp_aegon_bloodborn|Aegon el Sangriento
trp_aegon_bloodborn_pl|Aegon el Sangriento
trp_relic_npc_2|Hermano Mayor
trp_relic_npc_2_pl|Hermano Mayor
trp_saltpans_elder_brother|Hermano Mayor
trp_saltpans_elder_brother_pl|Hermano Mayor
trp_saltpans_brother_1|Hermano Narbert
trp_saltpans_brother_1_pl|Hermano Narbert
trp_saltpans_brother_2|Hermano Gillam
trp_saltpans_brother_2_pl|Hermano Gillam
trp_green_man_1|Hombre Verde
trp_green_man_1_pl|Hombre Verde
trp_guardsman_holger|Guardia Holger
trp_guardsman_holger_pl|Guardia Holger
trp_tom|Tom
trp_tom_pl|Tom
trp_kyle|Kyle
trp_kyle_pl|Kyle
trp_guardsman_alyn|Guardia Alyn
trp_guardsman_alyn_pl|Guardia Alyn
trp_stoneman|Hombre misterioso
trp_stoneman_pl|Hombre misterioso
trp_old_crone|Bruja Vieja
trp_old_crone_pl|Bruja Vieja
trp_peddler_elbert|Elbert
trp_peddler_elbert_pl|Elbert
trp_peddler_polk|Guardia Polk
trp_peddler_polk_pl|Guardia Polk
trp_peddler_randolf|Guardia Randolf
trp_peddler_randolf_pl|Guardia Randolf
trp_peddler_maester|Maestre Symon
trp_peddler_maester_pl|Maestre Symon
trp_sajius|Sajius
trp_sajius_pl|Sajius
trp_comaelle|Comaelle
trp_comaelle_pl|Comaelle
trp_merry|Merry
trp_merry_pl|Merry
trp_sailors_wife|Esposa del Marinero
trp_sailors_wife_pl|Esposa del Marinero
trp_dancy|Dancy
trp_dancy_pl|Dancy
trp_marei|Marei
trp_marei_pl|Marei
trp_daughter_dusk|Hija del Ocaso
trp_daughter_dusk_pl|Hija del Ocaso
trp_black_pearl|La Perla Negra
trp_black_pearl_pl|La Perla Negra
trp_bella|Bella
trp_bella_pl|Bella
trp_leslyn|Leslyn
trp_leslyn_pl|Leslyn
trp_maege_mormont|Maege Mormont
trp_maege_mormont_pl|Maege Mormont
trp_edgar_the_seal|Edgar la Foca
trp_edgar_the_seal_pl|Edgar la Foca
trp_benfred_the_guard|Benfred
trp_benfred_the_guard_pl|Benfred
trp_rognok_the_guard|Rognok
trp_rognok_the_guard_pl|Rognok
trp_jor_the_keeper|Jor el Vigilante
trp_jor_the_keeper_pl|Jor el Vigilante
trp_james_parr|Lord Parr
trp_james_parr_pl|Lord Parr
trp_steff_van_oost|Steffon de Essos
trp_steff_van_oost_pl|Steffon de Essos
trp_keith_larson|Keth, hijo de Lar
trp_keith_larson_pl|Keth, hijo de Lar
trp_etienne_lacroix|Enneite
trp_etienne_lacroix_pl|Enneite
trp_cutjack|Cutjack
trp_cutjack_pl|Cutjack
trp_koss|Koss
trp_koss_pl|Koss
trp_kurz|Kurz
trp_kurz_pl|Kurz
trp_rorge|Rorge
trp_rorge_pl|Rorge
trp_biter|Biter
trp_biter_pl|Biter
trp_jaqen|Jaqen H'ghar
trp_jaqen_pl|Jaqen H'ghar
trp_yoren|Yoren
trp_yoren_pl|Yoren
trp_reysen|Reysen
trp_reysen_pl|Reysen
trp_gendry|Gendry
trp_gendry_pl|Gendry
trp_bayle|Bayle Neres
trp_bayle_pl|Bayle Neres
trp_bayle1|Bayle Neres
trp_bayle1_pl|Bayle Neres
trp_bayle2|Bayle Neres
trp_bayle2_pl|Bayle Neres
trp_bayle3|Bayle Neres
trp_bayle3_pl|Bayle Neres
trp_yarin1|Yarin
trp_yarin1_pl|Yarin
trp_yarin2|Yarin
trp_yarin2_pl|Yarin
trp_yarin3|Yarin
trp_yarin3_pl|Yarin
trp_sanor1|Sanor
trp_sanor1_pl|Sanor
trp_sanor2|Sanor
trp_sanor2_pl|Sanor
trp_sanor3|Sanor
trp_sanor3_pl|Sanor
trp_jeorador1|Jeorador
trp_jeorador1_pl|Jeorador
trp_jeorador2|Jeorador
trp_jeorador2_pl|Jeorador
trp_jeorador3|Jeorador
trp_jeorador3_pl|Jeorador
trp_floran|Floran Domon
trp_floran_pl|Floran Domon
trp_maeldan|Maeldan
trp_maeldan_pl|Maeldan
trp_ero|Ero
trp_ero_pl|Ero
trp_olwan|Olwan el Dorniense
trp_olwan_pl|Olwan el Dorniense
trp_mheran|Mheran
trp_mheran_pl|Mheran
trp_sebban|Sebban
trp_sebban_pl|Sebban
trp_seve|Seve
trp_seve_pl|Seve
trp_norlea|Norlea
trp_norlea_pl|Norlea
trp_sammana|Sammana
trp_sammana_pl|Sammana
trp_dosera|Dosera
trp_dosera_pl|Dosera
trp_tamela|Tamela
trp_tamela_pl|Tamela
trp_alarys|Alarys
trp_alarys_pl|Alarys
trp_morghaz|Morghaz zo Zherzyn
trp_morghaz_pl|Morghaz zo Zherzyn
trp_chezdhar|Chezdhar zo Rhaezn
trp_chezdhar_pl|Chezdhar zo Rhaezn
trp_faezhar|Faezhar zo Faez
trp_faezhar_pl|Faezhar zo Faez
trp_grazdan|Grazdan mo Eraz
trp_grazdan_pl|Grazdan mo Eraz
trp_gramnan|Gramnan
trp_gramnan_pl|Gramnan
trp_gora|Gora
trp_gora_pl|Gora
trp_kroznok|Kroznok
trp_kroznok_pl|Kroznok
trp_elkoz|Elkoz
trp_elkoz_pl|Elkoz
trp_krazneko|Krazneko
trp_krazneko_pl|Krazneko
trp_rakoz|Rakoz
trp_rakoz_pl|Rakoz
trp_graznek|Graznek
trp_graznek_pl|Graznek
trp_grazdan_common|Grazdan
trp_grazdan_common_pl|Grazdan
trp_hozrek|Hozrek
trp_hozrek_pl|Hozrek
trp_gessala|Gessala
trp_gessala_pl|Gessala
trp_eleza|Eleza
trp_eleza_pl|Eleza
trp_hazza|Hazza
trp_hazza_pl|Hazza
trp_alyssa_yunkai|Alyssa de Antigua
trp_alyssa_yunkai_pl|Alyssa de Antigua
trp_galazza_common|Galazza
trp_galazza_common_pl|Galazza
trp_slave_1|Esclavo torturado
trp_slave_1_pl|Esclavo torturado
trp_slave_2|Esclavo torturado
trp_slave_2_pl|Esclavo torturado
trp_female_slave_1|Drane
trp_female_slave_1_pl|Drane
trp_female_slave_2|Loreah
trp_female_slave_2_pl|Loreah
trp_female_slave_3|Davveya
trp_female_slave_3_pl|Davveya
trp_female_slave_4|Eme
trp_female_slave_4_pl|Eme
trp_female_slave_5|Inavva
trp_female_slave_5_pl|Inavva
trp_yunkai_soldier_1|Soldado esclavo
trp_yunkai_soldier_1_pl|Soldado esclavo
trp_yunkai_soldier_2|Soldado esclavo
trp_yunkai_soldier_2_pl|Soldado esclavo
trp_yunkai_soldier_3|Soldado esclavo
trp_yunkai_soldier_3_pl|Soldado esclavo
trp_yunkai_soldier_4|Soldado esclavo
trp_yunkai_soldier_4_pl|Soldado esclavo
trp_khrazz|Khrazz
trp_khrazz_pl|Khrazz
trp_belaquo|Belaquo Rompehuesos
trp_belaquo_pl|Belaquo Rompehuesos
trp_alkoz|Alkoz
trp_alkoz_pl|Alkoz
trp_hazrak|Hazrak
trp_hazrak_pl|Hazrak
trp_mazdhan|Mazdhan
trp_mazdhan_pl|Mazdhan
trp_zharak|Zharak
trp_zharak_pl|Zharak
trp_barristan|Ser Barristan Selmy
trp_barristan_pl|Ser Barristan Selmy
trp_daario|Daario Naharis
trp_daario_pl|Daario Naharis
trp_grey_worm|Gusano Gris
trp_grey_worm_pl|Gusano Gris
trp_reznak|Reznak mo Reznak
trp_reznak_pl|Reznak mo Reznak
trp_skahaz|Skahaz mo Kendaq
trp_skahaz_pl|Skahaz mo Kendaq
trp_jhogo|Jhogo
trp_jhogo_pl|Jhogo
trp_aggo|Aggo
trp_aggo_pl|Aggo
trp_rakharo|Rakharo
trp_rakharo_pl|Rakharo
trp_galazza|Galazza Galare
trp_galazza_pl|Galazza Galare
trp_grazdam|Grazdam zo Galare
trp_grazdam_pl|Grazdam zo Galare
trp_hizdahr|Hizdahr zo Loraq
trp_hizdahr_pl|Hizdahr zo Loraq
trp_unsullied_1|Inmaculado
trp_unsullied_1_pl|Inmaculado
trp_unsullied_2|Inmaculado
trp_unsullied_2_pl|Inmaculado
trp_unsullied_3|Inmaculado
trp_unsullied_3_pl|Inmaculado
trp_unsullied_4|Inmaculado
trp_unsullied_4_pl|Inmaculado
trp_unsullied_5|Inmaculado
trp_unsullied_5_pl|Inmaculado
trp_unsullied_6|Inmaculado
trp_unsullied_6_pl|Inmaculado
trp_unsullied_7|Inmaculado
trp_unsullied_7_pl|Inmaculado
trp_unsullied_8|Inmaculado
trp_unsullied_8_pl|Inmaculado
trp_unsullied_9|Inmaculado
trp_unsullied_9_pl|Inmaculado
trp_unsullied_10|Inmaculado
trp_unsullied_10_pl|Inmaculado
trp_unsullied_11|Inmaculado
trp_unsullied_11_pl|Inmaculado
trp_unsullied_12|Inmaculado
trp_unsullied_12_pl|Inmaculado
trp_unsullied_13|Inmaculado
trp_unsullied_13_pl|Inmaculado
trp_unsullied_14|Inmaculado
trp_unsullied_14_pl|Inmaculado
trp_unsullied_15|Inmaculado
trp_unsullied_15_pl|Inmaculado
trp_unsullied_16|Inmaculado
trp_unsullied_16_pl|Inmaculado
trp_unsullied_17|Inmaculado
trp_unsullied_17_pl|Inmaculado
trp_unsullied_18|Inmaculado
trp_unsullied_18_pl|Inmaculado
trp_unsullied_19|Inmaculado
trp_unsullied_19_pl|Inmaculado
trp_unsullied_20|Inmaculado
trp_unsullied_20_pl|Inmaculado
trp_kingdom_heroes_including_player_begin|kingdom heroes including player begin
trp_kingdom_heroes_including_player_begin_pl|kingdom heroes including player begin
trp_npc1|Ser Kanut Bannside
trp_npc1_pl|Ser Kanut Bannside
trp_npc2|Maron
trp_npc2_pl|Maron
trp_npc3|Jon Bandallon
trp_npc3_pl|Jon Bandallon
trp_npc4|Graznon zo Paton
trp_npc4_pl|Graznon zo Paton
trp_npc5|Ser Felton Flores
trp_npc5_pl|Ser Felton Flores
trp_npc6|Martyn Nieve
trp_npc6_pl|Martyn Nieve
trp_npc7|Ser Jasper Ríos
trp_npc7_pl|Ser Jasper Ríos
trp_npc8|Halbert Crowshead
trp_npc8_pl|Halbert Crowshead
trp_npc9|Kanosos el Impetuoso
trp_npc9_pl|Kanosos el Impetuoso
trp_npc10|Alexos Arena
trp_npc10_pl|Alexos Arena
trp_npc11|Garrett Longley
trp_npc11_pl|Garrett Longley
trp_npc12|Maestre Brynden
trp_npc12_pl|Maestre Brynden
trp_npc13|Ser Matrim Osgrey
trp_npc13_pl|Ser Matrim Osgrey
trp_npc14|Drollo
trp_npc14_pl|Drollo
trp_npc15|Arratos Entarion
trp_npc15_pl|Arratos Entarion
trp_npc16|Ser Clavis Lyberr
trp_npc16_pl|Ser Clavis Lyberr
trp_npc17|Serol Lynaqo
trp_npc17_pl|Serol Lynaqo
trp_npc18|Gyrnir Pyke
trp_npc18_pl|Gyrnir Pyke
trp_npc19|Colin el Mudo
trp_npc19_pl|Colin el Mudo
trp_npc20|Bilaquo Mentarios
trp_npc20_pl|Bilaquo Mentarios
trp_npc21|Berengar Parren
trp_npc21_pl|Berengar Parren
trp_npc22|Alen Cargyll
trp_npc22_pl|Alen Cargyll
trp_npc23|Fenna
trp_npc23_pl|Fenna
trp_npc24|Roderick
trp_npc24_pl|Roderick
trp_npc25|Carver
trp_npc25_pl|Carver
trp_npc26|Caul
trp_npc26_pl|Caul
trp_kingdom_1_lord|Rey Renly Baratheon
trp_kingdom_1_lord_pl|Rey Renly Baratheon
trp_kingdom_2_lord|Rey Robb Stark
trp_kingdom_2_lord_pl|Rey Robb Stark
trp_kingdom_3_lord|Lord Nestor Royce
trp_kingdom_3_lord_pl|Lord Nestor Royce
trp_kingdom_4_lord|Señor del Mar Ferrago Antaryon
trp_kingdom_4_lord_pl|Señor del Mar Ferrago Antaryon
trp_kingdom_5_lord|Lord Edmure Tully
trp_kingdom_5_lord_pl|Lord Edmure Tully
trp_kingdom_6_lord|Príncipe Oberyn Martell
trp_kingdom_6_lord_pl|Príncipe Oberyn Martell
trp_kingdom_8_lord|Rey Stannis Baratheon
trp_kingdom_8_lord_pl|Rey Stannis Baratheon
trp_kingdom_9_lord|Lord Tywin Lannister
trp_kingdom_9_lord_pl|Lord Tywin Lannister
trp_kingdom_10_lord|Lord Mace Tyrell
trp_kingdom_10_lord_pl|Lord Mace Tyrell
trp_kingdom_11_lord|Rey Balon Greyjoy
trp_kingdom_11_lord_pl|Rey Balon Greyjoy
trp_kingdom_12_lord|Príncipe Somothes
trp_kingdom_12_lord_pl|Príncipe Somothes
trp_kingdom_13_lord|Arconte Qodhrone Omosethes
trp_kingdom_13_lord_pl|Arconte Qodhrone Omosethes
trp_kingdom_14_lord|Arconte Coloqo
trp_kingdom_14_lord_pl|Arconte Coloqo
trp_kingdom_15_lord|Príncipe Melenai Saskos
trp_kingdom_15_lord_pl|Príncipe Melenai Saskos
trp_kingdom_16_lord|Triarca Malaquo Maegyr
trp_kingdom_16_lord_pl|Triarca Malaquo Maegyr
trp_kingdom_17_lord|Rey Caltos Maje
trp_kingdom_17_lord_pl|Rey Caltos Maje
trp_kingdom_18_lord|Arconte Haleq Balar
trp_kingdom_18_lord_pl|Arconte Haleq Balar
trp_kingdom_19_lord|Lord Triston Sunderland
trp_kingdom_19_lord_pl|Lord Triston Sunderland
trp_kingdom_20_lord|Rey Aegon Targaryen
trp_kingdom_20_lord_pl|Rey Aegon Targaryen
trp_kingdom_21_lord|Mance Rayder
trp_kingdom_21_lord_pl|Mance Rayder
trp_kingdom_22_lord|Khal Pono
trp_kingdom_22_lord_pl|Khal Pono
trp_knight_1_1|Lord Sebastion Errol
trp_knight_1_1_pl|Lord Sebastion Errol
trp_knight_1_2|Lord Ralph Buckler
trp_knight_1_2_pl|Lord Ralph Buckler
trp_knight_1_3|Lord Selwyn de Tarth
trp_knight_1_3_pl|Lord Selwyn de Tarth
trp_knight_1_4|Lord Lester Morrigen
trp_knight_1_4_pl|Lord Lester Morrigen
trp_knight_1_5|Lord Hugh Grandison
trp_knight_1_5_pl|Lord Hugh Grandison
trp_knight_1_7|Lord Philip Fell
trp_knight_1_7_pl|Lord Philip Fell
trp_knight_1_8|Lord Bryce Caron
trp_knight_1_8_pl|Lord Bryce Caron
trp_knight_1_9|Ser Loras Tyrell
trp_knight_1_9_pl|Ser Loras Tyrell
trp_knight_1_10|Ser Ronnet Connington
trp_knight_1_10_pl|Ser Ronnet Connington
trp_knight_1_11|Lord Eldon Estermont
trp_knight_1_11_pl|Lord Eldon Estermont
trp_knight_1_12|Lord Casper Wylde
trp_knight_1_12_pl|Lord Casper Wylde
trp_knight_1_14|Ser Donnel Swann
trp_knight_1_14_pl|Ser Donnel Swann
trp_knight_1_15|Ser Rickard Morrigen
trp_knight_1_15_pl|Ser Rickard Morrigen
trp_knight_1_16|Ser Mycah Mertyns
trp_knight_1_16_pl|Ser Mycah Mertyns
trp_knight_1_18|Lord Gulian Swann
trp_knight_1_18_pl|Lord Gulian Swann
trp_knight_1_20|Lord Natt Cafferen
trp_knight_1_20_pl|Lord Natt Cafferen
trp_knight_1_22|Lord Arstan Selmy
trp_knight_1_22_pl|Lord Arstan Selmy
trp_knight_1_23|Lord Alesander Staedmon
trp_knight_1_23_pl|Lord Alesander Staedmon
trp_knight_2_1|Lord Jon Umber
trp_knight_2_1_pl|Lord Jon Umber
trp_knight_2_2|Lord Rickard Karstark
trp_knight_2_2_pl|Lord Rickard Karstark
trp_knight_2_3|Lord Roose Bolton
trp_knight_2_3_pl|Lord Roose Bolton
trp_knight_2_4|Lord Robin Flint
trp_knight_2_4_pl|Lord Robin Flint
trp_knight_2_5|Lord Medger Cerwyn
trp_knight_2_5_pl|Lord Medger Cerwyn
trp_knight_2_6|Ser Wylis Manderly
trp_knight_2_6_pl|Ser Wylis Manderly
trp_knight_2_7|Lord Galbart Glover
trp_knight_2_7_pl|Lord Galbart Glover
trp_knight_2_8|Lord Helman Tallhart
trp_knight_2_8_pl|Lord Helman Tallhart
trp_knight_2_9|Lord Rodrik Ryswell
trp_knight_2_9_pl|Lord Rodrik Ryswell
trp_knight_2_10|Vickian Flint
trp_knight_2_10_pl|Vickian Flint
trp_knight_2_11|Robett Glover
trp_knight_2_11_pl|Robett Glover
trp_knight_2_12|Lord Donnel Locke
trp_knight_2_12_pl|Lord Donnel Locke
trp_knight_2_13|Jon Umber
trp_knight_2_13_pl|Jon Umber
trp_knight_2_14|Harrion Karstark
trp_knight_2_14_pl|Harrion Karstark
trp_knight_2_15|Ser Wendel Manderly
trp_knight_2_15_pl|Ser Wendel Manderly
trp_knight_2_18|Lord Roger Ryswell
trp_knight_2_18_pl|Lord Roger Ryswell
trp_knight_2_19|Ser Kyle Condon
trp_knight_2_19_pl|Ser Kyle Condon
trp_knight_2_21|Leobald Tallhart
trp_knight_2_21_pl|Leobald Tallhart
trp_knight_2_22|Benfred Tallhart
trp_knight_2_22_pl|Benfred Tallhart
trp_knight_2_23|Cley Cerwyn
trp_knight_2_23_pl|Cley Cerwyn
trp_knight_2_24|Hektor Flint
trp_knight_2_24_pl|Hektor Flint
trp_knight_3_1|Lord Royce Coldwater
trp_knight_3_1_pl|Lord Royce Coldwater
trp_knight_3_2|Lord Benedar Belmore
trp_knight_3_2_pl|Lord Benedar Belmore
trp_knight_3_3|Lord Lyonel Corbray
trp_knight_3_3_pl|Lord Lyonel Corbray
trp_knight_3_4|Ser Lyn Corbray
trp_knight_3_4_pl|Ser Lyn Corbray
trp_knight_3_5|Lord Gilwood Hunter
trp_knight_3_5_pl|Lord Gilwood Hunter
trp_knight_3_6|Ser Horton Hunter
trp_knight_3_6_pl|Ser Horton Hunter
trp_knight_3_7|Ser Morton Waynwood
trp_knight_3_7_pl|Ser Morton Waynwood
trp_knight_3_8|Ser Donnel Waynwood
trp_knight_3_8_pl|Ser Donnel Waynwood
trp_knight_3_9|Lord Jon Lynderly
trp_knight_3_9_pl|Lord Jon Lynderly
trp_knight_3_10|Lord Gerold Grafton
trp_knight_3_10_pl|Lord Gerold Grafton
trp_knight_3_11|Lord Edmund Waxley
trp_knight_3_11_pl|Lord Edmund Waxley
trp_knight_3_12|Lord Yohn Royce
trp_knight_3_12_pl|Lord Yohn Royce
trp_knight_3_13|Lord Horton Redfort
trp_knight_3_13_pl|Lord Horton Redfort
trp_knight_3_14|Ser Jasper Redfort
trp_knight_3_14_pl|Ser Jasper Redfort
trp_knight_3_15|Ser Andar Royce
trp_knight_3_15_pl|Ser Andar Royce
trp_knight_3_18|Lord Jon Elesham
trp_knight_3_18_pl|Lord Jon Elesham
trp_knight_3_20|Lord Jordon Ruthermont
trp_knight_3_20_pl|Lord Jordon Ruthermont
trp_knight_3_22|Ser Mortas Coldwater
trp_knight_3_22_pl|Ser Mortas Coldwater
trp_knight_3_23|Lord Byron Melcolm
trp_knight_3_23_pl|Lord Byron Melcolm
trp_knight_3_24|Ser Symond Templeton
trp_knight_3_24_pl|Ser Symond Templeton
trp_knight_3_25|Anya Waynwood
trp_knight_3_25_pl|Anya Waynwood
trp_knight_4_1|Primera Espada Qarro Volentin
trp_knight_4_1_pl|Primera Espada Qarro Volentin
trp_knight_4_2|Capitán de la Guardia Irion Fantos
trp_knight_4_2_pl|Capitán de la Guardia Irion Fantos
trp_knight_4_3|Pranelis Otharys
trp_knight_4_3_pl|Pranelis Otharys
trp_knight_4_4|Tormo Fregar
trp_knight_4_4_pl|Tormo Fregar
trp_knight_4_5|Alasto Antaryon
trp_knight_4_5_pl|Alasto Antaryon
trp_knight_4_6|Pasilen Antaryon
trp_knight_4_6_pl|Pasilen Antaryon
trp_knight_4_7|Pendel Mantikos
trp_knight_4_7_pl|Pendel Mantikos
trp_knight_4_8|Vestras Volentin
trp_knight_4_8_pl|Vestras Volentin
trp_knight_4_9|Parneso Volentin
trp_knight_4_9_pl|Parneso Volentin
trp_knight_4_10|Prestayn Volentin
trp_knight_4_10_pl|Prestayn Volentin
trp_knight_4_11|Vaneko Mantikos
trp_knight_4_11_pl|Vaneko Mantikos
trp_knight_4_12|Aerlo Fregar
trp_knight_4_12_pl|Aerlo Fregar
trp_knight_5_1|Ser Stevron Frey
trp_knight_5_1_pl|Ser Stevron Frey
trp_knight_5_2|Ser Walder Frey
trp_knight_5_2_pl|Ser Walder Frey
trp_knight_5_3|Ser Edwyn Frey
trp_knight_5_3_pl|Ser Edwyn Frey
trp_knight_5_4|Lord Jason Mallister
trp_knight_5_4_pl|Lord Jason Mallister
trp_knight_5_5|Lord Tytos Blackwood
trp_knight_5_5_pl|Lord Tytos Blackwood
