str_no_string|ŽÁDNÝ TEXT!
; str_comment_you_enfiefed_a_commoner_derisive|I understand that you have given {s51} to a commoner who calls {reg4?herself:himself} {s54}. Do not the ancients warn us against making royal robes out of the hides of pigs?
; str_comment_you_enfiefed_a_commoner_nasty|I understand that you have given {s51} to a commoner who has taken the name of {s54}. Have a care! A dog may turn on its master.
; str_comment_marriage_normal_family|Congratulations on your marriage to my {s11} {s50}. You may now consider yourself part of the family!
; str_comment_marriage_normal|Congratulations on your marriage to {s50}. The news does credit to you both.
; str_comment_marriage_normal_nasty|Well -- I see that you have married {s50}. (reg4?She:He} was always a silly {reg4?girl:boy}, with appalling judgment.
; str_comment_marriage_elopement_family|Well... You somehow persuaded my {s11} {s50} to marry you. I don't know what you did to make {reg4?her:him} accept you, but our family will not forget this humiliation.
; str_comment_marriage_elopement_liege|I hear that you have eloped with {s50}, against {reg4?her:his} family's wishes. I am not pleased. {reg4?Her:His} family are among the great lords of my realm, and I do not like to see them made to look like fools.
; str_comment_you_broke_truce_as_my_vassal|I hear that you have broken my truce by attacking {s55}. Do you know how this makes me look? If you were acting under my orders, I appear dishonorable. If you were not, I look weak. I have half a mind to indict you for treason here and now.
; str_comment_you_attacked_neutral_as_my_vassal|I hear that you have attacked subjects of the {s55}. You have given them an excuse to attack me, if they want... We shall see what comes of this. A fine day's work you have done!
; str_personality_archetypes|liege
; str_martial|martial
; str_quarrelsome|bad-tempered
; str_selfrighteous|pitiless
; str_cunning|cunning
; str_debauched|sadistic
; str_goodnatured|good-natured
; str_upstanding|upstanding
; str_roguish|roguish
; str_benevolent|benevolent
; str_mercantile|mercantile
; str_surrender_demand_default|Yield or die!
; str_surrender_demand_martial|The odds are not in your favor today. You may fight us, but there is also no shame if you yield now.
; str_surrender_demand_quarrelsome|I've got you cornered. Give up, or I'll ride you down like a dog.
; str_surrender_demand_pitiless|You cannot defeat me, and I'll teach you a painful lesson if you try. Yield!
; str_surrender_demand_cunning|You are outmatched today. Give up -- if not for your own sake, then think of your men!
; str_surrender_demand_sadistic|Surrender or I'll gut you like a fish!
; str_surrender_demand_goodnatured|We have the advantage of you. Yield, and you will be well-treated.
; str_surrender_demand_upstanding|You may fight us, but many of your men will be killed, and you will probably lose. Yield, and spare us both the unnecessary bloodshed.
; str_surrender_offer_default|Stop! I yield!
; str_surrender_offer_martial|Stop! I yield!
; str_surrender_offer_quarrelsome|Enough! You win today, you dog! Ah, the shame of it!
; str_surrender_offer_pitiless|I yield! You have won. Cursed be this day!
; str_surrender_offer_cunning|Stop! I yield to you!
; str_surrender_offer_sadistic|I give up! I give up! Call back your dogs!
; str_surrender_offer_goodnatured|I yield! Congratulations on your victory!
; str_surrender_offer_upstanding|I yield! Grant me the honours of war, and do yourself credit!
; str_lord_declines_negotiation_offer_default|That may be, but I wish to fight with you
; str_lord_declines_negotiation_offer_martial|That may be, but it is my duty to fight with you
; str_lord_declines_negotiation_offer_quarrelsome|Hah! I want to fight with you
; str_lord_declines_negotiation_offer_pitiless|Why should I care? I wish to fight with you
; str_lord_declines_negotiation_offer_cunning|Ah. Unfortunately, you see, I wish to fight with you
; str_lord_declines_negotiation_offer_sadistic|Still your tongue! You will have need of it shortly, while begging for mercy
; str_lord_declines_negotiation_offer_goodnatured|I'm sorry -- I can't just let you ride away. No hard feelings?
; str_lord_declines_negotiation_offer_upstanding|That may be, but my duty to my liege requires me to fight with you.
; str_prisoner_released_default|You have my gratitude. I shall not forget your kindness.
; str_prisoner_released_martial|You are indeed a {man/woman} of honour. I shall not forget this!
; str_prisoner_released_quarrelsome|I'm free? Well... Good bye, then.
; str_prisoner_released_pitiless|Thank you. When you are finally defeated, I will request for your death to be swift and merciful. Unless, that is, you would care to join us... Good bye, for now.
; str_prisoner_released_cunning|Am I? You are a good {man/woman}. I will try to find a way to repay you.
; str_prisoner_released_sadistic|Am I? So refined is your cruelty, that you would rather see me free and humiliated, than in chains. Enjoy your triumph!
; str_prisoner_released_goodnatured|You are indeed a {man/woman} of honour. I shall not forget this!
; str_prisoner_released_upstanding|You are indeed a {man/woman} of honour. I shall not forget this!
; str_enemy_meet_default|Who are you, that comes in arms against me?
; str_enemy_meet_martial|What is your name? If we come to blows, I would know whom I fight.
; str_enemy_meet_quarrelsome|By all the known gods, who are you?
; str_enemy_meet_pitiless|Who are you? Speak, so that I may know whom I slay.
; str_enemy_meet_cunning|Tell me your name. It is always good to know your enemy.
; str_enemy_meet_sadistic|Who are you? Speak quick, before I cut your tongue out.
; str_enemy_meet_goodnatured|What is your name? If we come to blows, I would know whom I fight.
; str_enemy_meet_upstanding|Who are you, who would come in arms to dispute our righteous cause?
; str_battle_won_default|You have proven yourself a most valued ally, today.
; str_battle_won_martial|There is no greater fortune than the chance to show one's valor on the field of arms!
; str_battle_won_quarrelsome|Hah! We showed those bastards a thing or two, there, didn't we?
; str_battle_won_pitiless|Together, we will make the foe learn to fear our names, and to quail at our coming!
; str_battle_won_cunning|Now, we must be sure to press our advantage, so that the blood shed today is not wasted.
; str_battle_won_sadistic|Now let us strip their dead and leave them for the crows, so that all will know the fate of those who come against us.
; str_battle_won_goodnatured|That was a good scrap! No joy like the joy of victory, eh?
; str_battle_won_upstanding|Now, let us give thanks to the heavens for our victory, and mourn the many fine men who have fallen today.
; str_battle_won_grudging_default|You helped turn the tide on the field, today. Whatever I may think of you, I cannot fault you for your valor.
; str_battle_won_grudging_martial|{playername} -- you have shown yourself a worthy {man/woman} today, whatever your misdeeds in the past.
; str_battle_won_grudging_quarrelsome|Hmf. Yours is not a face which I normally like to see, but I suppose today I should thank you for your help.
; str_battle_won_grudging_pitiless|Your help was most valuable today. I would not imagine that you came to help me out of kindness, but I nonetheless thank you.
; str_battle_won_grudging_cunning|It would be unwise of me not to thank you for coming to help me in my hour of need. So... You have my gratitude.
; str_battle_won_grudging_sadistic|Well! How touching! {playername} has come to rescue me.
; str_battle_won_grudging_goodnatured|{playername}! I can't say that we've always gotten along in the past, but you fought well today. My thanks to you!
; str_battle_won_grudging_upstanding|Perhaps I was wrong about you. Your arrival was most timely. You have my gratitude.
; str_battle_won_unfriendly_default|So you're here. Well, better late than never, I suppose.
; str_battle_won_unfriendly_martial|We have hard harsh words in the past, but for now let us simply enjoy our victory.
; str_battle_won_unfriendly_quarrelsome|If you're standing there waiting for thanks, you can keep waiting. Your help wasn't really needed, but I guess you had nothing better to do, right?
; str_battle_won_unfriendly_pitiless|You have come here, like a jackal to a lion's kill. Very well then, help yourself to the spoils. I shall not stop you.
; str_battle_won_unfriendly_cunning|{playername}... Well, I suppose your arrival didn't hurt, although I won't pretend that I'm happy to see you.
; str_battle_won_unfriendly_sadistic|Back off, carrion fowl! This was my victory, however hard you try to steal the glory for yourself.
; str_battle_won_unfriendly_goodnatured|Oh, it's you. Well, I suppose I should thank you for your help.
; str_battle_won_unfriendly_upstanding|Thank you for coming to my support. Now I will be off, before I say something that I regret.
; str_troop_train_request_default|I need someone like you to knock them into shape.
; str_troop_train_request_martial|They need someone to show them the meaning of valor.
; str_troop_train_request_quarrelsome|Fat lazy bastards. They make me puke.
; str_troop_train_request_pitiless|They are more afraid of the enemy than they are of me, and this will not do.
; str_troop_train_request_cunning|But men, like swords, are tempered and hardened by fire.
; str_troop_train_request_sadistic|They need someone with steel in his back to flog some courage into them, or kill them trying.
; str_troop_train_request_goodnatured|They're good enough lads, but I am afraid that they are not quite ready for a battle just yet.
; str_troop_train_request_upstanding|It would be tantamount to murder for me to lead them into combat in their current state.
; str_unprovoked_attack_default|What? Why do you attack us? Speak, you rascal!
; str_unprovoked_attack_martial|I have no objection to a trial of arms, but I would ask you for what reason you attack us?
; str_unprovoked_attack_quarrelsome|You're making a big mistake, {boy/girl}. What do you think you're doing?
; str_unprovoked_attack_pitiless|Indeed? If you really want to die today, I'd be more than happy to oblige you, but I am curious as to what you hope to accomplish.
; str_unprovoked_attack_cunning|Really? I think that you are acting most unwisely. What do you hope to gain by this?
; str_unprovoked_attack_sadistic|What's this? Do you enjoy having your eyes put out?
; str_unprovoked_attack_goodnatured|Why do you do this? We've got no quarrel.
; str_unprovoked_attack_upstanding|I consider this an unprovoked assault, and will protest to your king. Why do you do this?
; str_unnecessary_attack_default|I will not hesitate to cut you down if pressed, but I will offer you the chance to ride away from this.
; str_unnecessary_attack_martial|I am eager to take you up on your challenge, although I will give you a minute to reconsider.
; str_unnecessary_attack_quarrelsome|Bah! I'm in no mood for this nonsense today. Get out of my way.
; str_unnecessary_attack_pitiless|I am in a merciful mood today. I will pretend that I did not hear you.
; str_unnecessary_attack_cunning|I don't see what you have to gain by making an enemy of me. Maybe you should just ride away.
; str_unnecessary_attack_sadistic|I have no time to waste on a worm like you. Get out of my way.
; str_unnecessary_attack_goodnatured|I don't see what you have to gain by picking a fight. You can still ride away.
; str_unnecessary_attack_upstanding|If a fight is what you wish, then you will have one, but I will yet offer you the chance to back down.
; str_lord_challenged_default|As you wish. Prepare to die!
; str_lord_challenged_martial|So be it. Defend yourself!
; str_lord_challenged_quarrelsome|You impudent whelp! I'll crush you!
; str_lord_challenged_pitiless|If you so badly wish to die, then I have no choice but to oblige you.
; str_lord_challenged_cunning|Well, if you leave me no choice...
; str_lord_challenged_sadistic|You heap of filth! I'll make you wish you'd never been born.
; str_lord_challenged_goodnatured|Very well. I had hoped that we might avoid coming to blows, but I see that have no choice.
; str_lord_challenged_upstanding|So be it. It saddens me that you cannot be made to see reason.
; str_lord_mission_failed_default|Well, I am disappointed, but I am sure that you will have many chances to redeem yourself.
; str_lord_mission_failed_martial|There is no honour in failing a quest which you endeavoured to take, but I will accept your word on it.
; str_lord_mission_failed_quarrelsome|You failed? Bah. I should have expected as much from the likes of you.
; str_lord_mission_failed_pitiless|You failed? Well. You disappoint me. That is a most unwise thing to do.
; str_lord_mission_failed_cunning|Well, I am disappointed, but no one can guarantee that the winds of fortune will always blow their way.
; str_lord_mission_failed_sadistic|Indeed? Those who fail me do not always live to regret it.
; str_lord_mission_failed_goodnatured|Oh well. It was a long shot, anyway. Thank you for making an effort.
; str_lord_mission_failed_upstanding|Very well. I am sure that you gave it your best effort.
; str_lord_follow_refusal_default|Follow you? You forget your station.
; str_lord_follow_refusal_martial|Perhaps if you one day prove yourself a valorous and honourable warrior, then I would follow you. But not today.
; str_lord_follow_refusal_quarrelsome|Follow someone like you? I don't think so.
; str_lord_follow_refusal_pitiless|Lords like me do not follow people like you.
; str_lord_follow_refusal_cunning|First show me that you are the type of {man/woman} who will not lead me into disaster, and then perhaps I will follow you.
; str_lord_follow_refusal_sadistic|I think not! Rather, you should follow me, as a whipped cur follows {his/her} master.
; str_lord_follow_refusal_goodnatured|Um, I am a bit pressed with errands right now. Perhaps at a later date.
; str_lord_follow_refusal_upstanding|First show me that you are worthy to lead, and then perhaps I will follow.
; str_lord_insult_default|base varlot
; str_lord_insult_martial|dishonourable knave
; str_lord_insult_quarrelsome|filth-swilling bastard
; str_lord_insult_pitiless|low-born worm
; str_lord_insult_cunning|careless oaf
; str_lord_insult_sadistic|sniveling cur
; str_lord_insult_goodnatured|unpleasant fellow
; str_lord_insult_upstanding|disgraceful scoundrel
; str_lord_derogatory_default|base and vile
; str_lord_derogatory_martial|bullheaded
; str_lord_derogatory_quarrelsome|quarrelsome and divisive
; str_lord_derogatory_pitiless|cruel, tyrannical
; str_lord_derogatory_cunning|unscrupulous and manipulative
; str_lord_derogatory_sadistic|vile and dishonorable
; str_lord_derogatory_goodnatured|hopelessly naive
; str_lord_derogatory_upstanding|stiffnecked and sanctimonious
; str_lord_derogatory_result|bring us to ruin
; str_lord_derogatory_martial_action|attack the enemy without thought or plan, and throw away the lives of your men
; str_lord_derogatory_quarrelsome_action|pick fights with other lords, leaving us divided and weak
; str_lord_derogatory_pitiles_action|alienate the commons, provoking revolt and mutiny
; str_lord_derogatory_cunning_action|cut a deal with the enemy behind our back
; str_lord_derogatory_sadistic_action|bring shame upon our cause and our realm
; str_lord_derogatory_goodnatured_action|take pity on our enemies, rather than fight them
; str_lord_derogatory_upstanding_action|place your own exaggerated sense of honor above the needs of the realm
; str_rebellion_dilemma_martial|{s45} was clearly wronged. Although I gave an oath to {s46}, it does not bind me to support him if he usurped his throne illegally.
; str_rebellion_dilemma_quarrelsome|Hmm. {s46} has never given me my due, so I don't figure I owe him much. However, maybe {s45} will be no better, and {s46} has at least shown himself .
; str_rebellion_dilemma_pitiless|Hmm. {s45} says {reg3?she:he} is the rightful heir to the throne. That is good -- it absolves me of my oath to {s46}. But still I must weight my decision carefully.
; str_rebellion_dilemma_cunning|Hmm. I gave an oath of homage to {s46}, yet the powerful are not bound by their oaths as our ordinary people. Our duty is to our own ability to rule, to impose order and prevent the war of all against all.
; str_rebellion_dilemma_sadistic|Hmm. In this vile world, a wise man must think of himself, for no one else will. So -- what's in it for me?
; str_rebellion_dilemma_goodnatured|I do not know what to say. I gave an oath to {s46} as the lawful ruler, but if he is not the lawful ruler, I don't know if I am still bound.
; str_rebellion_dilemma_upstanding|This is troublesome. It is a grave thing to declare my homage to {s46} to be null and void, and dissolve the bonds which keep our land from sinking into anarchy. Yet I am also pledged to support the legitimacy of the succession, and {s45} also has a valid claim to the throne.
; str_rebellion_dilemma_2_martial|On the other hand, {s46} has led us in war and peace, and I am loathe to renounce my allegiance.
; str_rebellion_dilemma_2_quarrelsome|So tell me, why should I turn my back on the bastard I know, in favor of {reg3?a woman:the bastard} I don't know?
; str_rebellion_dilemma_2_pitiless|It is a most perilous position to be in, to be asked whom I would make {reg3?ruler:king} of this land. Yet it is also a time of opportunity, for me to reap the rewards that have always been my due!
; str_rebellion_dilemma_2_cunning|{s46} has been challenged, and thus he will never be able to rule as strongly as one whose claim has never been questioned. Yet if {s45} takes the throne by force, {reg3?she:he} will not be as strong as one who succeeded peacefully.
; str_rebellion_dilemma_2_sadistic|Perhaps if I join {s45} while {reg3?she:he} is still weak {reg3?she:he} will enrich me, but perhaps if I bring {s46} your head he will give me an even greater reward.
; str_rebellion_dilemma_2_goodnatured|{s46} has always treated me decently, yet it's true that he did wrong to {s45}. I hesitate to renounce my homage to {s46}, yet I also don't think it's right to support injustice.
; str_rebellion_dilemma_2_upstanding|I feel that I must do whatever is best for the realm, to avoid it being laid waste by civil war and ravaged by its enemies.
; str_political_philosophy_martial|My sword is at the disposal of my rightful liege, so long as he upholds his duty to me.
; str_political_philosophy_quarrelsome|Bah. They're all a bunch of bastards. I try to make sure that the ones who wrong me learn to regret it.
; str_political_philosophy_pitiless|Men will always try to cheat others of their rightful due. In this faithless world, each must remain vigilant of his own rights.
; str_political_philosophy_cunning|Well, it's a harsh world, and it is our lot to face harsh choices. Sometimes one must serve a tyrant to keep the peace, but sometimes a bit of rebellion keeps the kings honest. Circumstance is all.
; str_political_philosophy_sadistic|My philosophy is simple: it is better to be the wolf than the lamb.
; str_political_philosophy_goodnatured|Well, you should keep faith with your promises, and not do injustice to others. Sometimes it's hard to balance those. Stick with people you trust, I think, and it's hard to go far wrong.
; str_political_philosophy_upstanding|Kingship and lordship have been instituted to keep the peace and prevent the war of all against all, yet that must not blind us to the possibility of injustice.
; str_political_philosophy_roguish|Hmm.. I guess I'm thinking that it's good to be a lord.
; str_political_philosophy_benefactor|A good ruler makes sure all are treated justly. Personally, I intend to use my authority to better the lot of those who live in my demesne.
; str_political_philosophy_custodian|A good ruler creates the proper conditions for people to prosper. Personally, I intend to use my wealth to create more wealth, for myself and for the common benefit.
; str_rebellion_prior_argument_very_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
; str_rebellion_prior_argument_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
; str_rebellion_prior_argument_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I do not find them convincing.
; str_rebellion_prior_argument_very_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I disagree with most of them.
; str_rebellion_rival_martial|{s49} your ally {s44} once questioned my honour and my bravery. It's not often I get the chance to face him in battle, and make him retract his statement.
; str_rebellion_rival_quarrelsome|{s49} you're working with {s44}. He's a crafty weasel, and I don't trust him one bit.
; str_rebellion_rival_pitiless|{s49} you seem to have enlisted the support of {s44} -- who is soft, and weak, and not fit to govern a fief, and whom I have always detested.
; str_rebellion_rival_cunning|{s49} {s44}, who has already joined you, is headstrong and quarrelsome, and a bit of liability.
; str_rebellion_rival_sadistic|{s49} I have no desire to fight alongside your ally {s44}, who puts on such a nauseating display of virtue.
; str_rebellion_rival_goodnatured|{s49} I'd be reluctant to be on the same side as {s44}, who has quite a reputation for cruelty.
; str_rebellion_rival_upstanding|{s49} your ally {s44} is in my opinion a dangerous, unreliable, and highly unprincipled man.
; str_rebellion_argument_favorable|I respect your line of argument
; str_rebellion_argument_neutral|I find your line of argument only moderately compelling
; str_rebellion_argument_unfavorable|I do not find your line of argument compelling
; str_rebellion_persuasion_favorable|you state your case eloquently
; str_rebellion_persuasion_neutral|you make a reasonable case
; str_rebellion_persuasion_unfavorable|you make an unconvincing case
; str_rebellion_relation_very_favorable|I have the greatest respect for you personally.
; str_rebellion_relation_favorable|I know and respect you personally.
; str_rebellion_relation_neutral|I do not know you as well as I might like.
; str_rebellion_relation_unfavorable|I do not trust you.
; str_and_comma_3|Furthermore, 
; str_but_comma_3|However,
; str_and_comma_1|, and 
; str_but_comma_1|, but 
; str_and_comma_2|. Moreover, 
; str_but_comma_2|. Nonetheless, 
; str_rebellion_agree_martial|I have decided. I will back {s45} as the rightful heir.
; str_rebellion_agree_quarrelsome|Ahh, I've thought long enough. I never did like {s46} much anyway. Let's go take his throne away from him.
; str_rebellion_agree_pitiless|You are fortunate. I have decided to join you. Pray do not give me cause to regret this decision.
; str_rebellion_agree_cunning|This is a most dangerous decision, but after careful consideration, I have decided that I will join you. Let's hope it is for the best.
; str_rebellion_agree_sadistic|I have decided. I will back your {reg3?woman:man} {s45}. But you'd best make sure that {reg3?she:he} rewards me well!
; str_rebellion_agree_goodnatured|All right. I think your {reg3?woman:man} will be a good ruler. I'll join you.
; str_rebellion_agree_upstanding|So be it. My first duty is to this realm, and to save it from lawlessness I will back {s45} and renounce my homage to {s46}. May the Heavens forgive me if I do wrong.
; str_rebellion_refuse_martial|I am sorry. {s45} has a good claim, but it's not enough for me to turn my back on {s46}. I will remain loyal to my liege.
; str_rebellion_refuse_quarrelsome|Nah. Your whelp {s45} doesn't have what it takes to rule this realm. I'm sticking with {s46}.
; str_talk_later_martial|Now is not the time to talk politics! I am here today with my fellow lords, armed for battle. You'd better prepare to fight.
; str_talk_later_quarrelsome|Do you expect me to discuss betraying my liege with you, while we are surrounded by his army? What do you take me for, a bloody idiot?
; str_talk_later_pitiless|Still your tongue! Whatever I have to say on this matter, I will not say it here and now, while we are in the midst of our army.
; str_talk_later_cunning|This is hardly the time or the place for such a discussion. Perhaps we can discuss it at a later time and a different place, but for now we're still foes.
; str_talk_later_sadistic|You should have your mouth sewn shut! Can you imagine what would happen if the other vassals see me talking to you of treason?
; str_talk_later_goodnatured|So you wish to discuss your rebellion with me? Try that again when we aren't surrounded by my liege's army, and I will hear what you have to say.
; str_talk_later_upstanding|Whatever my thoughts on the legitimacy of the succession, I am not about to discuss them here and now. If we meet again when we can talk in privacy, I will hear what you have to say on the matter. But for now, consider me your enemy.
; str_gossip_about_character_default|There aren't many recent rumors about {s6}'s personal life.
; str_gossip_about_character_martial|They say that {s6} loves nothing more than war.
; str_gossip_about_character_quarrelsome|They say that {s6} almost came to blows with another lord lately, because the man made a joke about {reg4?her:his} nose.
; str_gossip_about_character_selfrighteous|I heard that {s6} had a squire executed because the unfortunate man killed a deer in {reg4?her:his} forest.
; str_gossip_about_character_cunning|They say that {s6} is a cunning opponent.
; str_gossip_about_character_sadistic|They say that {s6} likes to torture {reg4?her:his} enemies. I wouldn't want to get on the bad side of that {reg4?woman:man}.
; str_gossip_about_character_goodnatured|They say that {s6} is a good {reg4?woman:man} and treats people living in {reg4?her:his} lands decently. That is more than what can be said for most of the nobles.
; str_gossip_about_character_upstanding|People say that it is good to be in the service of {s6}. {reg4?She:He} is good to {reg4?her:his} followers, and rewards them if they work well.
; str_latest_rumor|The latest rumor you heard about {s6} was:
; str_changed_my_mind_martial|However, your stirring words make me reconsider my position.
; str_changed_my_mind_quarrelsome|But I think you've talked me into it anyway, you bastard. I'm still listening
; str_changed_my_mind_pitiless|But when you plea like that, I will deign to reconsider.
; str_changed_my_mind_cunning|But you know, you're a well-spoken bastard. That impresses me. I'm still listening.
; str_changed_my_mind_sadistic|But as your silver tongue sings so pretty a song on your behalf, I will not dismiss the idea just yet.
; str_changed_my_mind_goodnatured|But you make a good case, so I'll try to keep an open mind.
; str_changed_my_mind_upstanding|However, you make an eloquent case. I am still listening.
; str_swadian_rebellion_pretender_intro|I am Vezenkor Adarys, the true ruler of Tyrosh.
; str_vaegir_rebellion_pretender_intro|My name is Valdym. Some men call me 'the Bastard.' I am a prince of the Vaegirs, but by all rights I should be their grand prince, instead of my cousin Yaroglek.
; str_khergit_rebellion_pretender_intro|I am Dustum Khan, son of Janakir Khan, and rightful Khan of the Khergits.
; str_nord_rebellion_pretender_intro|I am Lethwin Far-Seeker, son of Hakrim the Old, who should be konung of the Nords of Calradia.
; str_qohor_rebellion_pretender_intro|I am Sallos Far-Seeker, son of Moredo the Old, who was Archon of Qohor.
; str_sarranid_rebellion_pretender_intro|I am Arwa, whom they call the Pearled One, Mother of the Sarranids and their rightful Queen.
; str_dragonstone_rebellion_pretender_intro|I am Arwa, whom they call the Pearled One, Mother of the Sarranids and their rightful Queen.
; str_westerlands_rebellion_pretender_intro|I am Sarella, whom they call Brightflame, heir to dragons and the rightful Queen of the Seven Kingdoms.
; str_reach_rebellion_pretender_intro|I am Arwa, whom they call the Pearled One, Mother of the Sarranids and their rightful Queen.
; str_ironborn_rebellion_pretender_intro|I am Yara Half-Hoare, whom they call the Red, Mother of Axes and the rightful Queen of the Iron Islands.
; str_pentos_rebellion_pretender_intro|I am Arwa, whom they call the Pearled One, Mother of the Sarranids and their rightful Queen.
; str_tyrosh_rebellion_pretender_intro|I am Vezenkor Adarys, the true ruler of Tyrosh, and the grandson of Alaquo Goldentongue.
; str_myr_rebellion_pretender_intro|I am Xhobar. Some call me the Bastard, and I laugh in their face, then I cut their filthy tongue out! Others call me Greymantle, and those I reward with gold and favors!
; str_lys_rebellion_pretender_intro|I am Lysandro Rogare, the Splendid, the rightful First Magister of Lys, and the man who will free them from tyranny.
; str_volantis_rebellion_pretender_intro|I am Vezenkor Adarys, the true ruler of Tyrosh.
; str_norvos_rebellion_pretender_intro|I am the most revered, holy and benevolent High Priestess of Norvos, leader of the Band of Bearded Brothers and Guardian of Noom, Narrah and Nyel.
; str_lorath_rebellion_pretender_intro|I am Qarlon, most holy of men, descended from Hugor of the Hill himself.
; str_swadian_rebellion_pretender_story_1|During the reign of my grandfather, Alequo Adarys, the Goldentongue, Tyrosh was a power to be reckoned with! We held sway of much of the Disputed Lands, and waged war against the Westerosi. Yet those cowardly magisters rose in rebellion against my grandsire, ending the most glorious age Tyrosh has ever witnessed!
; str_vaegir_rebellion_pretender_story_1|My father died when I was young, leaving me in the care of his brother, the regent Burelek. But rather than hold the throne until I came of age, this usurper used his newfound power to accuse my mother of adultery, and to claim that I was not my father's son. She was executed for treason, and I was declared a bastard.
; str_khergit_rebellion_pretender_story_1|Sanjar Khan and I are brothers, sons of the old Janakir Khan, although of different mothers. Although I was the younger brother, all those who knew the old Khan will testify that throughout my father's life, I was his favorite, entrusted with the responsibilities of government. Sanjar busied himself with hunts and feasts to win the affection of the more dissolate of my father's commanders.
; str_nord_rebellion_pretender_story_1|I am called the Far-Seeker because I have travelled great distances, even by the standards of the Nords, in search of knowledge. Before I came of age, my father sent me abroad on a tour of study at the courts and universities in the lands overseas. If the Nords are to call themselves the heirs of the Calradian empire, then they must act the part, and know something of law and letters, and not call themselves content merely to fight, plunder, and drink.
; str_qohor_rebellion_pretender_story_1|I am called the Far-Seeker because I have travelled great distances, even by the standards of the qohoriks, in search of knowledge. Before I came of age, my father sent me abroad on a tour of study at the courts and libraries in the cities of Tyrosh, Myr  and Volantis. If the qohoriks are to call themselves the wisest, bravest and most powerful of all men, then they must act the part, and know something of law and letters, and not call themselves content merely to gather riches, slaves, and drink.
; str_sarranid_rebellion_pretender_story_1|I was born in a faraway land, to a humble family, and made a slave when I was but a girl -- but there is no shame in that, for the mothers of many of our kings were slaves. The old Sultan, Ayzar, spotted me in the markets and was struck by my beauty. I entered his household, and there he also learned to respect my intelligence. As he grew older, he allowed me to govern in his stead. First I managed the affairs of the palace, and later those of the realm.
; str_dragonstone_rebellion_pretender_story_1|I was born in a faraway land, to a humble family, and made a slave when I was but a girl -- but there is no shame in that, for the mothers of many of our kings were slaves. The old Sultan, Ayzar, spotted me in the markets and was struck by my beauty. I entered his household, and there he also learned to respect my intelligence. As he grew older, he allowed me to govern in his stead. First I managed the affairs of the palace, and later those of the realm.
; str_westerlands_rebellion_pretender_story_1|I was born here in Lys, the daughter of the famed courtesan 'The Bright Flame' and a merchant prince. My mother told me stories of my ancestors from the moment I was old enough to understand. My great-grandfather was Aerion Targaryen, whom they also called 'Brightflame'. My mother told me how he was the most valiant and noble knight the world ever saw, a prince such as only comes around once a thousand years.
; str_reach_rebellion_pretender_story_1|I was born in a faraway land, to a humble family, and made a slave when I was but a girl -- but there is no shame in that, for the mothers of many of our kings were slaves. The old Sultan, Ayzar, spotted me in the markets and was struck by my beauty. I entered his household, and there he also learned to respect my intelligence. As he grew older, he allowed me to govern in his stead. First I managed the affairs of the palace, and later those of the realm.
; str_ironborn_rebellion_pretender_story_1|I was born on the island of the Lonely Light, the westernmost of the Iron Islands, a place of wonders, where the men swim in the sea wearing the skin of seals, and where every woman is trained with axe and shield. Our line descends from Harren the Red, the son of Harren Hoare who burned at Harrenhal.
; str_pentos_rebellion_pretender_story_1|I was born in a faraway land, to a humble family, and made a slave when I was but a girl -- but there is no shame in that, for the mothers of many of our kings were slaves. The old Sultan, Ayzar, spotted me in the markets and was struck by my beauty. I entered his household, and there he also learned to respect my intelligence. As he grew older, he allowed me to govern in his stead. First I managed the affairs of the palace, and later those of the realm.
; str_tyrosh_rebellion_pretender_story_1|During the reign of my grandfather, Alequo Adarys, Tyrosh was a power to be reckoned with! We held sway of much of the Disputed Lands, and waged war against the Westerosi. Yet those cowardly magisters rose in rebellion against my grandsire, ending the most glorious age Tyrosh has ever witnessed!
; str_myr_rebellion_pretender_story_1|My father was a great man, and my grandfather was the Ebon Prince! We where driven from Sweet Lotus Vale and lost our seat of Ebonhead many years ago, but my ancestors reclaimed our glories and we once ruled extensive swaths of land in the area men call the Disputed Lands, and many nobles did us homage. But when the Westerosi dragon king put an end to Maelys Blackfyre and the Band of Nines amibition on the Stepstones, our lands where lost to us! The Myrmen came down upon our ancestral holdings and put them to the torch.
; str_lys_rebellion_pretender_story_1|The Lyseni are a free people, and not slaves to any hereditary prince. The First Magister must be chosen from one of the leading noble families of the city, by a council drawn by lot from the old families. The council meets on a field before Lys, and no man is allowed to appear in arms during their deliberations, on pain of death.
; str_volantis_rebellion_pretender_story_1|I was born in a faraway land, to a humble family, and made a slave when I was but a girl -- but there is no shame in that, for the mothers of many of our kings were slaves. The old Sultan, Ayzar, spotted me in the markets and was struck by my beauty. I entered his household, and there he also learned to respect my intelligence. As he grew older, he allowed me to govern in his stead. First I managed the affairs of the palace, and later those of the realm.
