dlga_start:lco_conversation_end|Tady jsi.
; dlga_lady_elope_agree_nurse_2:lady_elope_agree_player_vows|Very good. Do you, {playername}, swear similarly to accept {s4} as your {reg65?wife:husband}?
; dlga_lady_elope_agree_player_vows:close_window|I do.
; dlga_lady_elope_agree_player_vows:close_window.1|Eh, what? This is all moving too fast...
; dlga_lady_elope_agree:lady_conclude_relationship|Oh, really? My dear -- I could never separate a {reg65?lady:young lad} from {reg65?her:his} family like that...
; dlga_lady_conclude_relationship:lady_conclude_relationship_confirm|So I suppose our time together must come to an end...
; dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_yes|Yes -- it must be...
; dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_no|Wait -- perhaps there is still a chance for us!
; dlga_lady_conclude_relationship_confirm_yes:close_window|Farewell, {playername}. We will see each other, in the courts and castles of this realm, but we must keep our distance from each other. I will remember these days fondly, nonetheless.
; dlga_lady_conclude_relationship_confirm_no:close_window|In that case, we shall see what the future brings.
; dlga_lady_generic_mission_succeeded:lady_pretalk|Always an honour to serve, {s65}.
; dlga_lady_premeet:lady_meet|I am {playername}.
; dlga_lady_premeet:lady_meet.1|My name is {playername}. At your service.
; dlga_lady_meet:lady_meet_end|Of course. How splendid to finally make your acquaintance.
; dlga_lady_meet:lady_meet_end.1|{playername}? I do not believe I've heard of you before.
; dlga_lady_meet_end:lady_talk|I am about to retire for a little while, but perhaps we may have a chance to speak more later...
; dlga_lady_meet_end:lady_talk.1|Now, if you will excuse me...
; dlga_lady_meet_end:lady_talk.2|Can I help you with anything?
; dlga_lady_talk:lord_talk_ask_location|I want to know the location of someone.
; dlga_lady_pretalk:lady_talk|Now, if you will excuse me...
dlga_lady_pretalk:lady_talk.1|Ještě něco dalšího?
; dlga_lady_talk:dplmc_lady_relations2|I wished to ask about one of your relatives.
; dlga_dplmc_lady_relations2:dplmc_lady_info_relative_select|About which lord do you want information?
; dlga_dplmc_lady_info_relative_select:dplmc_lady_info_relative_1|Your {s11} {s18}
dlga_dplmc_lady_info_relative_select:lady_pretalk|Zapomeň na to.
; dlga_dplmc_lady_info_relative_1:lady_pretalk|Pardon, but I do not feel comfortable discussing such personal matters with you.
; dlga_dplmc_lady_info_relative_1:dplmc_lady_info_relative_2|{s47}
; dlga_dplmc_lady_info_relative_1:lady_pretalk.1|{12}
; dlga_dplmc_lady_info_relative_2:lady_pretalk|{s12}.
; dlga_dplmc_lady_info_relative_2:lady_pretalk.1|{s1}
; dlga_lady_talk:dplmc_lady_feasts|Do you know of any ongoing feasts?
; dlga_dplmc_lady_feasts:lady_pretalk|{s12}
; dlga_lady_talk:lady_relations|May I have the honor of knowing more about you, {reg65?my lady:good sir}?
; dlga_lady_relations:lady_pretalk|{s12}
; dlga_lady_talk:lady_profess_admiration|My {reg65?lady:lord}, I would like to profess myself your most ardent admirer
; dlga_lady_talk:lady_tournament_dedication_reaction|My {reg65?lady:lord}, I would like to dedicate my successes in this recent tourney to you
; dlga_lady_tournament_dedication_reaction:lady_pretalk|{s9}
; dlga_lady_profess_admiration:close_window|{s11}I would like it very much if we could see more of each other.
; dlga_lady_profess_admiration:lady_pretalk|Ah... You are too kind... My, the hour is getting rather late, isn't it? I really must be going.
; dlga_lady_talk:lady_recite_poetry|Do you like music, my {reg65?lady:lord}?
; dlga_lady_recite_poetry:lady_recite_poetry|That would depend on the song. Did you intend to recite a verse?
; dlga_lady_recite_poetry:lady_recite_poetry_response|'And who are you, the proud lord said,'
; dlga_lady_recite_poetry:lady_recite_poetry_response.1|'A bear there was, A bear, A BEAR!'
; dlga_lady_recite_poetry:lady_recite_poetry_response.2|You are the first and the last/the outer and the inner...
; dlga_lady_recite_poetry:lady_recite_poetry_response.3|'A light pierced the gloom over Maidenpool...'
; dlga_lady_recite_poetry:lady_recite_poetry_response.4|I deflected her skeptical questioning darts/with armor made of purest devotion...
; dlga_lady_recite_poetry:lady_pretalk|Actually, I can't think of any that I would care to recite...
; dlga_lady_recite_poetry_response:lady_private_conversation_end|{s11}
; dlga_lady_private_conversation_end:lady_pretalk|Time is passing quickly, and we cannot linger here too long.
; dlga_lady_talk:lady_marriage_discussion|Do you think that we may have a future together, {reg65?my lady:kind sir}?
; dlga_lady_marriage_discussion:lady_other_suitor|As you may know, I have been entertaining offers from a number of {nobles/suitors} such as yourself. I am not yet at a stage where I can commit to any of them.
; dlga_lady_marriage_discussion:lady_proposal_refused|It is good to hear that you are thinking seriously about the future. However, I would like to see you rise a little further in the world before I am ready to commit to marry you.
; dlga_lady_marriage_discussion:lady_proposal_refused.1|It is good to hear that your intentions are honorable. However, I have resolved only to marry a man of the strongest moral fiber. I would like you to prove yourself more in that regard.
; dlga_lady_marriage_discussion:lady_proposal_refused.2|Sir -- it is comforting to hear that your intentions towards me are honorable. But perhaps we should take the time to get to allow our affections for each other to grow a little stronger, before making any such decision.
; dlga_lady_marriage_discussion:lady_betrothed|Oh {playername}, how happy that would make me! But my {s11} {s4} would never allow it... Perhaps it is best that we part...
; dlga_lady_marriage_discussion:close_window|Oh {playername}, how happy that would make me! Go ask my {s11} {s4} for permission!
; dlga_lady_proposal_refused:lady_proposal_refused_persuade_check|Perhaps I can persuade you to delay no further.
; dlga_lady_proposal_refused_persuade_check:lady_proposal_refused_persuade_player_response|What do you have to say?
; dlga_lady_proposal_refused_persuade_player_response:lady_proposal_refused_persuade_result|Love is as a rose, my {reg65?lady:lord}. Left unplucked, it may wither.
; dlga_lady_proposal_refused_persuade_player_response:lady_pretalk|Oh, never mind.
; dlga_lady_proposal_refused_persuade_result:close_window|Enough! I shall not be rushed into marriage, with you or with anyone else! You have made me very cross. Please, leave me alone for a while. I shall let you know when I am ready to speak to you again.
; dlga_lady_proposal_refused_persuade_result:lady_betrothed|Oh {playername}, I could never allow that to happen! Oh, if only we could be wed! But my {s11} {s4} would never give {reg4?her:his} permission... Perhaps it is best that we part...
; dlga_lady_proposal_refused_persuade_result:close_window.1|Oh {playername}, I could never allow that to happen! Go ask my {s11} {s4} {reg4?her:his} permission for us to be wed!
; dlga_lady_proposal_refused:close_window|Very well -- I shall continue to strive to be worthy of your esteem!
; dlga_lady_proposal_refused:lady_player_threatens_compel|I am tired of these games! I will speak to your family about arranging a wedding immediately..
; dlga_lady_player_threatens_compel:lady_player_threatens_compel_2|What? Do you mean that?
; dlga_lady_player_threatens_compel_2:lady_private_conversation_end|No, of couse not. Please forgive my burst of temper
; dlga_lady_player_threatens_compel_2:close_window|Yes -- you clearly do not know what is in your best interests.
; dlga_lady_other_suitor:lady_pretalk|It grieves me to hear that, my {reg65?lady:lord}, but such things must be
; dlga_lady_other_suitor:lady_other_suitor_challenge|Who is the miscreant! Tell me {his/her} name!
; dlga_lady_other_suitor:lady_player_threatens_compel|I am tired of these games! I will demand that your family compel you to marry me..
; dlga_lady_other_suitor_challenge:lady_pretalk|I would be so grateful! But from what I understand, you already have a duel on your hands. {reg0?She:He} is not honor-bound to fight you, if you are committed to another combat. Please, conclude your other business in a hurry, to rescue me from that {reg0?woman:man}'s attentions!.
; dlga_lady_other_suitor_challenge:lady_pretalk.1|Ah! Such talk. But from what I hear, you already have a duel on your hands. Finish one before you start another! Sigh... {reg0?You {men/women}:People} can be so silly...
; dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm|It is {s5}. Please, rescue me from that {reg0?woman:man}'s attentions!
; dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.1|Will you now? This should be interesting. Very well. Your rival is {s5}. Let us see which of you has the greater mettle.
; dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.2|Oh, fie! I wish that this were not a matter of honor, so I could refuse such a request. But alas, I feel compelled to tell you that your rival is {s5}. I wish that heaven had not granted me such a fair visage, so that I would not inspire such passions in {men/women}!
; dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.3|I will have none of such talk! It is nonsense for you and {s5} to fight over -- whoops! I beg of you, forget the name that just escaped my lips...
; dlga_lady_other_suitor_challenge_confirm:lady_other_suitor_challenge_confirm_yes|So be it! I shall challenge {reg0?her:him} to a trial of arms!
; dlga_lady_other_suitor_challenge_confirm:lady_other_suitor_challenge_confirm_no|On second thought, I let my passions run away with me there. Never mind.
; dlga_lady_other_suitor_challenge_confirm_yes:lady_pretalk|{s15}
; dlga_lady_other_suitor_challenge_confirm_no:lady_private_conversation_end|Good. You are wise not to let your temper guide you.
; dlga_lady_talk:lady_ask_for_quest|Is there anything I can do to win your favour?
; dlga_lady_ask_for_quest:lady_pretalk|I don't have anything else for you to do right now.
; dlga_lady_ask_for_quest:lady_mission_told|Oh, I fear I may never see my {s17}, {s13}, again... {s13} is a prisoner in the dungeon of {s14}. We have tried to negotiate a ransom, but it has been set too high. We can never hope to raise that much money without selling everything we own. Instead I came up with a plan to get {s13} out of there, but it requires someone to make a great sacrifice, and so far my pleas have fallen on deaf ears...
; dlga_lady_ask_for_quest:lady_mission_told.1|My poor {s11}, {s13}, is a prisoner in the {s14} dungeons. The only way we can talk to each other is by exchanging letters whenever we can, but the journey is so dangerous that we get little chance to do so. Please, would you deliver one for me?
; dlga_lady_ask_for_quest:lady_quest_duel_for_lady|Dear {playername}, you are kind to ask, but you know little of my troubles and I can't possibly ask you to throw yourself into danger on my behalf.
; dlga_lady_quest_duel_for_lady:lady_quest_duel_for_lady_2|Tell me what the problem is, and I can make my own decision.
; dlga_lady_quest_duel_for_lady_2:lady_quest_duel_for_lady_3|Very well, as you wish it... My {reg1?wife:husband} has made certain enemies in {reg1?her:his} life, {playername}. One of the most insidious is {s13}. {reg0?She:He} is going around making terrible accusations against me, impugning my honour at every turn! Because {reg0?she:he} cannot harm my {reg1?wife:husband} directly, {reg0?she:he} is using me as a target to try and stain our name. You should hear the awful things {reg0?she:he}'s said! I only wish there was someone brave enough to make {reg0?her:him} recant {reg0?her:his} slander, but {s13} is a very fine swordsman, and {reg0?she:he}'s widely feared...
; dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_accepted|I fear {reg0?her:him} not, {s65}. I will make {reg0?her:him} take back {reg0?her:his} lies.
; dlga_lady_quest_duel_for_lady_3_accepted:close_window|Oh! I can't ask that of you, {playername}, but... I would be forever indebted to you, and you are so sure. It would mean so much if you would defend my honour. Thank you a thousand times, all my prayers and my favour go with you.
; dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_rejected|If {reg0?she:he}'s that dangerous, perhaps maybe it would be better to ignore {reg0?her:him}...
; dlga_lady_quest_duel_for_lady_3_rejected:close_window|Oh... Perhaps you're right, {playername}. I should let go of these silly childhood ideas of chivalry and courage. {Men/People} are not like that, not anymore. Good day to you.
; dlga_lady_ask_for_quest:lady_pretalk.1|No, {playername}, I've no need for a champion right now.
; dlga_lady_mission_told:lady_mission_accepted|As you wish it, {s65}, it shall be done.
; dlga_lady_mission_told:lady_mission_rejected|{s66}, I fear I cannot help you right now.
; dlga_lady_mission_accepted:close_window|You are a true {gentleman/lady}, {playername}. Thank you so much for helping me
; dlga_lady_mission_rejected:close_window|You'll not help a {reg65?woman:young lad} in need? You should be ashamed, {playername}... Please leave me, I have some important embroidery to catch up.
; dlga_lady_talk:lady_restore_relation|I want to improve my relation with a lord. Can you help me?
; dlga_lady_restore_relation:lady_pretalk|{playername}, I don't know you well enough to act on your behalf. I am sorry.
; dlga_lady_restore_relation:lady_restore_relation_2|Hmm. I guess you got on the wrong side of somebody. Very well, who do you want to restore your relation with?
; dlga_lady_restore_relation_2:lady_restore_relation_2b|{s1}
; dlga_lady_restore_relation_2:lady_pretalk|Never mind. I get along with everyone well enough.
; dlga_lady_restore_relation_2b:lady_restore_relation_3|Well I can try to help you there. I am sure a few expensive gifts will make {s10} look at you more favorably.
; dlga_lady_restore_relation_3:lady_restore_relation_4|You can improve your relation with {s10} by sending {reg4?her:him} a gift worth {reg10} coins. But if you can afford spending {reg11} coins on the gift, it would make a good impression on {reg4?her:him}. And if you can go up to {reg12} coins, that would really help smooth things out.
; dlga_lady_restore_relation_4:lady_restore_relation_5|I think a gift of {reg10} coins will do.
; dlga_lady_restore_relation_4:lady_restore_relation_5.1|Maybe I can afford {reg11} coins.
; dlga_lady_restore_relation_4:lady_restore_relation_5.2|In that case, I am ready to spend {reg12} coins.
; dlga_lady_restore_relation_4:lady_restore_relation_cant_afford|I don't think I can afford a gift at the moment.
; dlga_lady_restore_relation_5:lady_restore_relation_6|Excellent. Then I'll choose an appropriate gift for you and send it to {s10} with your compliments. I am sure {reg4?she:he} will appreciate the gesture.
; dlga_lady_restore_relation_6:lady_pretalk|Thank you for your help, my lady.
; dlga_lady_restore_relation_cant_afford:lady_pretalk|I am afraid, I can't be of much help in that case, {playername}. I am sorry.
; dlga_lady_talk:lady_leave|I must beg my leave.
; dlga_lady_leave:close_window|{s12}
; dlga_convince_begin:convince_options|I still don't see why I should accept what you're asking of me.
; dlga_convince_options:convince_bribe|Then I'll make it worth your while. ({reg8} coins)
; dlga_convince_options:convince_friendship|Please, do it for the sake of our friendship. (-{reg9} to relation)
; dlga_convince_options:convince_persuade_begin|Let me try and convince you. (Persuasion)
dlga_convince_options:lord_pretalk|Zapomeň na to.
; dlga_convince_bribe:convince_bribe_verify|Mmm, a generous gift to my coffers would certainly help matters... {reg8} coins should do it. If you agree, then I'll go with your suggestion.
; dlga_convince_bribe_verify:convince_bribe_cant_afford|I'm afraid my finances will not allow for such a gift.
; dlga_convince_bribe_verify:convince_bribe_goon|Very well, please accept these {reg8} coins as a token of my gratitude.
; dlga_convince_bribe_verify:convince_begin|Let me think about this some more.
; dlga_convince_bribe_cant_afford:convince_options|Ah. In that case, there is little I can do, unless you have some further argument to make.
; dlga_convince_bribe_goon:convince_accept|My dear {playername}, your generous gift has led me to reconsider what you ask, and I have come to appreciate the wisdom of your proposal.
; dlga_convince_friendship:convince_friendship_verify|You've done well by me in the past, {playername}, and for that I will go along with your request, but know that I do not like you using our relationship this way.
; dlga_convince_friendship_verify:convince_friendship_go_on|I am sorry, my friend, but I need your help in this.
; dlga_convince_friendship_verify:lord_pretalk|If it will not please you, then I'll try something else.
; dlga_convince_friendship_go_on:convince_accept|All right then, {playername}, I will accept this for your sake. But remember, you owe me for this.
; dlga_convince_friendship:lord_pretalk|I don't think I owe you such a favor {playername}. I see no reason to accept this for you.
; dlga_convince_friendship:lord_pretalk.1|Is this a joke? You've some nerve asking me for favours, {playername}, and let me assure you you'll get none.
; dlga_convince_persuade_begin:convince_persuade_begin_2|Very well. Make your case.
; dlga_convince_persuade_begin_2:convince_persuade|[Attempt to persuade]
; dlga_convince_persuade_begin_2:convince_begin|Wait, perhaps there is another way to convince you.
; dlga_convince_persuade_begin:lord_pretalk|By God's grace, {playername}! Haven't we talked enough already? I am tired of listening to you, and I do not want to hear any more of it right now.
; dlga_convince_persuade:convince_accept|All right, all right. You have persuaded me to it. I'll go ahead with what you suggest.
; dlga_convince_persuade:convince_options|You've a point, {playername}, I'll admit that much. However I am not yet convinced I should do as you bid.
; dlga_convince_persuade:convince_options.1|Enough, {playername}. You've a lot of arguments, but I find none of them truly convincing. I stand by what I said before.
; dlga_convince_persuade:convince_options.2|Truthfully, {playername}, I fail to see the virtue of your reasoning. What you ask for makes even less sense now than it did before.
; dlga_start:siege_won_seneschal_1|I must congratulate you on your victory, my {lord/lady}. Welcome to {s1}. We, the housekeepers of this castle, are at your service.
; dlga_siege_won_seneschal_1:siege_won_seneschal_2|Are you the seneschal?
; dlga_siege_won_seneschal_2:siege_won_seneschal_3|Indeed I am, my {lord/lady}. I have always served the masters of {s1} to the best of my ability, whichever side they might be on. Thus you may count on my utmost loyalty for as long as you are the {lord/lady} of this place. Now, do you intend to keep me on as the seneschal? I promise you will not be disappointed.
; dlga_siege_won_seneschal_3:siege_won_seneschal_4|Very well, you may keep your post for the time being.
; dlga_siege_won_seneschal_3:siege_won_seneschal_4.1|You can stay, but I shall be keeping a close watch on you.
; dlga_siege_won_seneschal_4:siege_won_seneschal_5|Thank you, my {lord/lady}. If you do not mind my impudence, may I inquire as to what you wish to do with the castle?
; dlga_siege_won_seneschal_5:siege_won_seneschal_6|I will sell it to another lord.
; dlga_siege_won_seneschal_5:siege_won_seneschal_6.1|I intend to claim it for myself.
; dlga_siege_won_seneschal_5:siege_won_seneschal_list_options|I haven't given it much thought. What are my options?
; dlga_siege_won_seneschal_list_options:siege_won_seneschal_list_options_2|According to our laws and traditions, you can do one of several things. First, you could station a garrison here to protect the castle from any immediate counterattacks, then request an audience with some wealthy lord and ask him to make you an offer. It would be worth a tidy sum, believe you me. If you do not wish to sell, then you will have to find yourself a liege lord and protector who would accept homage from you. Without a royal investiture and an army at your back, you would have a difficult time holding on to the castle. Both you and {s1} would become great big targets for any man with a few soldiers and a scrap of ambition. 
; dlga_siege_won_seneschal_list_options_2:siege_won_seneschal_list_options_3|What do you mean, a liege lord and protector? I won this place by my own hand, I don't need anyone else!
; dlga_siege_won_seneschal_list_options_3:siege_won_seneschal_list_options_4|Of course you don't, my {lord/lady}. However, no lord in the land will recognize your claim to the castle unless it is verified by royal decree. They would call {s1} an outlaw stronghold and take it from you at the earliest opportunity. Surely not even you could stand against a whole army.
; dlga_siege_won_seneschal_list_options_4:siege_won_seneschal_6|Hmm. I'll give it some thought.
; dlga_siege_won_seneschal_6:close_window|I am very pleased to hear it, my {lord/lady}. I am only trying to serve you to the best of my ability. Now, if at any time you find you have further need of me, I will be in the great hall arranging a smooth handover of the castle to your forces. 
; dlga_start:seneschal_intro_1|Good day. I do not believe I've seen you here before. Let me extend my welcome to you as the seneschal of {s1}.
; dlga_seneschal_intro_1:seneschal_intro_1a|A pleasure to meet you, {s65}.
; dlga_seneschal_intro_1a:seneschal_talk|How can I help you?
; dlga_seneschal_intro_1:seneschal_intro_1b|What exactly do you do here?
; dlga_seneschal_intro_1b:seneschal_talk|Ah, a seneschal's duties are many, good {my lord/woman}. For example, I collect the rents from my lord's estates, I manage the castle's storerooms, I deal with the local peasantry, I take care of castle staff, I arrange supplies for the garrison... All mundane matters on this fief are my responsibility, on behalf of my lord. Everything except commanding the soldiers themselves.
dlga_start:seneschal_talk|Dobrý den.
dlga_seneschal_pretalk:seneschal_talk|Ještě něco?
dlga_seneschal_talk:seneschal_ask_something|Chci se tě na něco zeptat...
dlga_seneschal_talk:seneschal_ask_about_someone|Chci se o někom dozvědět více...
dlga_seneschal_ask_about_someone:seneschal_ask_about_someone_2|Možná ti mohu pomoci. O kom jsi to mluvil?
dlga_seneschal_ask_about_someone_2:seneschal_pretalk|Zapomeň na to.
dlga_seneschal_talk:close_window|Musím tě teď opustit. Na viděnou.
dlga_seneschal_ask_something:seneschal_ask_something_2|Řeknu ti co budu moci, samozřejmě. Tak co chceš vědět?
dlga_seneschal_ask_something_2:seneschal_ask_location|Možná víš kde někoho najít...
dlga_seneschal_ask_location:seneschal_ask_location_2|No, muž v mém postavení slyšel o mnohém. Koho hledáš?
dlga_seneschal_ask_location_2:seneschal_ask_location_3|{s1}
dlga_seneschal_ask_location_2:seneschal_pretalk|Zapomeň na to.
dlga_seneschal_ask_location_3:seneschal_pretalk|{s1}
; dlga_start:close_window.26|There! I can see the walls of {s3} in the distance. We've made it safely. Here, take this purse of {reg3} coins, as I promised. I hope we can travel together again someday.
; dlga_start:talk_caravan_escort|We've made it this far... Is everything clear up ahead?
; dlga_talk_caravan_escort:talk_caravan_escort_2a|There might be bandits nearby. Stay close.
; dlga_talk_caravan_escort_2a:close_window|Trust me, {playername}, we're already staying as close to you as we can. Lead the way.
; dlga_talk_caravan_escort:talk_caravan_escort_2b|No sign of trouble, we can breathe easy.
; dlga_talk_caravan_escort_2b:close_window|I'll breathe easy when we reach {s1} and not a moment sooner. Let's keep moving.
; dlga_start:merchant_talk|What do you want? We paid our toll to you less than three days ago.
; dlga_start:merchant_talk.1|Hail, friend.
; dlga_start:merchant_talk.2|What do you want? We are but simple merchants, we've no quarrel with you, so leave us alone.
; dlga_start:merchant_talk.3|Be warned, knave! This caravan is under the protection of {s9}. Step out of our way or you will face his fury!
dlga_start:merchant_talk.4|Ano? Co chceš?
dlga_merchant_pretalk:merchant_talk|Ještě něco?
; dlga_merchant_talk:caravan_start_war_quest_1|You are trespassing in the territory of the {s17}. I am confiscating this caravan and all its goods!
; dlga_caravan_start_war_quest_1:caravan_start_war_quest_2|What? What nonsense is this? We are at peace with the {s17}, and are free to cross its lands!
; dlga_caravan_start_war_quest_2:merchant_attack|We'll see about that! Defend yourselves!
; dlga_caravan_start_war_quest_2:close_window|Hmm. Maybe this was all a misunderstanding. Farewell.
dlga_merchant_talk:merchant_talk_offer|Mám pro tebe nabídku.
dlga_merchant_talk_offer:merchant_talk_offer_2|O co jde?
dlga_merchant_talk_offer_2:caravan_offer_protection|Můžu vás doprovodit na vaší cestě, za jistý poplatek.
dlga_merchant_talk_offer_2:merchant_pretalk|Nic, zapomeň na to.
dlga_merchant_talk:merchant_bandit_information|Hledán skupinu banditů s tímhle popisem... neviděl jste je?
dlga_merchant_bandit_information:merchant_pretalk|{s15}
dlga_merchant_talk:merchant_trip_explanation|Řekni mi o vaší cestě.
dlga_merchant_trip_explanation:merchant_pretalk|Míříme z {s11} do {s12}.{s14}
dlga_merchant_talk:merchant_demand|Něco od vás požaduji!
dlga_merchant_demand:merchant_demand_2|Co chceš?
dlga_merchant_demand_2:merchant_demand_toll|Tady se platí mýtné, za volný průchod!
dlga_merchant_demand_toll:merchant_demand_toll_2|Prosím, nechci žádné potíže. Můžu vám dát {reg6} zlatých, jen nás nechte jít.
dlga_merchant_demand_toll:merchant_demand_toll_2.1|Nechci žádné potíže. Můžu vám dát {reg6} zlatých, pokud nás necháte jít.
dlga_merchant_demand_toll_2:merchant_demand_toll_accept|Dohodnuto, dej sem peníze a můžete pokračovat v cestě.
dlga_merchant_demand_toll_accept:close_window|Dobrá tedy, tady je {reg6} zlatých.
dlga_merchant_demand_toll_2:merchant_pretalk|{Rozmyslel/Rozmyslela} jsem si to, nemůžu přijmou vaše peníze.
dlga_merchant_demand_toll_2:merchant_attack|Ne, chci všechno co máte! [Zaútočit]
dlga_merchant_demand_2:merchant_attack_begin|Dejte mi hned všechno vaše zlato a cennosti!
dlga_merchant_demand_2:merchant_pretalk|Nic, zapomeň na to.
dlga_merchant_attack_begin:merchant_attack_verify|To nás chcete okrást?{s11}
dlga_merchant_attack_verify:merchant_attack_verify_norob|Okrást vás? Ne, ne! To byl jen vtip.
dlga_merchant_attack_verify_norob:close_window|Bože, o tom nevtipkujte {můj pane/má paní}. Na chvíli jsem si myslel, že máme skutečné potíže.
dlga_merchant_attack_verify:merchant_attack|Samozřejmě, že vás chci okrást. Teď mi dejte všechno vaše zboží!
dlga_merchant_attack:close_window|K čertu s tebou, od nás nic nedostaneš bez boje!
dlga_caravan_offer_protection:caravan_offer_protection_2|Tyhle cesty jsou opravdu nebezpečné. Člověk se nikdy necítí v bezpečí.
dlga_caravan_offer_protection_2:close_window|Doprovod? Vždyť už jsme téměř v cíli! Ale děkuji za vaši nabídku.
dlga_caravan_offer_protection_2:caravan_offer_protection_3|Míříme do {s1}. Zaplatím vám {reg2} zlatých, pokud nás tam dostanete.
dlga_caravan_offer_protection_3:caravan_offer_protection_4|Dohodnuto.
dlga_caravan_offer_protection_4:caravan_offer_protection_5|Chci abys {zůstal/zůstala} poblíž. Pokud nás přepadnou bandité, budeme potřebovat vaši pomoc.
dlga_caravan_offer_protection_5:caravan_offer_protection_6|Neboj se, můžete mi věřit.
; dlga_caravan_offer_protection_6:close_window|Good. Come and collect your money when we're within sight of {s1}. For now, let's just get underway.
; dlga_caravan_offer_protection_3:caravan_offer_protection_4b|Forget it.
; dlga_caravan_offer_protection_4b:close_window|Perhaps another time, then.
; dlga_merchant_talk:talk_caravan_enemy_2|Not so fast. First, hand over all your goods and money.
; dlga_talk_caravan_enemy_2:close_window|Never. It is our duty to protect these goods. You shall have to fight us, brigand!
; dlga_merchant_talk:close_window|[Leave]
; dlga_start:prison_guard_players|Good day, {s0}. Will you be visiting the prison?
; dlga_prison_guard_players:close_window|Yes. Unlock the door.
; dlga_prison_guard_players:close_window.1|No, not now.
dlga_start:prison_guard_talk|Ano? Co chceš?
; dlga_prison_guard_talk:prison_guard_ask_prisoners|Who is imprisoned here?
; dlga_prison_guard_talk:prison_guard_visit_prison|I want to speak with a prisoner.
; dlga_prison_guard_talk:dplmc_prison_guard_talk_ask_prisoner|I want to release a prisoner.
; dlga_dplmc_prison_guard_talk_ask_prisoner:dplmc_prison_guard_talk_prisoner_select|Alright, which prisoner shall I set free?
; dlga_dplmc_prison_guard_talk_prisoner_select:dplmc_prison_guard_exchange_prisoner_ask_confirm|{s10} of {s11}.
; dlga_dplmc_prison_guard_talk_prisoner_select:close_window|No one.
; dlga_dplmc_prison_guard_exchange_prisoner_ask_confirm:dplmc_prison_guard_exchange_prisoner_confirm|As you wish, I will release {s10} of {s11}.
; dlga_dplmc_prison_guard_exchange_prisoner_confirm:close_window|Very well.
dlga_dplmc_prison_guard_exchange_prisoner_confirm:close_window.1|Ne, {změnil/změnila} jsem názor.
; dlga_prison_guard_ask_prisoners:prison_guard_talk|Currently, {s50} {reg1?are:is} imprisoned here.{s49}
; dlga_prison_guard_visit_prison:close_window|Of course. Go in.
; dlga_prison_guard_visit_prison:prison_guard_visit_prison_2|You need to get permission from the lord to talk to prisoners.
; dlga_prison_guard_visit_prison:prison_guard_visit_prison_nobody|There is nobody inside, therefore you can freely go inside and look around.
; dlga_prison_guard_visit_prison_nobody:close_window|All right then. I'll take a look at the prison.
; dlga_prison_guard_visit_prison_nobody:close_window.1|I have more important business to do.
; dlga_prison_guard_visit_prison_2:close_window|All right then. I'll try that.
; dlga_prison_guard_visit_prison_2:prison_guard_visit_prison_3|Come on now. I thought you were the boss here.
; dlga_prison_guard_visit_prison_3:prison_guard_visit_prison_4|He-heh. You got that right. Still, I can't let you into the prison.
; dlga_prison_guard_visit_prison_4:close_window|All right then. I'll leave now.
; dlga_prison_guard_visit_prison_4:prison_guard_visit_prison_5|I found a purse with 100 coins a few paces away. I reckon it belongs to you.
; dlga_prison_guard_visit_prison_5:close_window|Ah! I was looking for this all day. How good of you to bring it back {Ser/my lady}. Well, now that I know what an honest {man/lady} you are, there can be no harm in letting you inside for a look. Go in.... Just so you know, though -- I'll be hanging onto the keys, in case you were thinking about undoing anyone's chains.
dlga_prison_guard_visit_prison_4:prison_guard_visit_break|Dej mi ty klíče od cel!
dlga_prison_guard_visit_break:close_window|Poplach! Poplach! Vězeň utekl!
dlga_prison_guard_talk:close_window|Zapomeň na to.
dlga_start:castle_guard_players|Vaše rozkazy, {pane/paní}?
dlga_castle_guard_players:close_window|Otevři dveře. Jdu tam.
dlga_castle_guard_players:close_window.1|Zapomeň na to.
dlga_start:castle_guard_sneaked_intro_1|Jdi mi z očí, žebráku! Páchneš!
dlga_start:close_window.27|Ztrať se, než já ztratím nervy, žebrácká holoto!
dlga_castle_guard_sneaked_intro_1:castle_guard_sneaked_intro_2|Chci vstoupit do haly a promluvit si s lordem.
dlga_castle_guard_sneaked_intro_1:close_window|[Odejít]
; dlga_castle_guard_sneaked_intro_2:close_window|Are you out of your mind, {man/woman}? Beggars are not allowed into the hall. Now get lost or I'll beat you bloody.
dlga_start:castle_guard_intro_1|Co chceš?
; dlga_castle_guard_intro_1:castle_guard_intro_2|I want to enter the hall and speak to the lord.
dlga_castle_guard_intro_1:close_window|Zapomeň na to.
; dlga_castle_guard_intro_2:close_window|I'm afraid there is a feast in progress, and you are not invited.
; dlga_castle_guard_intro_2:castle_guard_intro_3|You can go in after leaving your weapons with me. No one is allowed to carry arms into the lord's hall.
; dlga_castle_guard_intro_3:close_window|Here, take my arms. I'll go in.
