dlga_start:lco_conversation_end|Buyrun.
; dlga_wildfire_talk5:wildfire_talk6.3|Very well...
; dlga_wildfire_talk6:wildfire_talk7.3|Do you believe in the Seven, {playername}? That the Father Above watches you, the Warrior protects you, the Crone lights the way?
; dlga_wildfire_talk7:wildfire_talk8.1|I do.
; dlga_wildfire_talk7:wildfire_talk9|I do not.
; dlga_wildfire_talk8:close_window|Then to you I say 'bahhh'. Go rut around in the mud with the other sheep, and leave us enlightened men to continue our work.
; dlga_wildfire_talk9:close_window|Ah, a learned men is what you are then. Well done I say. Too many superstitious fools rut around in the mud, always looking for answers they'll never find. Marwyn could tell you all about what it's like to rut around down there.
; dlga_start:close_window.148|Yes?
; dlga_start:wildfire_talk.3|Yes? How can I help you?
; dlga_wildfire_talk:wildfire_talk2.3|Who are you?
; dlga_wildfire_talk:close_window.3|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.9|An Archmaester of the Citadel! Though there's plenty of us around, these days the conclave will give any man who's read a book the title. Just look at Harodon. Bigger fool you'd have to search for far and wide. The Faith can be niggardly, stubborn, backwards and cruel, but the septons still hold more power than we'll ever do, advisers of lords and ladies though we are. It's unwise to antagonize those with more power than yourself.
; dlga_wildfire_talk3:wildfire_talk5.1|You won't hear me defend the septons though. They've burned more books than I care to think about. Imagine what we would know of the past, if it wasn't for Baelor Targaryen. All those books, gone, and for what? Some silly king, half a boy, who fancied himself more than a man, more than a king. Baelor saw himself as the embodiement of the Seven, a god made flesh.
; dlga_wildfire_talk5:wildfire_talk6.4|Very well...
; dlga_wildfire_talk6:wildfire_talk7.4|It's all here in the books. The evidence. You just have to look for it. Plenty of people don't. They'll read some asinine book meant for bored lords and ladies, and think they understand the way the world works. But without proper training, how will they ever be able to see the world for what is really is. Bah, nothing worse than some uneducated know-it-all. But ah, enough of the rabble. More important things are afoot in the world. Did you know that the Citadel is always looking for lost works? Books, scrolls, ledgers. Would you be interested in procuring such items for us, {playername}?
; dlga_wildfire_talk7:wildfire_talk8.2|I am interested.
; dlga_wildfire_talk8:close_window.1|Ah, good. Books are precious, you know. A single copy of Barths 'Unnatural History' would be worth more than a sword of valyrian steel. Imagine that, {playername}! Alas, Baelor was thorough in destroying all of Barths writings. But enough about that. If you want to help us conserve the knowledge of the past, travel to King's Landing. The Citadel employs a procurer in the city, who always scours the bookshops for unknown writings, but he often needs men who can travel further from the city and pick up books from other places. His name is Malko, you can find him on Coppersmith's Wynd. He runs a shop called 'Malkos Bookstore'. No one ever required the man to have a bit of imagination, but still...
; dlga_wildfire_talk7:close_window.4|I am not interested.
; dlga_start:close_window.149|Yes?
; dlga_start:wildfire_talk.4|Ah, a customer! How can I help you, my good man?
; dlga_wildfire_talk:wildfire_talk2.4|I've been sent by Archmaester Harodon.
; dlga_wildfire_talk:close_window.4|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.10|Joyous news! My last procurer had a nasty accident a couple of months back. Cut himself on a fine piece of vellum, and would you believe it, it turned gangrenous! Lost his whole hand. Sad story, so sad. At least it wasn't his right hand, he'll still be able to work as a scribe... 
; dlga_wildfire_talk3:wildfire_talk4.4|What does a procurer do?
; dlga_wildfire_talk4:wildfire_talk5.7|They procure books. I have many contacts throughout the Seven Kingdoms, and you wouldn't believe the kind of lost knowledge the lords and knights of the realm have hidden away in their cellars. Once, I found a piece of Septon Barth's 'Dragons, Wyrms and Wyverns: Their Unnatural History' being used as a tablecloth in the room of an old blind knight. Sold it to Tyrion Lannister for a king's ransom. Even the Citadel itself cannot outbid a Lannister. But they are my most persistent customers, the maesters.
; dlga_wildfire_talk5:wildfire_talk6.5|But what do you need me for?
; dlga_wildfire_talk6:wildfire_talk7.5|I can't leave my shop to go gallivanting around the world looking for books, but I can't send a soft scribe in my place either. Even at the best of times, the roads can be hazardous. But you look like a tough sort, and I have work for someone tough. I've heard rumours of a book, hidden away in the Vale. It might be multiple books to tell you the truth. It's referenced in various texts, most notably in one of Barth's fragments. It goes by different names. The Dreams of Azathoth. Dead Names. But it's most often called The Mysteries of the Worm. Who knows which one is real. I think it's a myth, but imagine if not! We could sell the book to the maesters for unimaginable riches!
; dlga_wildfire_talk7:wildfire_talk8.3|It's very valuable?
; dlga_wildfire_talk8:close_window.2|Ah, not really. Marwyn writes that the people of Asshai tell tales of the book. It's supposed to be an introduction to all kinds of magic. Silly superstitions. But the maesters have labored long and hard to eradicate supposed 'magical' textbooks, and a find such as this could render many of their efforts futile. So they'd pay well to have it destroyed. According to my sources, a septon has been making mentions of a magical book in the north-western parts of the Vale. Go there and talk to him, {playername}, find out if there's any truth to the whole thing. I'll reward you handsomely, and here's a bit of an advance.
; dlga_start:close_window.150|Yes?
; dlga_start:wildfire_talk.5|A blessing, my good man? The Father Above is all the protection you need. Lay down your weapons and rejoice in his holy light.
; dlga_wildfire_talk:wildfire_talk2.5|I'm looking for a book.
; dlga_wildfire_talk:close_window.5|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.11|What book?...
; dlga_wildfire_talk3:wildfire_talk4.5|The Mysteries of the Worm?
; dlga_wildfire_talk4:wildfire_talk5.8|Never heard of it. Only book a godly man need is The Seven-Pointed Star. Everything else is just worldly knowledge, soon to be forgotten. Why waste your time with books about plants when you could show your devotion to the Seven instead?
; dlga_wildfire_talk5:wildfire_talk6.6|So you haven't heard anything about a book? It's supposed to be rare.
; dlga_wildfire_talk6:wildfire_talk7.6|Haven't heard anything about much lately. This is a remote corner of the world, my little place of worship. The smallfolk around here are simple, with simple needs and simple dreams.
; dlga_wildfire_talk7:wildfire_talk8.4|Do you know anyone who might have knowledge of books in the area?
; dlga_wildfire_talk8:close_window.3|Can't say I do. Though perhaps Ser Elston have heard something. His holdings are to the east of here, close to the foot of the mountains. We're very isolated here, but if anyone have heard anything about books, it's either Ser Elston or his maester.
; dlga_start:close_window.151|Yes?
; dlga_start:wildfire_talk.6|Terrible weather, isn't it? It feels... sour. Somethings wrong with it.
; dlga_wildfire_talk:wildfire_talk2.6|What do you mean?
; dlga_wildfire_talk:close_window.6|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.12|This whole place is... wrong. Should have stayed on the road. Never wanted this. I'm Ser Elston Boone, the last of House Boone. Inherited these holdings from a distant cousin last year. Used to be a tourney knight. What a life, riding from town to town, not a care in the world. Now I'm shackled to this place.
; dlga_wildfire_talk3:wildfire_talk4.6|I'm looking for a rare book, and was wondering if I might consult with your maester?
; dlga_wildfire_talk4:wildfire_talk5.9|The Mysteries of the Worm? I can see from your reaction that's the one. Cadwyn has not been talking about anything else for weeks. Found it mentioned in some old papers left behind by one of my ancestors. Mentioned something about Witch Isle and the Upcliffs. Cadwyn was sure he could figure out where the book went... Did you hear that?! There's something in the walls. Perhaps it's just rats... but they'd have to be a monstrous size...
; dlga_wildfire_talk5:wildfire_talk6.7|Can I talk to maester Cadwyn?
; dlga_wildfire_talk6:wildfire_talk7.7|Afraid not, {playername}.
; dlga_wildfire_talk7:wildfire_talk8.5|Why not?
; dlga_wildfire_talk8:close_window.4|He killed himself. Two days ago. Cut his own throat. Bad way to go. It's this sour air. It turns everyone mad. He rambled for days you know. Shouting about the Long Night. About great white spiders and wights walking up and down a wall... his trip to the barrow changed him... should never visit barrows, {playername}, the dead sleep better when not disturbed...
; dlga_start:close_window.152|Yes?
; dlga_start:wildfire_talk.7|Ah, {playername}! Tell me, did you find the book?
; dlga_wildfire_talk:wildfire_talk2.7|I did not.
; dlga_wildfire_talk:close_window.7|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.13|Oh, what a shame. Just a rumor then, nothing to it? I hear all kinds of stories, most of them untrue. You wouldn't believe the nonsense tales that originate in remote hamlets.
; dlga_wildfire_talk3:wildfire_talk4.7|I did hear of a fragment of the book.
; dlga_wildfire_talk4:wildfire_talk5.10|You did? Tell me more!
; dlga_wildfire_talk5:wildfire_talk6.8|A maester found a clue or a sliver of notes partaining to it. I tried to find where it was, but all I found was a crazed man who had sacrificed to an old tree. He'd written the name 'YGG' on a stone, with the blood of one of his victims.
; dlga_wildfire_talk6:wildfire_talk7.8|'Ygg', you say? How quaint. The ironborn tell tales of how their legendary ruler, The Grey King, carved the first longship from a tree called Ygg. Supposively, a demon lived in the tree, a demon with the power of foresight. Anyone who had their future told by Ygg would inevitable meet with tragedy. Ygg always chose to tell the future in a way that would cause the most pain to the world.
; dlga_wildfire_talk7:wildfire_talk8.6|Is the story true?
; dlga_wildfire_talk8:close_window.5|Ah, not really. How could it be. A demon living in a tree? Sounds like the maester you mentioned got caught up in some fancy tale of his own. But forget about that, {playername}. At least you tried to find the book. That's worth a reward.
; dlga_start:close_window.153|Yes?
; dlga_start:wildfire_talk.8|Yes? Can I help you?
; dlga_wildfire_talk:wildfire_talk2.8|Ser Clifford? Septon Garibald told me you had need of someone to deliver a letter?
; dlga_wildfire_talk:close_window.8|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.14|Ah yes, I do. The maiden daughter of Symond Templeton, the Knight of Ninestars, is turning thirteen this next moon, and Ser Symonds uncles have decided to hold a tourney in her honor. My late wife was a Templeton by birth, making the young girl my niece by marriage. I've been invited to attend the melee, but my duties keep me here. However, I was always fond of my lady wife, and for her sake, I wish to send a name day present to the young girl.
; dlga_wildfire_talk3:wildfire_talk4.8|What can I do?
; dlga_wildfire_talk4:wildfire_talk5.11|Take this letter, and this ruby ring which belonged to my lady wife, and deliver them to the castellan of Ninestars, he'll make sure the young maid receives them. Be mindful, however, that you do not upset her uncles - they're a querulous bunch. I'll make sure you're compensated for your troubles, {playername}, obviously.
; dlga_wildfire_talk5:wildfire_talk6.9|Very well, I'll do it.
; dlga_wildfire_talk5:close_window.2|I'm afraid I can't carry all that now.
; dlga_wildfire_talk6:wildfire_talk7.9|Splendid! With all the chaos engulfing the realm, I imagine this will be the last great tourney in quite a while. While you're in the Vale, you should take the time to enjoy yourself. This summer has lasted a long time already, there's no knowing how much time we have left before winter arrives and we all have to huddle around our fires.
; dlga_wildfire_talk7:close_window.5|Very well, I'll take a look at the tourney while I'm there.
; dlga_start:close_window.154|Yes?
; dlga_start:wildfire_talk.9|Yes? Can I help you?
; dlga_wildfire_talk:wildfire_talk2.9|My lord? I'm looking for the castellan. I've brought a gift and letter from Ser Clifford Gower.
; dlga_wildfire_talk2:wildfire_talk3.15|Oh well, I'm the castellan of Ninestars, so you've found your man. Ser Clifford you say? By the Seven, we haven't heard from him in years. How is the old rogue doing? Oh, nevermind, how would you know. You said something about a gift? And a letter? I doubt Rowena can even remember Ser Clifford, not with all those great-uncles of hers taking up all her time and attention. Ser Symonds father had seven brothers, can you believe that?! Boisterous and arrogant the lot of them.
; dlga_wildfire_talk3:wildfire_talk4.9|Here's the letter and the gift.
; dlga_wildfire_talk4:wildfire_talk5.12|Ah, thank you {playername}, I do appreciate it. The young lady will surely enjoy this gift, the ring is an old family heirloom. I'll make sure she receives them right away. Say, while you're here, you should take a stroll around the grounds. A great many merchants and mummers have camped outside the walls, and they're sure to provide a great spectacle and much merriment.
; dlga_wildfire_talk5:wildfire_talk6.10|I'll do that.
; dlga_wildfire_talk6:wildfire_talk7.10|Good, good. Do stay around for the tourney, will you? We haven't had as many visitors as we hoped. The mountain clans have grown wild, and many knights and lords have decided to stay in their keeps and holdfasts, rather than risking the roads. It was different when Jon Arryn ruled the Vale, then those vile savages wouldn't have dared show their face unless they had ten times the numbers we do!
; dlga_wildfire_talk7:close_window.6|Very well, I'll take a look at the tourney while I'm there.
; dlga_start:close_window.155|Yes?
; dlga_start:wildfire_talk.10|{playername}. What where you thinking? The knight you attacked is Ser Raymun Templeton, Ser Symonds youngest uncle. What a mess, the man is infuriated. Let me ask you this, {playername}, how good of a fighter are you?
; dlga_wildfire_talk:wildfire_talk2.10|I can hold my own.
; dlga_wildfire_talk2:wildfire_talk3.16|Doesn't say much, does it? What a vague answer. You're a guest here, {playername}, and an unknown one at that. You struck a relative of the Knight of Ninestars, outside his own castle. Ser Symond would be in his right to cut off the offending hand. But Ser Raymun was never his favorite uncle, nor is he a friend of mine, so it's been agreed that you will be judged by someone other than Ser Symond. As it happens, I will be one of the three judges at your trial.
; dlga_wildfire_talk3:wildfire_talk4.10|Then why are you here?
; dlga_wildfire_talk4:wildfire_talk5.13|Why indeed. Ser Raymun and I have never been fast friends. To tell you the truth, I despise the man. However, the other two judges are his brothers. I'm the castellan of Ninestars, and a knight of House Tollett, my word carries weight in these parts, and I will urge the judges to be merciful. However, you struck the youngest brother of the two other judges, so there's a risk you'll wake up tommorow without a hand. There is another option, though.
; dlga_wildfire_talk5:wildfire_talk6.11|Tell me.
; dlga_wildfire_talk6:wildfire_talk7.11|You stand accused of assaulting a relative of the Knight of Ninestars. The judges will be unlikely to look upon your case with favorable eyes. But if you demand a trial by combat, you might be able to prevail. So I ask you again, {playername}, how good of a warrior are you?
; dlga_wildfire_talk7:close_window.7|I see.
; dlga_start:close_window.156|Sleep on it, {playername}, the trial starts tommorow.
; dlga_start:wildfire_talk.11|{playername}! Hah! Did you see the look on Raymuns face? That bastard got a surprise there, no denying it. But can you defeat him? I admit, I know nothing about you, except for your ability to hit knights right on the nose. Are you a knight yourself?
; dlga_wildfire_talk:wildfire_talk2.11|Yes.
; dlga_wildfire_talk:wildfire_talk2_no|No.
; dlga_wildfire_talk2:wildfire_talk3.17|Oh well, that makes everything so much easier. A knight! Really? Splendid. Do you have own armor? Sword, helmet, horse? Ah well, either way, I would be honored if you'd let me provide all you need. {playername}, during the trial, did you notice how some of the knights and ladies seemed to approve of your request? Ser Raymun is not well loved, and there's been stories... peasant girls have complained before... either way, I think that not only the smallfolk but a great part of the nobles will be on your side during this fight. Why, you ask? Well, a knight is sworn to protect the weak. You remembered those vows.
; dlga_wildfire_talk2_no:wildfire_talk3|Oh well, I guess it doesn't matter. Do you have own armor? Sword, helmet, horse? Ah well, either way, I would be honored if you'd let me provide all you need. {playername}, during the trial, did you notice how some of the knights and ladies seemed to approve of your request? Ser Raymun is not well loved, and there's been stories... peasant girls have complained before... either way, I think that not only the smallfolk but a great part of the nobles will be on your side during this fight.
; dlga_wildfire_talk3:wildfire_talk4.11|I suppose so.
; dlga_wildfire_talk4:wildfire_talk5.14|Do you know the rules of trial by combat, {playername}? The fight ends when either party yields or is killed, or when the accuser takes back his accusation, or when the accused declares himself guilty. You'll need to either kill Ser Raymun, or force him to yield and withdraw his accusations.
; dlga_wildfire_talk5:wildfire_talk6.12|Very well.
; dlga_wildfire_talk6:wildfire_talk7.12|I don't imagine there's much more to say. The trial is tommorow, I suggest you get some sleep. Ser Raymun was never a great warrior, but he's not unskilled either.
; dlga_wildfire_talk7:close_window.8|I see.
; dlga_start:close_window.157|Sleep on it, {playername}, the trial starts tommorow.
; dlga_start:wildfire_talk.12|Yes? Can I help you?
; dlga_wildfire_talk:wildfire_talk2.12|Are you from Cairnhall?
; dlga_wildfire_talk:close_window.9|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.18|Ah yes, yes, I am Tom, the Elder sent me here to find a knight, true and honorable!
; dlga_wildfire_talk3:wildfire_talk4.12|Erm, yes... Septon Garibald said you'd been having problems with a... wight?
; dlga_wildfire_talk4:wildfire_talk5.15|Yes, yes, a revenant, a wight, a ghost! Saw it myself, only three weeks ago! Pale and with red eyes, it was flying through the night, in a crate made of bones! Made me shiver, make no mistake! The men of the village agreed with me, we need an faithful man to slay the beast, a knight, like Aemon the Dragonknight, from the stories!
; dlga_wildfire_talk5:wildfire_talk6.13|Hmm... perhaps I could take a look at this wight myself.
; dlga_wildfire_talk5:close_window.3|Farewell.
; dlga_wildfire_talk6:wildfire_talk7.13|Are you a knight? Oh, I'm sorry, of course you are! My father always told me the city was full of knights! Go to my village and slay the revenant, brave Ser! It haunts the old cairn, sure as day!
; dlga_wildfire_talk7:close_window.9|Very well, I'll go have a look.
; dlga_wildfire_talk7:close_window.10|I am not interested.
; dlga_start:close_window.158|Yes?
; dlga_start:pj_wildfire_talk.7|Yes?
; dlga_pj_wildfire_talk:pj_wildfire_talk2.7|Have you seen a wight about here?
; dlga_pj_wildfire_talk:close_window.7|Hmph!
; dlga_pj_wildfire_talk2:pj_wildfire_talk3.8|By the Seven, another one? Look, I'm not a wight, as I tried to tell that screaming girl when she came up here. I've been sent here by the Citadel to do some excavating, and I'll be gone in a day or two. This cairn really is a marvelous treasure trove. Found a cache of scrolls from before the Conquest, and tablets speaking of the Battle of the Bloody Pool.
; dlga_pj_wildfire_talk3:pj_wildfire_talk5.4|You seem to have caused quite a stir in the village. Why didn't you just explain to them what you where doing here.
; dlga_pj_wildfire_talk5:close_window.2|Ah, but then I'd have to explain to them what 'excavating' means, and before you know it, they're coming to me to bless their cows, heal their wounds and wed their daughters. Keep ignorant peasants away from me, and I can die a happy man.
; dlga_start:pj_wildfire_talk.8|Yes, {playername}?
; dlga_pj_wildfire_talk:pj_wildfire_talk2.8|Tom, I've taken care of the... wight.
; dlga_pj_wildfire_talk2:pj_wildfire_talk3.9|Truly? Well done, Ser! I knew a true knight would have no trouble dealing with such a demon! Any man who is shrouded in his faith can withstand such a beast, the septon was right! Here, please take this, as a thank you!
; dlga_pj_wildfire_talk3:close_window.1|Thank you, Tom.
; dlga_pj_wildfire_talk:morcant_creditos.2|Can you tell me more about Cairnhall?
; dlga_morcant_creditos:close_window.2|Well... we grow a lot of beets... turnips too, now that I think about it.
; dlga_pj_wildfire_talk:close_window.8|Nevermind.
; dlga_wildfire_starter_introduce_1:wildfire_starter_introduce_2.3|Who are you?
; dlga_wildfire_starter_introduce_2:close_window.2|I'm here to forge my chain and become grandmaester... Say, are you looking for work? Maester Yandel said he was looking for a courier.
; dlga_start:close_window.159|What?
; dlga_start:wildfire_talk.13|Yes? Can I help you?
; dlga_wildfire_talk:wildfire_talk2.13|Are you Yandel?
; dlga_wildfire_talk:close_window.10|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.19|Ah yes, yes, I am Yandel. Who are you, and how can I help you?
; dlga_wildfire_talk3:wildfire_talk4.13|One of the acolytes said you where looking for a courier?
; dlga_wildfire_talk4:wildfire_talk5.16|Ah yes, quite, quite. I do. I have been working on a momentous tome these past years. I call it 'The World of Ice and Fire'. Beautiful work. Dedicated to king Robert, but now I suppose it should be dedicated to his heir... Either way, some of the illuminators in Lannisport have been working on a copy for the king. They do great work there, letters in gold and scarlet like you wouldn't believe. And I especially enjoy their work on sigils, it's like the krakens are getting ready to strangle the reader!
; dlga_wildfire_talk5:wildfire_talk6.14|And?
; dlga_wildfire_talk5:close_window.4|Farewell.
; dlga_wildfire_talk6:wildfire_talk7.14|Ah, I need someone to pick it up and deliver it to me. They're excellent craftsmen in Lannisport, but before I have the tome delivered to the king, I should like to check it for spelling errors. Wouldn't do to let the king be disappointed! And to tell you the truth, I quite enjoy looking at the pictures. Can you pick up the book? I'd do it myself, but I can't bear to be gone from the archives for long. So many mysteries! I'll make sure you're rewarded for your troubles.
; dlga_wildfire_talk7:close_window.11|Very well, I'll go get the tome.
; dlga_wildfire_talk7:close_window.12|I am not interested.
; dlga_start:close_window.160|Yes?
; dlga_start:pj_wildfire_talk.9|Yes?
; dlga_pj_wildfire_talk:pj_wildfire_talk2.9|I'm here to pick up a tome for Maester Yandel.
; dlga_pj_wildfire_talk:close_window.9|Hmph!
; dlga_pj_wildfire_talk2:pj_wildfire_talk3.10|Ah yes, very good. The ink finished drying not three days ago. It's quite beautiful, and I'm sure the king will be pleased. We used the same scarlet as the one Lord Tywin had us use for his invitation to the wedding of the king and queen, Lannister colors you know. That will be 500 coins for the work we've done. The Citadel has already paid for the materials.
; dlga_pj_wildfire_talk3:pj_wildfire_talk5.5|Very well.
; dlga_pj_wildfire_talk5:close_window.3|Here we are! The finest book ever made, I'd say. I had a look through it while the apprentices worked. The craftsmanship is like nothing anyones ever seen before, but you must give my regards to Yandel. The text is quite interesting as well.
; dlga_pj_wildfire_talk3:close_window.2|I can't afford that.
; dlga_start:pj_wildfire_talk.10|Yes, {playername}?
; dlga_pj_wildfire_talk:pj_wildfire_talk2.10|I've returned with the tome.
; dlga_pj_wildfire_talk2:pj_wildfire_talk3.11|Ah, very well. Yes, this is beautiful work indeed. Those apprentices know what they're about. Look at those dragons, it's almost as if you can feel the heat coming off them. Here's a little recompense for your troubles, {playername}.
; dlga_pj_wildfire_talk3:close_window.3|Thank you.
; dlga_pj_wildfire_talk:close_window.10|Nevermind.
; dlga_start:wildfire_starter_introduce_1.3|Well met, {playername}.
; dlga_wildfire_starter_introduce_1:wildfire_starter_introduce_2.4|How do you know my name?
; dlga_wildfire_starter_introduce_2:close_window.3|I am Gueren, a brother of the Night's Watch. Gerold told me about you, {playername}, and how you handled that mad bastard up in the old holdfast. The latest raven from Aemon told of troubles at the Wall, perhaps you could head up there and see what's going on. Or maybe take the black yourself, the Wall is not picky.
; dlga_start:close_window.161|The Wall must not fall, {playername}.
; dlga_start:wildfire_talk.14|Yes? Who is it? Can I help you?
; dlga_wildfire_talk:wildfire_talk2.14|Maester Aemon? Gueren said you'd been having some sort of trouble lately?
; dlga_wildfire_talk:close_window.11|Farewell.
; dlga_wildfire_talk2:wildfire_talk3.20|Ah, Gueren. Troubles he says. We're in dire need of help, {playername}. Lord Commander Mormont went north with near a third of our strength. Only a few have returned. The Watch is sorely weakened, and the realm is disunited and in chaos. We can expect no help from any of the kings.
; dlga_wildfire_talk3:wildfire_talk4.14|How can I help?
; dlga_wildfire_talk4:wildfire_talk5.17|One of our brothers, Jon, recently returned to us. He had been pretending to join the wildlings, and he has brought us valuable information of their whereabouts and intentions. Jon left the wildlings just south of Mole's Town, and we have every reason to believe they might still be somewhere in the area. Jon says they're led by a man named Styr, the Magnar of Thenn. Magnar means 'lord' in the Old Tongue, but even a lord amongst the wildlings will want to loot and burn a town such as Mole's Town.
; dlga_wildfire_talk5:wildfire_talk6.15|Hmm... what do you want me to do?
; dlga_wildfire_talk5:close_window.5|Farewell.
; dlga_wildfire_talk6:wildfire_talk7.15|We have assembled a force of men to intercept the Magnar and defeat his band of raiders, but Bowen Marsh has gone west to defend the Shadow Tower with the remaining part of the garrison, and we need someone to led them. Jon is still too weak to leave his bed, and Donal Noye must stay here to led the defenses. The rest of our brothers are eager, but they do not have the experience. Gerold mentioned your deeds in the Lonely Hills, and I trust his judgement. You must led the brothers of the Night's Watch against the Magnar, {playername}.
; dlga_wildfire_talk7:close_window.13|Very well, I will defeat the Magnar!
; dlga_wildfire_talk7:close_window.14|I am not interested.
; dlga_start:close_window.162|Yes, {playername}?
; dlga_start:pj_wildfire_talk.11|Yes, {playername}? Is the Magnar dead? 
; dlga_pj_wildfire_talk:pj_wildfire_talk2.11|The Magnar is dead.
; dlga_pj_wildfire_talk2:pj_wildfire_talk3.12|Truly? This is joyous news, {playername}. You have bought us valuable time to arm ourselves against attack. While we prepare for the inevitable, I need someone to visit Eastwatch-by-the-Sea and tell Cotter Pyke of the events here. Will you do this?
; dlga_pj_wildfire_talk3:close_window.4|I will, Maester Aemon.
; dlga_pj_wildfire_talk:morcant_creditos.3|May I know more about you?
; dlga_morcant_creditos:close_window.3|Ah, {playername}, there is much and more to know, but none left to tell my story. Egg is long gone...
; dlga_pj_wildfire_talk:close_window.11|Nevermind.
; dlga_start:wildfire_talk.15|Yes? Who are you?
; dlga_wildfire_talk:wildfire_talk2.15|Maester Aemon sent me, with news from Castle Black.
; dlga_wildfire_talk2:wildfire_talk3.21|Well, out with it then. I'm not some pampered knight, I feel no need to waste time with idle yammering.
; dlga_wildfire_talk3:wildfire_talk4.15|The wildlings are approaching the wall. We stopped them in Mole's Town.
; dlga_wildfire_talk4:wildfire_talk5.18|Well then, I guess we're saved for another day, eh? I don't see why Aemon couldn't send a raven with these news. Why are you here? Ah, I see. He wants me to send my men to Castle Black, to defend it against the attack? Just because that fool, Bowen Marsh, had to gallavant off to defend against an obvious diversion! Fine! Tell Aemon I'll send as many men as I can spare, I'll even send Emmett with them. The lads worth three experienced rangers.
; dlga_wildfire_talk5:wildfire_talk6.16|Very well, I'll return to Aemon with these news.
; dlga_wildfire_talk5:close_window.6|Farewell.
; dlga_wildfire_talk6:wildfire_talk7.16|Good! And tell Bowen he's a fool while you're at it!
; dlga_wildfire_talk7:close_window.15|Erh, yes...
; dlga_wildfire_talk7:close_window.16|I am not interested.
; dlga_start:close_window.163|Yes, {playername}?
; dlga_wildfire_talk:close_window.12|Farewell.
; dlga_start:pj_wildfire_talk.12|Yes, {playername}? What did Cotter Pyke say? 
; dlga_pj_wildfire_talk:pj_wildfire_talk2.12|He's sending as many men as he can spare to aid us in the defense.
; dlga_pj_wildfire_talk2:pj_wildfire_talk3.13|Good, good. It probably helps that Bowen is absent, he can't stand the man... {playername}, I need you to travel to the Shadow Tower, and visit Ser Denys, and see what has happened to Bowen Marsh and his men. They've been gone for a long time, and the men of the Shadow Tower can guard the Gorge as well as the men of Castle Black. We need them here, to defend the Wall against Mance Rayder.
; dlga_pj_wildfire_talk3:close_window.5|Very well.
; dlga_pj_wildfire_talk:morcant_creditos.4|Can you tell me about Castle Black?
; dlga_morcant_creditos:close_window.4|Ah, {playername}, I'm afraid you'll have to excuse me. Perhaps you could ask Clydas...
; dlga_pj_wildfire_talk:close_window.12|Nevermind.
; dlga_start:wildfire_talk.16|Yes? Who are you?
; dlga_wildfire_talk:wildfire_talk2.16|Maester Aemon sent me, for news of Bowen Marsh.
; dlga_wildfire_talk2:wildfire_talk3.22|Ah, very well. But you're not my brother, are you? Ah, no matter, no matter, we need all the help we can get. Lord Marsh was well the last time I saw him, {playername}. He took most of my men to the Gorge, to guard the Bridge of Skulls.
; dlga_wildfire_talk3:wildfire_talk4.16|The Bridge of Skulls?
; dlga_wildfire_talk4:wildfire_talk5.19|Ah, you haven't heard of it. The Bridge is the only way across the Gorge, a large, well, gorge, very deep. The wildlings often descend the Gorge, to bypass the Wall. We'd had news that a large force of wildlings where in the area, so Lord Marsh took the greater part of our strength to defend the Bridge.
; dlga_wildfire_talk5:wildfire_talk6.17|Cotter Pyke said Bowen Marsh was a fool for falling for the diversion?...
; dlga_wildfire_talk5:close_window.7|Farewell.
; dlga_wildfire_talk6:wildfire_talk7.17|Cotter Pyke! Bah! The bastard son of a tavern wench, the most vile man in the entire Watch, an ironborn bastard, half a wildling himself! Still, I myself might not have been so quick to take the greater part of our strength with me to guard the Gorge... Ah, nothing to do about it now. In fact, {playername}, I'd greatly appreciate it if you where to head to the Gorge yourself. Should the wildlings attack, Lord Marsh could use all the help he can get!
; dlga_wildfire_talk7:close_window.17|I'll have a look at this Gorge!
; dlga_wildfire_talk7:close_window.18|I am not interested.
; dlga_start:close_window.164|Yes, {playername}?
; dlga_wildfire_talk:close_window.13|Farewell.
; dlga_start:pj_wildfire_talk.13|Yes, {playername}? How fares Lord Marsh? 
; dlga_pj_wildfire_talk:pj_wildfire_talk2.13|The Weeper tried to force his away across, but we beat him back.
; dlga_pj_wildfire_talk2:pj_wildfire_talk3.14|Good, good, {playername}. But the wildlings are sure to descend on Castle Black at any moment now, you must hurry back and lend whatever aid you can. The Wall has stood for eight thousand years, we'll make sure it still stands after this King-Beyond-the-Wall is in his grave.
; dlga_pj_wildfire_talk3:close_window.6|Very well, Ser Denys.
; dlga_pj_wildfire_talk:morcant_creditos.5|Can you tell me about the Shadow Tower?
; dlga_morcant_creditos:close_window.5|Ah, {playername}, I'm afraid you'll have to excuse me, Maester Mullin is the scholar here.
; dlga_pj_wildfire_talk:close_window.13|Nevermind.
; dlga_start:wildfire_talk.17|{playername}. Is Bowen still alive?
; dlga_wildfire_talk:wildfire_talk2.17|Barely, Maester Aemon. What happened here?
