str_no_string|AUCUNE CHAÎNE !
str_comment_we_fought_in_siege_unfriendly|Je n'oublierai pas comment ensemble, nous avons dévasté {s51}, mais je ne puis faire abstraction des autres différends qui subsistent entre nous.
str_comment_we_fought_in_siege_cruel|Je n'oublierai pas comment ensemble, nous avons percé les remparts de {s51} et passé ses défenseurs au le fil de l'épée. C'est un agréable souvenir.
str_comment_we_fought_in_siege_quarrelsome|Vous vous souvenez comme ils se sont mis à couiner lorsque nous sommes montés sur les remparts de {s51} ? Ils croyaient être en sécurité, mais on a effacé ces sourires suffisants de leurs trognes !
str_comment_we_fought_in_siege_upstanding|Je n'oublierai pas la capture de {s51}. Louons les cieux une nouvelle fois, et prions pour ne pas céder à l'orgueil.
str_comment_we_fought_in_siege_default|Je n'oublierai pas qu'ensemble, nous avons capturé {s51}. Je suis honoré d'avoir combattu à vos côtés.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|J'imagine que vous boiriez bien un verre en l'honneur de notre victoire près de {s51}. Et bien, gardez votre vinasse pour vous ! Il en faudra un peu plus pour laver l'affront de vos récents déshonneurs.
str_comment_we_fought_in_major_battle_unfriendly|Je n'oublierai pas que nous avons combattu côte à côte dans cette glorieuse bataille près de {s51}, mais je ne puis faire abstraction des autres différends qui subsistent entre nous.
str_comment_we_fought_in_major_battle_cruel|Je n'oublierai pas cette grande bataille près de {s51}. Lorsque nous avons percé les lignes ennemies, ils se sont enfuis en hurlant. C'est un bon souvenir.
str_comment_we_fought_in_major_battle_quarrelsome|Beau combat près de {s51}, nous avons mis ces sales chiens en fuite !
str_comment_we_fought_in_major_battle_upstanding|Je n'oublierai pas que nous avons combattu côte à côte à la grande bataille près de {s51}. Louons les cieux une nouvelle fois, et prions pour ne pas céder à l'orgueil.
str_comment_we_fought_in_major_battle_default|Je n'oublierai pas que nous avons combattu côte à côte à la grande bataille près de {s51}. Je suis honoré d'avoir combattu à vos côtés.
str_comment_you_defeated_a_lord_allied_liege|Alors comme ça, vous avez croisé le fer avec ce maraud qui se fait appeler {s54}, et vous en êtes sorti vainqueur ? Je suis très heureux de l'apprendre.
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|J'ai entendu dire que vous étiez sorti vainqueur d'un combat contre {s54}. Même les vermines ont droit à leur jour de gloire, je suppose.
str_comment_you_defeated_a_lord_allied_spiteful|J'ai entendu dire que vous étiez sorti vainqueur d'un combat contre cette vermine de {s54}. Ah... si seulement j'avais pu être là pour l'entendre implorer la pitié.
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|J'ai entendu dire que vous avez combattu et vaincu {s54}. J'espère que vous n'avez pas utilisé des moyens déshonorants pour le vaincre.
str_comment_you_defeated_a_lord_allied|J'ai entendu dire que vous avez combattu et vaincu {s54}. Je vous laisse le soin d'apprécier la joie de votre victoire.
str_comment_you_defeated_me_enemy_chivalrous|Je ne vais pas vous reprocher de m'avoir vaincu lors de notre dernière rencontre, mais vous me voyez impatient de vous affronter à nouveau!
str_comment_you_defeated_me_enemy_spiteful|J'ai hâte de vous rencontrer à nouveau. Vos ruses ne me tromperont pas une seconde fois, et je vais aimer entendre vos cris de miséricorde.
str_comment_you_defeated_me_enemy|La dernière fois que nous nous sommes rencontré, {playername}, vous avez pris le dessus sur moi. Mais je vous assure que cela ne se reproduira plus!
str_comment_i_defeated_you_enemy_spiteful|Encore vous? Permettez-moi de vous affronter à nouveau, j'ai hâte de nourrir mes chiens avec vos tripes.
str_comment_i_defeated_you_enemy_chivalrous|Venez à nouveau tester votre courage contre moi, {playername}?
str_comment_i_defeated_you_enemy_benevolent|Ainsi, vous souhaitez m'affronter à nouveau? Préparez vous à recevoir une leçon?
str_comment_i_defeated_you_enemy_coldblooded|Votre persévérance est tenace, mais cela risque de vous nuire.
str_comment_i_defeated_you_enemy|Combien de fois devrai-je vous châtier avant que vous ne compreniez qu'il vous faut garder vos distances?
str_comment_we_were_defeated_unfriendly_spiteful|La dernière fois que je vous ai vu, vous aviez été frappé par les {reg4?guerriers:Hommes} de {s54}. Je suis navré pour vous. Quel dommage de voir que vous avez survécu.
str_comment_we_were_defeated_unfriendly|La dernière fois que je vous ai vu, vous aviez été frappé par les {reg4?guerriers:Hommes} de {s54}.  Quel dommage de voir que vous avez survécu.
str_comment_we_were_defeated_cruel|La dernière fois que je vous ai vu, vous aviez été frappé par les {reg4?guerriers:Hommes} de {s54}. Ne vous inquiétez pas - nous {reg4?la:le} retrouverons, et lui ferons regretter sa victoire.
str_comment_we_were_defeated_default|La dernière fois que je vous ai vu, vous aviez été frappé par les {reg4?guerriers:Hommes} de {s54}. Il est bon de vous voir en bonne santé.
str_comment_you_were_defeated_allied_friendly_spiteful|J'ai entendu dire que {s54} vous a fait passer un sale moment. Ne vous inquiétez pas, mon ami - Je {reg4?la:le} retrouverai  et vous ferai cadeau de sa tête.
str_comment_you_were_defeated_allied_unfriendly_cruel|J'avais entendu dire que {s54} a abattus vos hommes comme des chiens. Mais heureusement vous êtes vivant. Quelle  déception!
str_comment_you_were_defeated_allied_spiteful|{playername}! J'ai entendu dire que {s54} vous a écrasé comme une fourmi. Ha! Les enfants ne devraient pas jouer à des jeux faits pour les adultes, {mon pauvre garçon/ma pauvre fille}!
str_comment_you_were_defeated_allied_pitiless|J'ai entendu dire que {s54} vous a vaincu, et dispersé vos forces. C'est vraiment triste...
str_comment_you_were_defeated_allied_unfriendly_upstanding|{playername}. J'ai entendu dire que {s54} vous a battu. Peut-être devriez-vous envisager de vous repentir de tous vos méfaits, Dieu peut avoir pitié de vous de cette façon.
str_comment_you_were_defeated_allied_unfriendly|J'ai entendu dire que {s54} vous a battu. A cause de vous trop d'hommes ont été tués, en êtes-vous conscient?
str_comment_you_were_defeated_allied|J'ai entendu dire que {s54} vous a battu. Mais rassurez-vous - le sort va vite tourner!
str_comment_you_helped_my_ally_unfriendly_chivalrous|J'ai entendu dire que vous avez évité à {s54} une défaite humiliante. Peu importe ce que je peux penser de vous, je dois au moins vous en féliciter.
str_comment_you_helped_my_ally_liege|J'ai entendu dire que vous avez sauvé mon vassal {s54} d'une probable défaite.
str_comment_you_helped_my_ally_unfriendly_spiteful|J'ai entendu dire que vous avez porté secours à notre pauvre {s54}. Avez-vous pensé {reg4?qu'elle:qu'il} était une jeune fille en détresse? Peu importe - c'est une erreur habituelle.
str_comment_you_helped_my_ally_spiteful|J'ai entendu dire que vous avez sauvé {s54} de cent coup de fouet. A mon avis, vous auriez du {reg4?la:le} laisser à son propre sort {reg?elle:il} aurait appris ce qu'était la vie, .
str_comment_you_helped_my_ally_chivalrous|J'ai entendu dire que vous avez sorti {s54} d'une mauvaise passe. C'est un acte noble.
str_comment_you_helped_my_ally_default|J'ai entendu dire que vous avez sorti {s54} d'un mauvais pas. Bon travail!
str_comment_you_abandoned_us_unfriendly_spiteful|Sale vermine! Vous nous avez laissés seuls face à {s54}, n'est-ce pas? Je vous crache au visage.
str_comment_you_abandoned_us_unfriendly_pitiless|Eh bien ... Vous m'avez abandonné au milieu d'une bataille contre {s54}, n'est-ce pas? Je vais vous enterrer dans la tombe d'un traître.
str_comment_you_abandoned_us_spiteful|Vous avez disparu au milieu de cette bataille contre {s54}... J'espère que vous avez une bonne raison. Avez-vous perdu vos  trippes​​? Vos tremblements vous empêchaient-ils de tenir votre arme?
str_comment_you_abandoned_us_chivalrous|Que s'est-il passé? Vous avez disparu au milieu de cette bataille contre {s54}. Je ne peux qu'espérer que vous avez été trop grièvement blessé pour continuer à vous battre, car ce serait une honte d'avoir disparu au milieu de la bataille, sans raison, comme un lâche.
str_comment_you_abandoned_us_benefitofdoubt|Que vous est-il arrivé? Vous avez disparu au milieu de cette bataille contre {s54}. Je suppose que vous avez été blessé, mais j'en doute.
str_comment_you_abandoned_us_default|Que s'est-il passé? A un moment donné, je vous ai vu vous battre avec nous contre {s54}, l'instant d'après vous étiez introuvable?
str_comment_you_ran_from_me_enemy_spiteful|La dernière fois que nous nous sommes rencontrés, vous êtes venu en courant vers moi comme un chien battu. Etes-vous revenu à moi comme un toutou, ou pour réclamer ma miséricorde?
str_comment_you_ran_from_me_enemy_chivalrous|La dernière fois que nous nous sommes rencontrés, vous vous êtes enfui. Restez là et apprenez à vous battre comme un homme!
str_comment_you_ran_from_me_enemy_benevolent|Je vous ai vu fuir devant moi la dernière fois que nous nous sommes rencontrés, j'espérais ne pas avoir à vous combattre à nouveau.
str_comment_you_ran_from_me_enemy_coldblooded|La dernière fois que nous nous sommes rencontrés, vous vous êtes enfui. C'était une sage décision
str_comment_you_ran_from_me_enemy|Vous avez peut-être réussi à vous échapper la dernière fois que nos routes se sont croisées, mais la prochaine fois, je doute que la chance vous sourie.
str_comment_you_ran_from_foe_allied_chivalrous|On raconte que vous avez fui {s54}, en abandonnant vos hommes. Je prie pour qu'il y ait eu méprise... Une telle conduite nous déshonore tous.
str_comment_you_ran_from_foe_allied_upstanding|On raconte que vous avez fui {s54}, en abandonnant vos hommes. Je ne crois pas systématiquement aux rumeurs et je sais également que les situations désespérées nécessitent des mesures désespérées. Néanmoins, je vous prie de faire plus attention à votre renommée. Les hommes ne combattront pas dans nos armées s'ils entendent dire que nous les abandonnons sur le champ de bataille.
str_comment_you_ran_from_foe_allied_spiteful|Au fait, on m'a raconté que vous aviez fui {s54} en détalant comme un lapin et en abandonnant vos hommes dans cette boucherie. Ah ah ! Quel spectacle ça a dû être !
str_comment_you_defeated_my_friend_enemy_pragmatic|Vous avez peut-être surpassé {s54}, mais vous ne pouvez nous vaincre tous.
str_comment_you_defeated_my_friend_enemy_chivalrous|J'ai entendu dire que vous aviez vaincu {s54} et depuis ce jour, je suis impatient de pouvoir croiser le fer avec vous.
str_comment_you_defeated_my_friend_enemy_spiteful|Votre célébrité vous précède, {playername}. {s54} s'est peut-être fait avoir par vos ruses, mais si vous me combattez, vous découvrirez un adversaire bien plus réactif.
str_comment_you_defeated_my_friend_enemy|On m'a rapporté que vous aviez vaincu {s54} mais je pense être un adversaire plus à même d'éprouver vos capacités avec une arme.
str_comment_you_captured_a_lord_allied_friendly_spiteful|J'ai entendu dire que vous aviez capturé {s54}. J'espère que vous lui avez arraché jusqu'au dernier dragon d'or.
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|J'ai entendu dire que vous aviez capturé {s54}. Vos coffres doivent être remplis à ras bord désormais. Quel dommage que l'argent ne puisse transformer un misérable gueux en gentilhomme !
str_comment_you_captured_a_lord_allied_chivalrous|J'ai entendu dire que vous aviez capturé {s54}. Félicitations. Vous l'avez bien évidemment traité avec tout le respect dû à son rang, n'est-ce pas?
str_comment_you_captured_a_lord_allied|J'ai entendu dire que vous aviez capturé {s54}. Beau travail. Sa rançon doit valoir une coquette somme.
str_comment_you_let_go_a_lord_allied_chivalrous|J'ai entendu dire que vous aviez capturé {s54}, mais que vous l'aviez laisser partir ensuite. Un tel acte de chevalerie apporte du crédit à notre cause.
str_comment_you_let_go_a_lord_allied_upstanding|J'ai entendu dire que vous aviez capturé {s54}, mais que vous l'aviez laisser partir ensuite. Voilà une ligne de conduite honorable mais vraisemblablement dangereuse.
str_comment_you_let_go_a_lord_allied_coldblooded|J'ai entendu dire que vous aviez capturé {s54}, mais que vous l'aviez laisser partir ensuite. C'est fort chevaleresque de votre part, mais ce n'est pas ça qui ne nous fera gagner une guerre.
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|J'ai entendu dire que vous aviez capturé {s54}, mais que vous l'aviez laisser partir ensuite. Quel belle démonstration de chevalerie ! Il ne fait aucun doute que les veuves et les orphelins qu'il laisse dans son sillage voudront vous remercier en personne.
str_comment_you_let_go_a_lord_allied|J'ai entendu dire que vous aviez capturé {s54}, mais que vous l'aviez laisser partir ensuite. Très bien, ce n'est pas à moi de vous dire ce que vous devez faire de vos propres prisonniers.
str_comment_you_let_me_go_spiteful|La dernière fois que nous nous sommes rencontrés, vous me teniez à votre merci mais vous m'avez permis de partir libre. J'espère que vous avez aimé faire joujou avec moi, comme un chat avec une souris, parce que bientôt c'est moi qui vous tiendrai à ma merci et je pourrai décider de vous pourfendre ou de vous humilier, selon l'envie du moment.
str_comment_you_let_me_go_enemy_chivalrous|La dernière fois que nous nous sommes rencontrés, vous me teniez à votre merci mais vous m'avez permis de partir libre. C'était fort chevaleresque de votre part et je ne l'oublierai pas. Mais je me dois d'honorer le serment que j'ai prêté à mon suzerain et nos royaumes sont toujours en guerre.
str_comment_you_let_me_go_enemy_coldblooded|La dernière fois que nous nous sommes rencontrés, vous me teniez à votre merci mais vous m'avez permis de partir libre. Mais nous sommes toujours ennemis et je ne puis vous promettre que je vous rendrai la pareille.
str_comment_you_let_me_go_enemy|La dernière fois que nous nous sommes rencontrés, vous me teniez à votre merci mais vous m'avez permis de partir libre. C'était bien aimable à vous mais nous sommes toujours en guerre.
str_comment_you_let_me_go_default|La dernière fois que nous nous sommes rencontrés, vous me teniez à votre merci mais vous m'avez permis de partir libre. C'était bien aimable de votre part et je suis heureux que nos royaumes ne soient plus en guerre.
str_comment_pledged_allegiance_allied_martial_unfriendly|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Prions pour que vous ne nous déshonoriez pas en vous comportant comme un lâche.
str_comment_pledged_allegiance_allied_martial|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. J'ai hâte de me battre à vos côtés contre nos ennemis.
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Bah, rendez-moi un petit service, restez hors de mon chemin.
str_comment_pledged_allegiance_allied_quarrelsome|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Combattez avec acharnement, respectez vos supérieurs, ne m'interrompez pas et on s'entendra bien.
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. À sa place, je ne vous ferais même pas assez confiance pour vous laisser nettoyer les cuisines.
str_comment_pledged_allegiance_allied_selfrighteous|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Combattez avec bravoure et vous aurez de généreuses récompenses. Trahissez-nous, et nous ferons de vous un exemple qui n'est pas prêt d'être oublié.
str_comment_pledged_allegiance_allied_cunning_unfriendly|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Je ne prétends pas être content de sa décision mais c'est toujours mieux de vous savoir à l'intérieur de notre tente à pisser dehors que l'inverse, si vous voyez ce que je veux dire.
str_comment_pledged_allegiance_allied_cunning|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. C'est une bonne chose. Plus nous avons de combattants talentueux dans nos rangs, mieux nous nous portons. Je surveillerai votre progression.
str_comment_pledged_allegiance_allied_debauched_unfriendly|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Vous allez sans doute le trahir sous peu, comme ça j'aurai le plaisir de vous voir succomber d'une mort qu'on ne réserve qu'aux traîtres.
str_comment_pledged_allegiance_allied_debauched|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Excellent... Je suis sûr que tous les deux, nous allons devenir très bons amis. Mais n'oubliez pas... Si vous nous trahissez, ce sera la plus grosse erreur que vous n'aurez jamais faite.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Bah, je ne peux pas dire que je vous aurais fait confiance, mais peut-être méritez-vous qu'on vous accorde le bénéfice du doute.
str_comment_pledged_allegiance_allied_goodnatured|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. {Messire/Madame} ! Vous vous apercevrez que notre seigneur est d'une grande noblesse d'esprit et qu'il récompense la loyauté et le courage par sa bonté et sa générosité.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Hélas, d'après ce que j'ai appris sur vous, je crains que vous ne tardiez pas à nous déshonorer. Toutefois, je serais heureux que vous me prouviez le contraire.
str_comment_pledged_allegiance_allied_upstanding|J'ai entendu dire que vous aviez juré allégeance à notre seigneur, {s54}. Combattez nos ennemis avec bravoure, mais aussi avec honneur et compassion. Une bonne réputation a autant de valeur qu'une lame bien affûtée ou un cheval rapide pour régler un conflit.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|J'ai entendu dire que {s54} vous avait octroyé {s51} comme fief. N'oubliez pas... Évitez le fouet et engraissez les paysans !
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|J'ai entendu dire que {s54} vous avait octroyé {s51} comme fief. Je suis heureux de vous voir prospérer, mais je dois vous mettre en garde car le monde est rempli de gens envieux qui convoitent les richesses d'autrui. Restez près de moi, et je surveillerai vos arrières.
str_comment_our_king_granted_you_a_fief_allied_friendly|J'ai entendu dire que {s54} vous avait octroyé {s51} comme fief. Puissent vos nouvelles terres vous apporter richesse et prospérité.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|J'ai entendu dire que {s54} vous avait octroyé {s51} comme fief. Mais gardez à l'esprit que l'orgueil précède la chute.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|J'ai entendu dire que {s54} vous avait octroyé {s51} comme fief. J'ai dans l'idée, néanmoins, que le destin vous sourit et vous élève pour mieux vous humilier et provoquer votre chute. Vous retournerez alors dans ce trou qui est le vôtre.
str_comment_our_king_granted_you_a_fief_allied_spiteful|J'ai entendu dire que {s54} vous avait octroyé {s51} comme fief. Espérons que vous méritiez bien les faveurs de notre seigneur.
str_comment_our_king_granted_you_a_fief_allied|J'ai entendu dire que {s54} vous avait octroyé {s51} comme fief. Vous avez l'air de savoir ce qui est bon pour vous.
str_comment_you_renounced_your_alliegance_enemy_friendly|J'ai ouï-dire que vous aviez renoncé au serment d'allégeance que vous aviez prêté à notre seigneur, {s54}. Cela me peine de savoir que nos rencontres se feront désormais sur le champ de bataille.
str_comment_you_renounced_your_alliegance_friendly|J'ai ouï-dire que vous aviez renoncé au serment d'allégeance que vous aviez prêté à notre seigneur, {s54}. Prions pour que nous n'ayons pas à croiser le fer.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Je vous ai toujours pris pour un traître envers {s54}, et il semblerait que les récents événements me donnent raison. J'espère que vous vous êtes préparés à mourir comme le traître que vous êtes !
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|J'ai ouï-dire que vous aviez renoncé au serment d'allégeance que vous aviez prêté à notre seigneur, {s54}. Je n'ai d'autre choix que de vous considérer comme un traître.
str_comment_you_renounced_your_alliegance_enemy|J'ai ouï-dire que vous aviez renoncé au serment d'allégeance que vous aviez prêté à notre seigneur, {s54}. Deux compagnons d'armes qui se retrouvent ennemis... Bah ! Ainsi va le monde.
str_comment_you_renounced_your_alliegance_default|J'ai ouï-dire que vous aviez renoncé au serment d'allégeance que vous aviez prêté à notre seigneur, {s54}. Bien, c'est votre décision, mais sachez que je ne vous ferai pas de cadeaux quand nous nous verrons sur le champ de bataille.
str_comment_you_claimed_the_throne_1_player_liege|Selon mes informateurs, certains dans ce royaume vous voient déjà comme le prochain Duc. Je présume que vous allez rapidement mettre un terme à ces rumeurs dangereuses et sans fondement.
str_comment_you_claimed_the_throne_2_player_liege|Selon mes informateurs, certains de vos compagnons disent aux paysans que vous revendiquez votre Duché. J'espère sincèrement qu'ils n'agissent pas sur votre ordre.
str_comment_lord_intervened_against_me|Il est de notoriété publique que j'ai eu un différend avec {s54} et que {s50} a pris le parti de mon adversaire.
str_comment_i_protested_marshall_appointment|Il est de notoriété publique que j'ai protesté contre la nomination comme maréchal de {s51} par {s54}.
str_comment_i_blamed_defeat|Il est de notoriété publique que j'ai désapprouvé les bonnes grâces de {s54} envers {s51} qui nous a menés à une défaite face à {s56}.
str_comment_i_was_entitled_to_fief|Il est de notoriété publique que j'ai été {déçu/déçue} lorsque {s54} a reçu le fief de {s51} qui aurait dû me revenir.
str_comment_i_quarreled_with_troop_over_woman|Il est de notoriété publique que {s51} a fait la cour à {s54} alors que j'avais également des vues sur elle. Il n'est pas digne de ses attentions et je compte bien le contraindre à garder ses distances.
str_comment_i_quarreled_with_you_over_woman_default|Il paraît que vous faites la cour à {s54}. Vous n'êtes pas digne d'une belle dame comme elle et je vous encourage vivement à cesser de la courtiser.
str_comment_i_quarreled_with_you_over_woman_derisive|Il paraît que vous faites la cour à {s54}. Permettez-moi de vous informer que je la convoite depuis mon adolescence. C'est une dame de haut rang dans ce royaume et elle ne mérite pas de subir les grossières attentions d'un étranger. Ne l'approchez plus ou vous aurez affaire à moi !
str_comment_player_suggestion_succeeded|J'ai suivi vos conseils et bien m'en a pris.
str_comment_player_suggestion_failed|J'ai suivi vos conseils et mal m'en a pris. Vous êtes responsable de mes déboires.
str_comment_you_enfiefed_a_commoner_hesitant|Je crois savoir que vous avez confié {s51} à {un roturier/une roturière} répondant au nom de {s54}. Attention ! L'art de gouverner ne s'apprend pas du jour au lendemain. Peut-être vaut-il mieux que les pères le transmettent à leurs fils. Je vous déconseille de toucher à l'institution de la suzeraineté.
str_comment_you_enfiefed_a_commoner_derisive|Je crois savoir que vous avez confié {s51} à {un roturier/une roturière} répondant au nom de {s54}. Les anciens ne vous ont-ils pas mis en garde contre ce genre de pratique contre nature ?
str_comment_you_enfiefed_a_commoner_nasty|Je crois savoir que vous avez confié {s51} à {un roturier/une roturière} répondant au nom de {s54}. Attention ! Les chiens se retournent parfois contre leur maître.
str_comment_marriage_normal_family|Félicitations pour votre mariage avec {ma/mon} {s11} {s50}. Et bienvenue dans la famille !
str_comment_marriage_normal|Félicitations pour votre mariage avec {s50}. Cette union vous honore tous les deux.
str_comment_marriage_normal_nasty|Eh bien, je vois que vous avez épousé {s50}. C'est une idiote sans le moindre discernement.
str_comment_marriage_elopement_family|Eh bien... Vous avez réussi à convaincre ma {s11} {s50} de vous épouser. J'ignore comment vous vous y êtes pris, mais notre famille n'oubliera pas cette humiliation.
str_comment_marriage_elopement_liege|J'ai appris que vous aviez épousé {s50} en cachette, contre la volonté de sa famille. Je ne puis que désapprouver. Sa famille est l'une des plus puissantes de mon royaume et vous l'avez ridiculisée.
str_comment_you_broke_truce_as_my_vassal|J'ai appris que vous aviez rompu ma trêve en attaquant {s55}. Savez-vous pour qui vous me faites passer ? Si vous suivez mes ordres, je passe pour quelqu'un d'indigne. Et si vous ne les suivez pas, j'ai l'air de quelqu'un de faible. J'ai bien envie de vous inculper pour trahison sur-le-champ.
str_comment_you_attacked_neutral_as_my_vassal|J'ai appris que vous avez attaqué des sujets de {s55}. Vous leur avez fourni un prétexte pour m'attaquer si l'envie leur prend... Attendons de voir comment la situation évolue. Vous avez bien travaillé !
str_personality_archetypes|suzerain
str_martial|autoritaire
str_quarrelsome|belliqueux
str_selfrighteous|impitoyable
str_cunning|rusé
str_debauched|sadique
str_goodnatured|débonnaire
str_upstanding|vertueux
str_roguish|espiègle
str_benevolent|charitable
str_mercantile|mercantiliste
str_surrender_demand_default|Rendez-vous ou mourrez !
str_surrender_demand_martial|La chance n'est pas de votre côté, aujourd'hui. Vous pouvez nous combattre, mais vous n'aurez nulle honte à vous rendre tout de suite.
str_surrender_demand_quarrelsome|Vous êtes fait comme un rat. Abandonnez, ou je vous abats comme une bête.
str_surrender_demand_pitiless|Vous ne pouvez me vaincre mais je vous donnerai une leçon si vous essayez malgré tout. Rendez-vous !
str_surrender_demand_cunning|Aujourd'hui, nous vous avons surclassé. Abandonnez... Si ce n'est pas pour vous, alors faites-le au moins pour vos hommes !
str_surrender_demand_sadistic|Déposez les armes ou je vous saigne comme un porc !
str_surrender_demand_goodnatured|Nous avons l'avantage sur vous. Rendez-vous et vous serez bien traité.
str_surrender_demand_upstanding|Vous pouvez nous combattre mais vous perdrez de nombreux hommes et vous perdrez. Rendez-vous, vous nous épargnerez des effusions de sang inutiles à tous les deux.
str_surrender_offer_default|Halte ! Rendez-vous !
str_surrender_offer_martial|Il suffit ! Je me rends, respectez-vous les règles de la Chevalerie.
str_surrender_offer_quarrelsome|Assez ! Vous avez gagné aujourd'hui, sale chien ! Quelle opprobre !
str_surrender_offer_pitiless|Je me rends ! Vous avez gagné. Maudit soit ce jour !
str_surrender_offer_cunning|Assez ! Je me rends !
str_surrender_offer_sadistic|J'abandonne ! J'abandonne ! Rappelez vos bêtes !
str_surrender_offer_goodnatured|Je dépose les armes et vous félicite pour cette victoire, {Messire/madame} !
str_surrender_offer_upstanding|Je me rends ! Accordez-moi les honneurs de guerre et vous gagnerez mon estime !
str_lord_declines_negotiation_offer_default|C'est une possibilité, mais je préfère vous combattre.
str_lord_declines_negotiation_offer_martial|C'est une possibilité, mais il est de mon devoir de vous combattre.
str_lord_declines_negotiation_offer_quarrelsome|Ha ! Je veux vous combattre.
str_lord_declines_negotiation_offer_pitiless|Pourquoi faire ? Je veux vous combattre.
str_lord_declines_negotiation_offer_cunning|Ah ! Hélas, je tiens à vous combattre.
str_lord_declines_negotiation_offer_sadistic|Tenez votre langue ! Vous en aurez bientôt besoin pour demander pitié.
str_lord_declines_negotiation_offer_goodnatured|Pardonnez-moi, je ne peux pas vous laisser partir. Vous ne m'en voulez pas ?
str_lord_declines_negotiation_offer_upstanding|C'est une possibilité, mais mon devoir envers mon suzerain m'oblige à vous combattre.
str_prisoner_released_default|Vous avez ma gratitude, {Messire/madame}. Je n'oublierai pas votre bonté.
str_prisoner_released_martial|Vous êtes vraiment {un homme/une femme} d'honneur, {Messire/madame}. Je n'oublierai pas cela !
str_prisoner_released_quarrelsome|Je suis libre ? Eh bien dans ce cas... au revoir.
str_prisoner_released_pitiless|Merci. Lorsque vous serez finalement défait, je demanderai à ce que votre mort soit rapide et indolore à moins, bien sûr, que vous souhaitiez nous rejoindre... Au revoir, pour le moment.
str_prisoner_released_cunning|Libre, vraiment ? Vous êtes quelqu'un de bien ! J'essaierai de trouver un moyen de vous rendre la pareille.
str_prisoner_released_sadistic|Tiens donc, je suis libre ? Votre cruauté est telle que vous préférez me voir libre et humilié plutôt qu'enchaîné ? Savourez bien votre victoire !
str_prisoner_released_goodnatured|Vous êtes ce qu'on appelle {un homme/une femme} d'honneur, {Messire/madame}. Je n'oublierai pas cela !
str_prisoner_released_upstanding|Vous êtes réellement {un homme/une femme} d'honneur, {Messire/madame}. Je ne l'oublierai pas !
str_enemy_meet_default|Qui êtes-vous pour brandir vos armes contre moi ?
str_enemy_meet_martial|Quel est votre nom, {Messire/madame}? Si nous devons nous affronter, je veux savoir qui je combats.
str_enemy_meet_quarrelsome|Mais qui diable êtes-vous ?
str_enemy_meet_pitiless|Qui êtes-vous ? Parlez, afin que je sache qui je m'apprête à pourfendre.
str_enemy_meet_cunning|Dites-moi votre nom. Il est toujours bon de connaître son ennemi.
str_enemy_meet_sadistic|Qui êtes-vous ? Parlez avant que je ne vous coupe la langue.
str_enemy_meet_goodnatured|Comment vous appelez-vous {Messire/madame} ? Si nous devons en arriver aux armes, j'aime autant savoir qui est mon adversaire.
str_enemy_meet_upstanding|Qui êtes-vous, pour oser vous dresser contre nous et remettre en question notre juste cause ?
str_battle_won_default|Aujourd'hui, vous avez prouvé votre valeur en étant mon allié.
str_battle_won_martial|Il n'existe pas plus belle récompense qu'une chance de pouvoir exprimer sa bravoure sur un champ de bataille !
str_battle_won_quarrelsome|Ah ah ! On leur a mis une belle raclée, n'est-ce pas ?
str_battle_won_pitiless|Ensemble, nous ferons en sorte que nos ennemis apprennent à craindre nos noms et à tressaillir à notre venue !
str_battle_won_cunning|À présent, nous devons nous assurer de garder l'avantage, afin que le sang versé aujourd'hui n'ait pas coulé en vain.
str_battle_won_sadistic|À présent, déshabillons les cadavres et laissons-les pour les corbeaux, afin que chacun connaisse le sort que nous réservons à ceux qui se dressent contre nous.
