dlga_start:lco_conversation_end|Ha! Vous êtes là!
dlga_bayle2_master_talk:close_window|Merci pour votre temps.
dlga_start:close_window.113|Ce brouillard est horrible. Des monstres et des pirates pourraient en profiter pour se cacher dedans.
dlga_start:bayle3_introduce_1|Oui, {playername}?
dlga_bayle3_introduce_1:bayle3_introduce_2|Quand allons-nous atteindre Yunkai?
dlga_bayle3_introduce_2:bayle3_master_talk|Cela ne sera pas long maintenant.
dlga_bayle3_master_talk:bayle3_master_customize|Pouvez-vous me parler de Yunkai?
dlga_bayle3_master_customize:bayle3_master_talk|Yunkai est également connu comme la Ville Jaune. Elle se trouve sur la côte est de la Baie des Esclavagistes, à proximité de l'île de Yaros. Les Yunkai'i sont connus comme étant de bon guerriers, et de bons commerçants, pour leurs esclaves de lit. Les esclaves de lits apprennent les Règles des Sept Soupirs et des Seize Sièges du Plaisir. Je vais acheter une de celle à la peau claire, ça fait trop longtemps que je n'ai pas touché une femme.
dlga_bayle3_master_talk:close_window|Merci pour votre temps, Bayle.
dlga_start:close_window.114|Nous devrions bientôt voir l'île de Yaros.
dlga_start:merry_introduce_1|Bonjour! Bienvenue à Port Heureux !
dlga_merry_introduce_1:merry_introduce_2|Qui êtes-vous?
dlga_merry_introduce_2:merry_master_talk|Je suis Meralyn, mais on m'appelle Merry. J'ai la plus grosse paire de seins de tout Braavos, moi et mes filles nous changeons le rêve en réalité!
dlga_merry_master_talk:merry_master_customize|Je voudrais bien voir vos seins.
dlga_merry_master_customize:merry_master_customize2|Je suis désolée, mais j'ai assez trimée pendant toutes ces années. Vous pouvez, cependant, aller voir si Lanna est libre . Elle a quatorze ans et fraîchement fleuri. Chère, mais elle est très douée, je vous le promets !
dlga_merry_master_customize2:merry_master_customize3|Je vais voir si je peux la trouver.
dlga_merry_master_customize3:merry_finish|Ne soyez pas trop rugueux avec elle, la pauvre fille a encore des rêves de romance.
dlga_merry_finish:close_window|Hmpfh!
dlga_merry_master_talk:close_window|Excusez-moi.
dlga_start:close_window.115|Je voudrais acheter des huîtres.
dlga_start:sailors_wife_introduce_1|Oui, mon chéri?
dlga_sailors_wife_introduce_1:sailors_wife_introduce_2|Qui êtes-vous?
dlga_sailors_wife_introduce_2:sailors_wife_master_talk|Je suis une des filles de Merrys.  Lanna est ma fille. Oh mon dieu, on dirait que vous avez une grosse queue, en effet.
dlga_sailors_wife_master_talk:sailors_wife_master_customize|Eh bien, oui, j'avoue!
dlga_sailors_wife_master_customize:sailors_wife_master_customize2|Vous voulez me baiser? Je ne prends pas cher, seulement 5 dradons d'or. Bien sûr, vous devrez tout d'abord m'épouser. Je ne suis pas une putain ! Un des Septons à l'étage peut officialiser la cérémonie, ils le font toujours.
dlga_sailors_wife_master_customize2:sailors_wife_master_customize3|A l'étage alors, mon épouse.
dlga_sailors_wife_master_customize2:close_window|Je suis désolé, je ne peux pas me le permettre.
dlga_sailors_wife_master_customize3:sailors_wife_finish|Oh oui mon mari, prends-moi au lit, je suis votre mariée rougissante!
dlga_sailors_wife_finish:close_window|Hmpfh!
dlga_sailors_wife_master_talk:close_window|Excusez-moi.
dlga_start:close_window.116|Je suis beaucoup trop endurcie pour un grand garçon comme vous.
dlga_start:lanna_introduce_1|Salut, mon nom est Lanna, qui êtes-vous?
dlga_lanna_introduce_1:lanna_introduce_2|Je suis {playername}.
dlga_lanna_introduce_2:lanna_master_talk|Bonjour {playername}! Merry et ma mère mont dit que je dois être gentille et discrète avec tout homme qui vient ici! Mais pas dans la chambre, hi hi.
dlga_lanna_master_talk:lanna_master_customize|Cela m'intrigue. Montons
dlga_lanna_master_customize:lanna_master_customize2|Oh oh, on paye d'avance! Merry dit que je vaux trois fois plus que n'importe laquelle des filles d'ici! Il faut payer le prix de 840 dragons d'or, et vous pouvez faire ce que vous voulez de moi!
dlga_lanna_master_customize2:lanna_master_customize3|Voici l'argent, alors.
dlga_lanna_master_customize2:close_window|Je suis désolé Lanna, je ne peux pas me le permettre.
dlga_lanna_master_customize3:lanna_finish|{Mon Seigneur/Ma Dame}! Vous êtes généreux! Vous pouvez prétendre que je suis une vierge, hi hi!
dlga_lanna_finish:close_window|Bien!
dlga_lanna_master_talk:close_window|Excusez-moi.
dlga_start:close_window.117|Je suis trop engourdi pour travailler à mon aise en ce moment, ma chérie.
dlga_start:alayaya_introduce_1|Je suis Alayaya, je vous souhaite la bienvenue à Chataya.
dlga_alayaya_introduce_1:alayaya_introduce_2|Je suis {playername}.
dlga_alayaya_introduce_2:alayaya_master_talk|Bonjour {playername}! Les filles ici sont chères. Elles sont faites pour des rois, à vrai dire, nous en avons eu un qui nous fréquentait souvent et avec beaucoup de vigueur.
dlga_alayaya_master_talk:alayaya_master_customize|Montons à l'étage, alors.
dlga_alayaya_master_customize:alayaya_master_customize2|Oh oh, il faut payer d'abord! Vous ne sauriez croire combien de pauvres ivrognes ont trouvé leur bonheur, ici. Vous devez me montrer que vous avez ce qu'il me faut. Autrement c'est le fouet!, je parle de votre argent, pas de votre bite! Une nuit avec moi coûte 2500 dradons d'or, mais je vous promets, {mon seigneur/ma dame}, que ça en vaudra la peine!
dlga_alayaya_master_customize2:alayaya_master_customize3|Voici l'argent, alors.
dlga_alayaya_master_customize2:close_window|Douce Alayaya, je ne peux pas me le permettre!
dlga_alayaya_master_customize3:alayaya_finish|J'ai juste besoin d'une minute pour me rafraîchir, mon brave guerrier!
dlga_alayaya_finish:close_window|Bien!
dlga_alayaya_master_talk:close_window|Excusez-moi.
dlga_start:close_window.118|Je fais une pause en ce moment, chéri, Dancy et moi allons jouer cyvasse.
dlga_start:dancy_introduce_1|Bonjour, Je suis Dancy. Bienvenue à Chatayas.
dlga_dancy_introduce_1:dancy_introduce_2|Je suis {playername}.
dlga_dancy_introduce_2:dancy_master_talk|Bonne journée à vous {playername}! Me prenez-vous pour une demeurée? Je me suis tellement ennuyée ces derniers temps, et Alayaya en deviendrait presque le meilleur des gentillâtres. J'aimerais tellement posséder cette belle peau!
dlga_dancy_master_talk:dancy_master_customize|Je vais vous culbuter pour de bon !
dlga_dancy_master_customize:dancy_master_customize2|Quelle merveille! Je ne suis pas aussi gourmande qu'Alayaya, vous pouvez m'avoir pour 1500 d'argent . Je suis beaucoup plus souple qu'elle!
dlga_dancy_master_customize2:dancy_master_customize3|Voici l'argent.
dlga_dancy_master_customize2:close_window|Dancy, ma douce dame, vous êtes trop chère pour moi!
dlga_dancy_master_customize3:dancy_finish|J'ai juste besoin d'une minute pour me préparer. Attendez-moi, {mon doux Seigneur/ma gente dame} !
dlga_dancy_finish:close_window|Bien! Dépêchez-vous!
dlga_dancy_master_talk:close_window|Excusez-moi.
dlga_start:close_window.119|C'est ma pause maintenant, {playername}, Alayaya et moi allons jouer à ce nouveau jeu venu de l'est. Je m'améliore!
dlga_start:marei_introduce_1|Salut, je suis Marei. Bienvenue à Chatayas. Nous avons toutes sortes de fille ici!
dlga_marei_introduce_1:marei_introduce_2|Je suis {playername}.
dlga_marei_introduce_2:marei_master_talk|Oh {playername}, allez-vous me prendre sur le lit? Je suis si impatiente, et vous, je suppose que vous seriez prêt{/e} à assouvir vos fantasmes!
dlga_marei_master_talk:marei_master_customize|Je vais vous montrer ce que c'est que baiser, Marei!
dlga_marei_master_customize:marei_master_customize2|Waouaou parfait! Chataya dit que Dancy et moi nous nous ressemblons tellement qu'elle pourrait nous faire passer l'une pour l'autre! 1500 dradons d'or, c'est le prix, mais je garantis que vous serez épuisé après être passé entre mes mains!
dlga_marei_master_customize2:marei_master_customize3|Voici l'argent. C'est pour faire oublier ma solitude!
dlga_marei_master_customize2:close_window|Marei, ma beauté couverte de miel, je ne peux pas me le permettre !
dlga_marei_master_customize3:marei_finish|J'ai juste besoin d'une minute pour me préparer. Je dois aller chercher chez Chataya les outils nécessaires pour calmer vos ardeurs! Ils sont recouverts d'or, afin qu'ils soient plus faciles à nettoyer. Je reçois souvent des excités !
dlga_marei_finish:close_window|Bien! Dépêchez-vous Marei!
dlga_marei_master_talk:close_window|Excusez-moi.
dlga_start:close_window.120|Je suis vraiment fatiguée, maintenant, {playername}, et je dois aller à mes leçons de lecture. Peut-être vous pourriez revenir plus tard ?
dlga_start:daughter_dusk_introduce_1|Oui?
dlga_daughter_dusk_introduce_1:daughter_dusk_introduce_2|Je suis {playername} ma dame. Puis-je en savoir plus sur vous?
dlga_daughter_dusk_introduce_2:daughter_dusk_master_talk|Oh {playername}, vous n'êtes pas d'ici? Les habitants de Braavos m'appellent la fille du Crépuscule. Je suis une courtisane, ce qui est une façon élégante de dire que... je suis une pute. La seule différence entre moi et ces filles dont on obtient tout ce dont on veut sur des lits de paille, c'est que je choisis mes amants, et que je suis le plus souvent beaucoup plus puissante qu'eux.
dlga_daughter_dusk_master_talk:daughter_dusk_master_customize|Vous semblez directe pour une, euh, dame de soirée.
dlga_daughter_dusk_master_customize:daughter_dusk_master_customize2|Qu'avez-vous à me dire ou à me faire? Je peux flatter mes amants, rire de leurs blagues stupides et leur dire; ho combien ils fragilisent mes genoux. Mais ce genre de choses sont pour les femmes comme Bellegere, ou la Reine des Sirènes. Je dis aux hommes la dure vérité du monde, et ils me payent autant pour ce que je leur dit que pour ce qui se trouve entre mes jambes. Je soupçonne que Bellegere en fait autant, mais ça ne se sait pas.
dlga_daughter_dusk_master_customize2:daughter_dusk_master_customize3|Ma dame, je trouve votre franchise rafraîchissante.
dlga_daughter_dusk_master_customize2:close_window|Une dame doit être vu, pas entendu!
dlga_daughter_dusk_master_customize3:daughter_dusk_finish|J'en sûre, {playername}, tout comme je suis sûre que vous couperiez votre propre main pour pouvoir venir dans la zone humide située entre mes jambes. Hélas, j'ai un amant que j'aime bien pour le moment. Sinon, je vous aurais pris de suite avec moi, visiter mes quartiers. Vous avez un visage espiègle que j'apprécie beaucoup.
dlga_daughter_dusk_finish:close_window|Je vous dis adieu, ma dame.
dlga_daughter_dusk_master_talk:close_window|Excusez-moi.
dlga_start:close_window.121|Je crains de ne pouvoir vous parler maintenant, je suis en train d'élucider quelques événements.
dlga_start:black_pearl_introduce_1|Puis-je vous aider?
dlga_black_pearl_introduce_1:black_pearl_introduce_2|Je suis {playername}, ma dame. Pourrais-je avoir l'honneur d'en savoir plus sur vous?
dlga_black_pearl_introduce_2:black_pearl_master_talk|Les roturiers de Braavos m'appellent la Perle Noire, et parlent en secret de mes mauvaises habitudes et de mes illustres ancêtres. Mon vrai nom est Bellegere Otherys.
dlga_black_pearl_master_talk:black_pearl_master_customize|Qui étaient vos illustres ancêtres?
dlga_black_pearl_master_customize:black_pearl_master_customize2|Oh, un des rois Targaryen en faisait parti. Aegon le Susceptible, pour être franche, qui a démarré la liste illustres. Il a semé sa semence avec plus de vigueur que la plupart des agriculteurs, et a eu une récolte de poids. Dites, {playername}, cherchez-vous à vous faire un nom par vous-même? Je peux vous aider, en échange d'une faveur. Je suis, de loin, la femme la plus puissante de Braavos, adorée par les citoyens et convoitée par les princes. Un baiser de moi mettrait votre nom sur toutes les lèvres, et votre nom serait deviendrait de notoriété publique dans la ville. Tout ce que je demande en retour, c'est que vous gardiez à l'esprit la faveur que vous me devez, et vous me rembourserez à une date ultérieure.
dlga_black_pearl_master_customize2:black_pearl_master_customize3|Je mettrais Valyria à genoux pour un seul baiser de vous, ma dame!
dlga_black_pearl_master_customize2:close_window|Ma dame, je crains de ne pouvoir respecter ma dette envers une femme aussi belle que vous!
dlga_black_pearl_master_customize3:black_pearl_finish|Eh bien, {playername}, venez me rejoindre sur le balcon. La lumière nous rendra magnifiques, et ma robe deviendra transparente dans cette lumière, si vous me tenez dans vos bras.
dlga_black_pearl_finish:close_window|Bien!
dlga_black_pearl_master_talk:close_window|Excusez-moi.
dlga_start:close_window.122|J'ai peur, j'ai une audience avec la Banque de Fer bientôt, {playername}, et je dois m'y préparer.
dlga_start:bella_introduce_1|Salut à vous, bienvenue à La Pêche.
dlga_bella_introduce_1:bella_introduce_2|Qui êtes-vous?
dlga_bella_introduce_2:bella_master_talk|Je suis une des filles qui travaillent ici. Ma mère travaillait ici aussi. Mon nom est Bella, je suis prête pour la bataille.
dlga_bella_master_talk:bella_master_customize|De quelle bataille parlez-vous?
dlga_bella_master_customize:bella_master_customize2|Oh, la Bataille des Cloches. Il y avait un roi qui se cachait ici. Un jour,  Seigneur Connington vint pour l'en extirper. Mais plus tard, les seigneurs Stark, Tully et Arryn descendirent sur ​​la ville, et mirent l'armée du roi fou en déroute! Leslyn dit à ma mère qu'il était son roi préféré, et qu'il sonnait sa cloche plus que toutes celle des autres filles. je suppose que je suis la fille bâtarde de ce roi. Quoi qu'il en soit, vous pouvez disposer de moi pour 3 dradons d'or.
dlga_bella_master_customize2:bella_master_customize3|Jusqu'ici je n'ai jamais couché avec une bâtarde de sang royal. Montons.
dlga_bella_master_customize2:close_window|Je suis désolé, je suis occupé.
dlga_bella_master_customize3:bella_finish|Oh mon dieu! Mon sang royal est tout excité!
dlga_bella_finish:close_window|Hmpfh!
dlga_bella_master_talk:close_window|Excusez-moi.
dlga_start:close_window.123|Je dois aller aider le Chasseur à nourrir ses chiens. Venez me voir plus tard!
dlga_start:leslyn_introduce_1|Oui, mon chéri?
dlga_leslyn_introduce_1:leslyn_introduce_2|Qui êtes-vous?
dlga_leslyn_introduce_2:leslyn_master_talk|Je suis Leslyn, l'une des filles de La Pêche.
dlga_leslyn_master_talk:leslyn_master_customize|Qu'entendez-vous par «filles»?
dlga_leslyn_master_customize:leslyn_master_customize2|Oh, je suis une des putes ici. Je gagne ma vie couchée ou sur mes genoux. Ou les deux. Si tel est votre fantasme, vous pouvez rester à genoux ou sur le dos. Le prix sera de 5 dragons d'or.
dlga_leslyn_master_customize2:leslyn_master_customize3|Ah, je n'ai jamais joué avec le corps d'une femme. Montons et amusons-nous!
dlga_leslyn_master_customize2:close_window|Je suis désolé, je dois y aller.
dlga_leslyn_master_customize3:leslyn_finish|Montons alors, je vais chercher le manche du balai!
dlga_leslyn_finish:close_window|Hmpfh!
dlga_leslyn_master_talk:close_window|Excusez-moi.
dlga_start:close_window.124|Il parait qu'il y a des hors la loi dans la région, je dois aider les hommes à réparer la porte.
dlga_start:chataya_introduce_1|Bonjour, bienvenue dans mon établissement.
dlga_chataya_introduce_1:chataya_introduce_2|Qu'est-ce qu'une femme des Iles d'Eté fait dans un bordel de Port Réal?
dlga_chataya_introduce_2:close_window|Pas si étrange que ça, quand on y réfléchi. Sur les Iles d'Eté, nous ne voyons pas l'amour comme quelque chose de honteux, contrairement aux gens de Westeros. Faire l'amour devrait être célébré, et non pas interdit.
dlga_start:close_window.125|Je suis très occupée! Parlez-en à Dancy ou à Marei, elles sont tous les deux tout à fait érudites dans un lit.
dlga_start:james_parr_introduce_1|Qui êtes-vous?
dlga_james_parr_introduce_1:james_parr_introduce_2|Je suis {playername}. Qui êtes-vous?
dlga_james_parr_introduce_2:close_window|Je suis Seigneur Parr, représentant de la grande banque de Norvos, la Banque des Etoiles.
dlga_start:close_window.126|Je suis très occupé {playername}! Cette septry possède des coffres bien remplis, et je veux bien les lui traire!
dlga_start:etienne_lacroix_introduce_1|Qui êtes-vous?
dlga_etienne_lacroix_introduce_1:etienne_lacroix_introduce_2|Je suis {playername}. Maintenant, qui êtes-vous?
dlga_etienne_lacroix_introduce_2:close_window|Je suis Enneite, fils de Enneite, fils de Enneite, qui était le fils de Enneite. Je suis entré sous les ordres et fait vœu d'obéissance, je sers la Sept.
dlga_start:close_window.127|Je suis très occupé {playername}! Le paon s'est échappé!
dlga_start:steff_van_oost_introduce_1|Bonjour.
dlga_steff_van_oost_introduce_1:steff_van_oost_introduce_2|Bonjour. Qui êtes-vous?
dlga_steff_van_oost_introduce_2:close_window|Je suis Steffon, d'Essos.
dlga_start:close_window.128|Je suis très occupé!
dlga_start:keith_larson_introduce_1|Que voulez-vous?
dlga_keith_larson_introduce_1:keith_larson_introduce_2|Qui êtes-vous?
dlga_keith_larson_introduce_2:close_window|Je suis Keth, fils de Lar, fils de Lar, fils de Keth! Je suis ici pour vendre des chèvres que nous avons prises!
dlga_start:close_window.129|Va-t'en, ou Keth, fils de Lar, va te couper la tête!
dlga_start:wildfire_starter_introduce_1|Que voulez-vous?
dlga_wildfire_starter_introduce_1:wildfire_starter_introduce_2|Vous qui passez du temps dans une taverne. Est-ce que des gens intéressants sont venus ici?
dlga_wildfire_starter_introduce_2:close_window|Je suppose que Septon Germund est un gars fascinant. Ecoutez-le parler, il semble avoir eu une vie trépidante dans le sud. Il n'est pas ici en ce moment, mais revenez plus tard, je suis sûr que vous le trouverez.
dlga_start:close_window.130|Qu'est-ce?
dlga_start:wildfire_talk|Salutations. Je suis Germund, le septon de cette partie de la ville. J'avais l'habitude de vivre dans le château, mais hélas, Seigneur Manderly n'apprécie pas ceux qui dérobent du safran de ses magasins privés...
dlga_wildfire_talk:wildfire_talk2|Avez-vous du travail pour moi?
dlga_wildfire_talk:close_window|J'ai autre chose à faire que d'écouter un vieil homme sénile. Adieu.
; dlga_wildfire_talk2:wildfire_talk3.2|Yes, {playername}. Lord Manderlys maester had a raven a few days ago, from Eastwatch-by-the-Sea. We've been told to keep a watch out for wildlings, Cotter Pyke writes that they've grown ever bolder.
dlga_wildfire_talk3:wildfire_talk4|Tout cela est très bien, mais en quoi cela me concerne t-il?
dlga_wildfire_talk3:close_window|Excusez-moi, j'ai des choses importantes qui nécessitent mon attention.
dlga_wildfire_talk4:wildfire_talk5|Nous n'avons pas vu de sauvageons ici depuis des années, mais nous n'avons pas eu des visiteurs de Hillhall depuis un certain temps. Ca fait très longtemps, maintenant que j'y pense. J'ai besoin que vous alliez jeter un œil dans le village, voyez si quelque chose ne va pas.
; dlga_wildfire_talk5:wildfire_talk6.2|I suppose I can go take a look.
dlga_wildfire_talk5:close_window|J'ai mieux à faire que de visiter un village perdu. Adieu.
; dlga_wildfire_talk6:wildfire_talk7.1|Oh splendid! The village lies close to the Bay of Seals, north of Karhold. Should you find anything, travel bach here and speak with Gerold, he's a recruiter for the Night's Watch, and he can take your findings back to the Wall.
dlga_wildfire_talk7:close_window|Très bien, je reviendrai dès que j'aurais fini d'inspecter le village.
dlga_wildfire_talk7:close_window.1|Je ne suis pas intéressé.
dlga_start:close_window.131|Oui?
dlga_start:pj_wildfire_talk|Qui êtes-vous? Éloignez-vous de moi!
dlga_pj_wildfire_talk:pj_wildfire_talk2|Que s'est-il passé ici?
dlga_pj_wildfire_talk2:pj_wildfire_talk3|Des Sauvageons {mon seigneur/ma dame}! Ils viennent pendant la nuit, et mettent le feu au village!
dlga_pj_wildfire_talk3:pj_wildfire_talk5|Mon nom est {playername}. Septon Germund m'a envoyé en éclaireur au village. Dites-moi où les sauvageons sont allés.
dlga_pj_wildfire_talk5:pj_wildfire_talk6|Je ne sais pas, {mon seigneur/ma dame}, mais ils ne doivent pas être loin! Peut-être sont-ils allés dans un des autres villages, ce sont des sauvages avides de sang. Peut-être que la pipelette Myra de Barrowton aura vu ou entendu quelque chose, elle est très connue dans le royaume pour ses commérages.
dlga_pj_wildfire_talk6:pj_wildfire_talk8|Comment avez-vous pu survivre à l'attaque des sauvageons?
dlga_pj_wildfire_talk8:close_window|Je me suis caché dans la partie supérieure de cette énorme pin là-bas. J'ai vu leur sauvagerie! C'était horrible {Mon Seigneur/Ma Dame}, horrible. Goodwife Hanna a été violée par cinquante hommes, et ils ont forcer ses filles à regarder, avant que se soit leur tour!
dlga_pj_wildfire_talk:close_window|Êtes-vous fou?
dlga_start:pj_wildfire_talk.1|Que voulez-vous?
dlga_pj_wildfire_talk:pj_wildfire_talk2.1|Avez-vous entendu parler de sauvageons clairvoyant?
dlga_pj_wildfire_talk2:pj_wildfire_talk3.1|Oh dieux non! Je n'ai pas vu de Sauvageons depuis mon enfance, il y a longtemps. C'était de grands hommes hirsutes, il y en a un qui avait mis sa hache dans le crâne du forgeron.
dlga_pj_wildfire_talk3:pj_wildfire_talk5.1|Savez-vous qui pourrait avoir vu ou entendu quoi que ce soit?
dlga_pj_wildfire_talk5:pj_wildfire_talk6.1|Parlez-en à ma fille Jess. Une sotte, elle parle à tous les voyageurs de passage. Et un peu plus avec quelques un d'entre eux, je pense, ha. Écartant les jambes pour tout homme qui le souhaite, elle va avoir un ventre gonflé avant la fin de l'année je vous l'assure!
dlga_pj_wildfire_talk6:close_window|Vous avez été très utile.
dlga_pj_wildfire_talk:morcant_creditos|Qui êtes-vous?
dlga_morcant_creditos:close_window|Je suis Dame Myra, la plus vieille femme dans ce château! je vie ici depuis des décennies.
dlga_pj_wildfire_talk:close_window.1|Peu importe, je pars.
dlga_start:pj_wildfire_talk.2|Que voulez-vous, hein?
dlga_pj_wildfire_talk:pj_wildfire_talk2.2|Attention, jeune fille. L'insolence n'est pas une vertu.
dlga_pj_wildfire_talk2:pj_wildfire_talk3.2|Pardonnez-moi, {Mon Seigneur/Ma Dame}. Je n'avais pas vu clairement qui me parlait.
dlga_pj_wildfire_talk3:pj_wildfire_talk4|Votre mère semble penser que vous avez peut-être entendu parler de quelques sauvageons.
dlga_pj_wildfire_talk4:pj_wildfire_talk5|Oui, {mon seigneur/ma dame}. Ils viennent du ​​ Mur, Willamet  Halbert disent qu'ils naviguent à travers la Baie. Là encore, que savent-ils. Josmond a dit qu'il avait entendu Ser Helmans l'intendant parler de sauvageons à Lonely Hills, à proximité de ce vieux château abandonné. Maintenant, {mon seigneur/ma dame}, Je suis sûr que vous pouvez m'en dire beaucoup plus sur ces sauvageons que l'un de ces garçons. Peut-être que vous pourriez me parler d'eux à l'arrière de la grange?
dlga_pj_wildfire_talk5:pj_wildfire_talk6.2|Non, je ne mens pas avec de sales paysans.
dlga_pj_wildfire_talk5:pj_wildfire_talk7|Peut être que je pourrais.
dlga_pj_wildfire_talk6:close_window.1|Pardonnez-moi, {mon seigneur/ma dame}, c'est juste que j'ai vu vos vêtements sexy, je pensais que vous seriez m'a fantaisie!
dlga_pj_wildfire_talk7:close_window|Oh mon dieu! Venez donc me prendre dans la grange, {mon seigneur/ma dame}!
dlga_pj_wildfire_talk:close_window.2|Rien, je pars.
dlga_start:order2|Lorsque vous serez mort, vous vous joindrez à nous!
dlga_order2:order3|Vous méritez de mourir...
dlga_order3:close_window|Je ne peux pas mourir! Regardez, nous sommes déjà morts! Morts, morts, morts!
dlga_start:pj_wildfire_talk.3|Que voulez-vous? Que voulez-vous? J'ai vu un élan transportant un homme mort, dans un rêve!
dlga_pj_wildfire_talk:pj_wildfire_talk2.3|Je suis venu chercher des sauvageons. Vous les avez vus?
dlga_pj_wildfire_talk2:pj_wildfire_talk3.3|J'ai vu un spectre dans la neige, la mort rampait sur ​​lui! J'ai vu une forme sombre vers le nord! Il m'a parlé, chuchoté! J'ai vu des hommes sauvages aussi, mais ils sont mes frères maintenant! Du sol nous montons, mais pas encore! Quand l'aube sera terminée, Je vais rejoindre mon épouse, mon épouse froide, dans la neige et dans le sang!
dlga_pj_wildfire_talk3:pj_wildfire_talk5.2|Dites-moi où les sauvageons sont allés. Maintenant.
dlga_pj_wildfire_talk5:close_window|Ha! Hé! Non! Vous ne pouvez pas les avoir! Il me les a donnés, ce sont mes jouets! Pour aimer, haïr et tuer! Et puis ils vont me tuer! Nous sommes une grande famille heureuse! Allons, allons, je vais vous montrer!
dlga_pj_wildfire_talk:nacroxnicke_creditos|Qui êtes-vous?
dlga_nacroxnicke_creditos:close_window|Ce n'est pas votre problème! Je suis juste un vieil homme!
dlga_pj_wildfire_talk:close_window.3|Rien.
dlga_start:pj_wildfire_talk.4|Que voulez-vous?
dlga_pj_wildfire_talk:pj_wildfire_talk2.4|C'est le septon Germund qui m'a envoyé.
dlga_pj_wildfire_talk2:pj_wildfire_talk3.4|Vraiment? Qu'est-ce que ce vieux coquin veut? Plus de safran, ou une des nièces du Seigneur Manderlys? Il a un œil sur elle en permanence. Hé.
dlga_pj_wildfire_talk3:pj_wildfire_talk4.1|Non, il m'a envoyé pour traquer une bande de sauvageons qui a brûlé le village de Hillhall. Mon voyage se termine au nord de Fort-Terreur, à Lonely Hills, où j'ai trouvé les sauvageons. Ils étaient froids comme la glace, cependant ils marchaient. Leurs yeux étaient livides, bleus, sans vie. C'étaient des nécrophages.
dlga_pj_wildfire_talk4:pj_wildfire_talk5.1|Nous avons reçu un corbeau du Seigneur commandant... Aemons pense que les esprits ont dû s'égarer, mais si vous avez vu la même chose dans les collines...
dlga_pj_wildfire_talk5:pj_wildfire_talk6.3|Écoutez-moi bien, {playername}. Je suis un homme instruit, et j'ai passé beaucoup de mes années dans les caves de Châteaunoir, a chercher dans les vieux livres. Les revenants ne sont pas censés être capables de passer sous le Mur. Ce n'est pas uniquement de la glace et de la pierre. Une puissante magie a été utilisée pour le soulever, et il tient toujours à ce jour. Ces Etres doivent avoir été réanimés ici, pas au-delà du Mur.
dlga_pj_wildfire_talk6:pj_wildfire_talk7|C'était eux. J'ai tué l'homme qui l'a fait.
dlga_pj_wildfire_talk7:close_window.1|Les dieux seront bons! Retourner voir Septon Germund immédiatement, {playername}. Vous devez le faire afin de transmettre le message. Les villageois doivent être armés.
dlga_pj_wildfire_talk:close_window.4|J'ai oublié.
dlga_start:pj_germund_talk|Oui?
; dlga_pj_germund_talk:wildfire_espada|I found the wildlings. An old man had raised them from the dead, as wights.
dlga_wildfire_espada:wildfire_espada2|Ce sont des nouvelles désastreuses, {playername}! Je pensais que les nécrophages et revenants faisaient partis seulement des histoires de l'Etoile à Sept Branches! Nous devons armer les villages, et avertir les seigneurs! Et assurez-vous que nos feux brûlent! En parlant de feu, J'ai quelque chose qui pourrait vous être utile, si vous rencontrez de nouveau ces créatures.
dlga_wildfire_espada2:new_one_wildfire|Où avez-vous eu ça?
dlga_new_one_wildfire:close_window|Avant de devenir un septon, J'ai étudié avec les Pyromanciens de Port-Réal. Beaucoup d'entre eux était des vieux fous! Quand je les ai quittés, J'ai pris ces pots avec moi. Ca à été un véritable chalenge d'avoir à les transporter partout en fûts de sable! Soyez prudent avec eux, ils ne peuvent pas être rechargées! Et je ne peux certainement pas faire plus de substance!
dlga_pj_germund_talk:close_window|J'ai oublié.
dlga_start:bye31|Salutations {playername}.
dlga_bye31:close_window|Salutations à vous aussi.
dlga_start:clansman_starter_introduce_1|Oui? Que voulez-vous? Soyez silencieux, ou le jeune seigneur sera averti!
dlga_clansman_starter_introduce_1:clansman_starter_introduce_2|Savez-vous si quelqu'un aurait une tâche pour moi?
dlga_clansman_starter_introduce_2:close_window|Dame Lysa est la souveraine du Val jusqu'a ce que le jeune seigneur Robert atteigne sa majorité. Demandez audience avec elle. Elle est actuellement en train de dormir, mais revenez plus tard et je suis sûr qu'elle va trouver du temps pour vous.
dlga_start:close_window.132|Que voulez-vous?
dlga_start:clansman_talk|Oui? Que voulez-vous?
dlga_clansman_talk:clansman_talk2|Je suis {playername}, ma dame, et je suis venu en quête d'aventure. Avez-vous des tâches pour moi?
dlga_clansman_talk:close_window|Adieu.
dlga_clansman_talk2:clansman_talk3|Oui, {playername}, En effet, en effet. Ces clans pourris des montagnes ont été à l'origine de toutes sortes de chaos récemment! Je me demande comment ils ont eu en leurs mains de telles armes ... Ils doivent être tués! 
dlga_clansman_talk3:clansman_talk4|Qu'est-ce que je peux faire?
; dlga_clansman_talk4:clansman_talk5|Go out there and kill them, obviously! Talk to Ser Albar, Lord Nestors son. He'll know what to do, I'm sure.
dlga_clansman_talk5:clansman_talk6|Où puis-je le trouver?
dlga_clansman_talk6:clansman_talk7|Oh, comment puis-je savoir? Dois-je tout faire moi-même! Allez le chercher à la porte sanglante, il va souvent à la chasse la-bas.
dlga_clansman_talk7:close_window|Très bien, je reviendrais une fois que les clans seront exterminés.
dlga_start:close_window.133|Oui?
dlga_start:pj_clansman_talk|Je suis occupé, partez!
