trp_multiplayer_profile_troop_male|Profil multi-joueurs homme
trp_beowulf_npc_4_pl|Ser Arwood Frey
trp_beowulf_npc_5|Vargo Hoat
trp_beowulf_npc_5_pl|Vargo Hoat
trp_beowulf_npc_6|Ponorro de Asshai
trp_beowulf_npc_6_pl|Ponorro de Asshai
trp_beowulf_npc_7|Samol
trp_beowulf_npc_7_pl|Samol
trp_brave_archer|Archer Brave
trp_brave_archer_pl|Archers Braves
trp_brave_horseman|Cavalier Brave 
trp_brave_horseman_pl|Cavaliers Braves
trp_brave_swordsman|Homme d'arme Brave
trp_brave_swordsman_pl|Hommes d'arme Braves
trp_urswyck|Urswyck
trp_urswyck_pl|Urswyck
trp_shagwell|Shagwell le Fol
trp_shagwell_pl|Shagwell le Fol
trp_ramsay_snow|Ramsay Snow
trp_ramsay_snow_pl|Ramsay Snow
trp_rodrik_cassel_1|Ser Rodrik Cassel
trp_rodrik_cassel_1_pl|Ser Rodrik Cassel
trp_rodrik_cassel_2|Ser Rodrik Cassel
trp_rodrik_cassel_2_pl|Ser Rodrik Cassel
trp_bolton_swordsman|Homme d'armes Bolton
trp_bolton_swordsman_pl|Hommes d'armes Bolton
trp_bolton_archer|Archer Bolton
trp_bolton_archer_pl|Archers Bolton
trp_bolton_horseman|Sergent Bolton
trp_bolton_horseman_pl|Sergents Bolton
trp_reek|Reek
trp_reek_pl|Reek
trp_sour_alyn|Sour Alyn
trp_sour_alyn_pl|Sour Alyn
trp_ser_rike|Ser Rike Darke
trp_ser_rike_pl|Ser Rike Darke
trp_tyrion_lannister_1|Tyrion Lannister
trp_tyrion_lannister_1_pl|Tyrion Lannister
trp_tyrion_lannister_2|Tyrion Lannister
trp_tyrion_lannister_2_pl|Tyrion Lannister
trp_brookwater_npc_1|Homme d'arme Darke
trp_brookwater_npc_1_pl|Hommes d'armes Darke
trp_brookwater_npc_2|Homme d'armes Darke
trp_brookwater_npc_2_pl|Hommes d'armes Darke
trp_brookwater_npc_3|Homme d'armes Darke
trp_brookwater_npc_3_pl|Hommes d'armes Darke
trp_brookwater_npc_4|Homme d'armes Darke
trp_brookwater_npc_4_pl|Hommes d'armes Darke
trp_brookwater_npc_5|Archer Darke
trp_brookwater_npc_5_pl|Archers Darke
trp_brookwater_npc_6|serviteur
trp_brookwater_npc_6_pl|serviteurs
trp_brookwater_npc_7|femme de chambre
trp_brookwater_npc_7_pl|femme de chambre
trp_brookwater_npc_8|Ser Jeffory Darke
trp_brookwater_npc_8_pl|Ser Jeffory Darke
trp_brookwater_npc_9|Dame Wylla
trp_brookwater_npc_9_pl|Dame Wylla
trp_barrow_quest_starter|Gorbo
trp_barrow_quest_starter_pl|Gorbo
trp_barrow_quest_npc_1|Phario Forel
trp_barrow_quest_npc_1_pl|Phario Forel
trp_barrow_quest_npc_2|Phario Forel
trp_barrow_quest_npc_2_pl|Phario Forel
trp_odin_cave_quest_starter|Mellario de Norvos
trp_odin_cave_quest_starter_pl|Mellario de Norvos
trp_odin_cave_quest_npc_1|Moredo Tendyris
trp_odin_cave_quest_npc_1_pl|Moredo Tendyris
trp_odin_cave_quest_npc_2|Moredo Tendyris
trp_odin_cave_quest_npc_2_pl|Moredo Tendyris
; trp_clifford_gower|Ser Clifford Gower
; trp_clifford_gower_pl|Ser Clifford Gower
; trp_ninestars_castellan|Ser Alyn Tollett
; trp_ninestars_castellan_pl|Ser Alyn Tollett
; trp_addam_grafton|Ser Addam Grafton
; trp_addam_grafton_pl|Ser Addam Grafton
; trp_jeffory_gaunt|Ser Jeffory Gaunt
; trp_jeffory_gaunt_pl|Ser Jeffory Gaunt
; trp_josmyn_gaunt|Ser Josmyn Gaunt
; trp_josmyn_gaunt_pl|Ser Josmyn Gaunt
; trp_manfred_rollingford|Ser Manfred Rollingford
; trp_manfred_rollingford_pl|Ser Manfred Rollingford
; trp_omer_chyttering|Ser Omer Chyttering
; trp_omer_chyttering_pl|Ser Omer Chyttering
; trp_ninestars_guardsman_1|Guardsman
; trp_ninestars_guardsman_1_pl|Guardsmen
; trp_ninestars_guardsman_2|Guardsman
; trp_ninestars_guardsman_2_pl|Guardsmen
; trp_raymun_templeton_trial|Ser Raymun Templeton
; trp_raymun_templeton_trial_pl|Ser Raymun Templeton
; trp_emrick_templeton|Ser Emrick Templeton
; trp_emrick_templeton_pl|Ser Emrick Templeton
; trp_arreck_templeton|Ser Arreck Templeton
; trp_arreck_templeton_pl|Ser Arreck Templeton
; trp_ninestars_castellan_prison|Ser Alyn Tollett
; trp_ninestars_castellan_prison_pl|Ser Alyn Tollett
; trp_ninestars_castellan_chambers|Ser Alyn Tollett
; trp_ninestars_castellan_chambers_pl|Ser Alyn Tollett
; trp_citadel_harodon|Archmaester Harodon
; trp_citadel_harodon_pl|Archmaester Harodon
; trp_citadel_credits|Maester Orwyle
; trp_citadel_credits_pl|Maester Orwyle
; trp_citadel_castos|Archmaester Castos
; trp_citadel_castos_pl|Archmaester Castos
; trp_citadel_malko|Malko
; trp_citadel_malko_pl|Malko
; trp_citadel_septon|Septon Steffon
; trp_citadel_septon_pl|Septon Steffon
; trp_citadel_knight|Ser Elston Boone
; trp_citadel_knight_pl|Ser Elston Boone
; trp_citadel_cultist|Crazed Cultist
; trp_citadel_cultist_pl|Crazed Cultist
; trp_citadel_malko_2|Malko
; trp_citadel_malko_2_pl|Malko
; trp_renly_quest_melisandre|Melisandre
; trp_renly_quest_melisandre_pl|Melisandre
trp_terror_npc_1|Septon Garibald
trp_terror_npc_1_pl|Septon Garibald
trp_terror_npc_2|Goodman Tom
trp_terror_npc_2_pl|Goodman Tom
trp_terror_npc_3|mestre Bayard
trp_terror_npc_3_pl|mestre Bayard
trp_terror_npc_4|Goodman Tom
trp_terror_npc_4_pl|Goodman Tom
trp_bryen_farring|Bryen Farring
trp_bryen_farring_pl|Bryen Farring
trp_burlow|Burlow
trp_burlow_pl|Burlow
trp_gilbert_farring_1|Ser Gilbert Farring
trp_gilbert_farring_1_pl|Ser Gilbert Farring
trp_gilbert_farring_2|Ser Gilbert Farring
trp_gilbert_farring_2_pl|Ser Gilbert Farring
trp_dragonseed_npc_1|Strong Alyn
trp_dragonseed_npc_1_pl|Strong Alyn
trp_dragonseed_npc_2|Bennis
trp_dragonseed_npc_2_pl|Bennis
trp_dragonseed_npc_3|Byron
trp_dragonseed_npc_3_pl|Byron
trp_dragonseed_npc_4|Ser Gallard de Hull
trp_dragonseed_npc_4_pl|Ser Gallard de Hull
trp_dragonseed_npc_5|Gylbert
trp_dragonseed_npc_5_pl|Gylbert
trp_dragonseed_npc_6|Ser Herbert de Hull
trp_dragonseed_npc_6_pl|Ser Herbert de Hull
trp_dragonseed_npc_7|Hugh
trp_dragonseed_npc_7_pl|Hugh
trp_dragonseed_npc_8|Dame Alyse de Hull
trp_dragonseed_npc_8_pl|Dame Alyse de Hull
trp_dragonseed_npc_9|Lacerys Waters
trp_dragonseed_npc_9_pl|Lacerys Waters
trp_relic_npc_0|Frère Bert
trp_relic_npc_0_pl|Frère Bert
trp_relic_npc_1|Frère aîné
trp_relic_npc_1_pl|Frères aînés
trp_aegon_bloodborn|Aegon Bloodborn
trp_aegon_bloodborn_pl|Aegon Bloodborn
trp_relic_npc_2|Frère aîné
trp_relic_npc_2_pl|Frères aînés
trp_saltpans_elder_brother|Frère aîné
trp_saltpans_elder_brother_pl|Frères aînés
trp_saltpans_brother_1|Frère Narbert
trp_saltpans_brother_1_pl|Frère Narbert
trp_saltpans_brother_2|Frère Gillam
trp_saltpans_brother_2_pl|Frère Gillam
trp_green_man_1|Homme Vert
trp_green_man_1_pl|Homme Vert
trp_guardsman_holger|Garde Holger
trp_guardsman_holger_pl|Garde Holger
trp_tom|Tom
trp_tom_pl|Tom
trp_kyle|Kyle
trp_kyle_pl|Kyle
trp_guardsman_alyn|Garde Alyn
trp_guardsman_alyn_pl|Garde Alyn
trp_stoneman|Homme mystérieux
trp_stoneman_pl|Homme mistérieux
trp_old_crone|Vieux Bique
trp_old_crone_pl|Vieux Bique
trp_peddler_elbert|Elbert
trp_peddler_elbert_pl|Elbert
trp_peddler_polk|Garde Polk
trp_peddler_polk_pl|Garde Polk
trp_peddler_randolf|Garde Randolf
trp_peddler_randolf_pl|Garde Randolf
trp_peddler_maester|mestre Symon
trp_peddler_maester_pl|mestre Symon
trp_sajius|Sajius
trp_sajius_pl|Sajius
trp_comaelle|Comaelle
trp_comaelle_pl|Comaelle
trp_merry|Merry
trp_merry_pl|Merry
trp_sailors_wife|L'épouse du marin
trp_sailors_wife_pl|L'épouse du marin
trp_dancy|Dancy
trp_dancy_pl|Dancy
trp_marei|Marei
trp_marei_pl|Marei
trp_daughter_dusk|La Fille du Crépuscule
trp_daughter_dusk_pl|La Fille du Crépuscule
trp_black_pearl|Le Perle Noire
trp_black_pearl_pl|La Perle Noire
trp_bella|Bella
trp_bella_pl|Bella
trp_leslyn|Leslyn
trp_leslyn_pl|Leslyn
trp_maege_mormont|Maege Mormont
trp_maege_mormont_pl|Maege Mormont
trp_edgar_the_seal|Edgar le Sceau
trp_edgar_the_seal_pl|Edgar le Sceau
trp_benfred_the_guard|Benfred
trp_benfred_the_guard_pl|Benfred
trp_rognok_the_guard|Rognok
trp_rognok_the_guard_pl|Rognok
trp_jor_the_keeper|Jor le Gardien
trp_jor_the_keeper_pl|Jor le Gardien
trp_james_parr|Seigneur Parr
trp_james_parr_pl|Seigneur Parr
trp_steff_van_oost|Steffon d'Essos
trp_steff_van_oost_pl|Steffon d'Essos
trp_keith_larson|Keth, fils de Lar
trp_keith_larson_pl|Keth, fils de Lar
trp_etienne_lacroix|Brother Enneite
trp_etienne_lacroix_pl|Brother Enneite
trp_cutjack|Cutjack
trp_cutjack_pl|Cutjack
trp_koss|Koss
trp_koss_pl|Koss
trp_kurz|Kurz
trp_kurz_pl|Kurz
trp_rorge|Rorge
trp_rorge_pl|Rorge
trp_biter|Mordant
trp_biter_pl|Mordant
trp_jaqen|Jaqen H'ghar
trp_jaqen_pl|Jaqen H'ghar
trp_yoren|Yoren
trp_yoren_pl|Yoren
trp_reysen|Reysen
trp_reysen_pl|Reysen
trp_gendry|Gendry
trp_gendry_pl|Gendry
trp_bayle|Bayle Neres
trp_bayle_pl|Bayle Neres
trp_bayle1|Bayle Neres
trp_bayle1_pl|Bayle Neres
trp_bayle2|Bayle Neres
trp_bayle2_pl|Bayle Neres
trp_bayle3|Bayle Neres
trp_bayle3_pl|Bayle Neres
trp_yarin1|Yarin
trp_yarin1_pl|Yarin
trp_yarin2|Yarin
trp_yarin2_pl|Yarin
trp_yarin3|Yarin
trp_yarin3_pl|Yarin
trp_sanor1|Sanor
trp_sanor1_pl|Sanor
trp_sanor2|Sanor
trp_sanor2_pl|Sanor
trp_sanor3|Sanor
trp_sanor3_pl|Sanor
trp_jeorador1|Jeorador
trp_jeorador1_pl|Jeorador
trp_jeorador2|Jeorador
trp_jeorador2_pl|Jeorador
trp_jeorador3|Jeorador
trp_jeorador3_pl|Jeorador
trp_floran|Floran Domon
trp_floran_pl|Floran Domon
trp_maeldan|Maeldan
trp_maeldan_pl|Maeldan
trp_ero|Ero
trp_ero_pl|Ero
trp_olwan|Olwan le Dornish
trp_olwan_pl|Olwan le Dornish
trp_mheran|Mheran
trp_mheran_pl|Mheran
trp_sebban|Sebban
trp_sebban_pl|Sebban
trp_seve|Seve
trp_seve_pl|Seve
trp_norlea|Norlea
trp_norlea_pl|Norlea
trp_sammana|Sammana
trp_sammana_pl|Sammana
trp_dosera|Dosera
trp_dosera_pl|Dosera
trp_tamela|Tamela
trp_tamela_pl|Tamela
trp_alarys|Alarys
trp_alarys_pl|Alarys
trp_morghaz|Morghaz zo Zherzyn
trp_morghaz_pl|Morghaz zo Zherzyn
trp_chezdhar|Chezdhar zo Rhaezn
trp_chezdhar_pl|Chezdhar zo Rhaezn
trp_faezhar|Faezhar zo Faez
trp_faezhar_pl|Faezhar zo Faez
trp_grazdan|Grazdan mo Eraz
trp_grazdan_pl|Grazdan mo Eraz
trp_gramnan|Gramnan
trp_gramnan_pl|Gramnan
trp_gora|Gora
trp_gora_pl|Gora
trp_kroznok|Kroznok
trp_kroznok_pl|Kroznok
trp_elkoz|Elkoz
trp_elkoz_pl|Elkoz
trp_krazneko|Krazneko
trp_krazneko_pl|Krazneko
trp_rakoz|Rakoz
trp_rakoz_pl|Rakoz
trp_graznek|Graznek
trp_graznek_pl|Graznek
trp_grazdan_common|Grazdan
trp_grazdan_common_pl|Grazdan
trp_hozrek|Hozrek
trp_hozrek_pl|Hozrek
trp_gessala|Gessala
trp_gessala_pl|Gessala
trp_eleza|Eleza
trp_eleza_pl|Eleza
trp_hazza|Hazza
trp_hazza_pl|Hazza
trp_alyssa_yunkai|Alyssa de Villevieille
trp_alyssa_yunkai_pl|Alyssa de Villevieille
trp_galazza_common|Galazza
trp_galazza_common_pl|Galazza
trp_slave_1|esclave torturé
trp_slave_1_pl|esclave torturé
trp_slave_2|esclave torturé
trp_slave_2_pl|esclave torturé
trp_female_slave_1|Drane
trp_female_slave_1_pl|Drane
trp_female_slave_2|Loreah
trp_female_slave_2_pl|Loreah
trp_female_slave_3|Davveya
trp_female_slave_3_pl|Davveya
trp_female_slave_4|Eme
trp_female_slave_4_pl|Eme
trp_female_slave_5|Inavva
trp_female_slave_5_pl|Inavva
trp_yunkai_soldier_1|soldat esclave
trp_yunkai_soldier_1_pl|soldat esclave
trp_yunkai_soldier_2|soldat esclave
trp_yunkai_soldier_2_pl|soldat esclave
trp_yunkai_soldier_3|soldat esclave
trp_yunkai_soldier_3_pl|soldat esclave
trp_yunkai_soldier_4|soldat esclave
trp_yunkai_soldier_4_pl|soldat esclave
trp_khrazz|Khrazz
trp_khrazz_pl|Khrazz
trp_belaquo|Belaquo Bonebreaker
trp_belaquo_pl|Belaquo Bonebreaker
trp_alkoz|Alkoz
trp_alkoz_pl|Alkoz
trp_hazrak|Hazrak
trp_hazrak_pl|Hazrak
trp_mazdhan|Mazdhan
trp_mazdhan_pl|Mazdhan
trp_zharak|Zharak
trp_zharak_pl|Zharak
trp_barristan|Ser Barristan Selmy
trp_barristan_pl|Ser Barristan Selmy
trp_daario|Daario Naharis
trp_daario_pl|Daario Naharis
trp_grey_worm|ver gris
trp_grey_worm_pl|ver gris
trp_reznak|Reznak mo Reznak
trp_reznak_pl|Reznak mo Reznak
; trp_skahaz|Graz mo Kandaq
; trp_skahaz_pl|Graz mo Kandaq
trp_jhogo|Jhogo
trp_jhogo_pl|Jhogo
trp_aggo|Aggo
trp_aggo_pl|Aggo
trp_rakharo|Rakharo
trp_rakharo_pl|Rakharo
trp_galazza|Galazza Galare
trp_galazza_pl|Galazza Galare
trp_grazdam|Grazdam zo Galare
trp_grazdam_pl|Grazdam zo Galare
trp_hizdahr|Hizdahr zo Loraq
trp_hizdahr_pl|Hizdahr zo Loraq
trp_unsullied_1|Immaculé
trp_unsullied_1_pl|Immaculés
trp_unsullied_2|Immaculé
trp_unsullied_2_pl|Immaculés
trp_unsullied_3|Immaculé
trp_unsullied_3_pl|Immaculés
trp_unsullied_4|Immaculé
trp_unsullied_4_pl|Immaculés
trp_unsullied_5|Immaculé
trp_unsullied_5_pl|Immaculés
trp_unsullied_6|Immaculé
trp_unsullied_6_pl|Immaculés
trp_unsullied_7|Immaculé
trp_unsullied_7_pl|Immaculés
trp_unsullied_8|Immaculé
trp_unsullied_8_pl|Immaculés
trp_unsullied_9|Immaculé
trp_unsullied_9_pl|Immaculés
trp_unsullied_10|Immaculé
trp_unsullied_10_pl|Immaculés
trp_unsullied_11|Immaculé
trp_unsullied_11_pl|Immaculés
trp_unsullied_12|Immaculé
trp_unsullied_12_pl|Immaculés
trp_unsullied_13|Immaculé
trp_unsullied_13_pl|Immaculés
trp_unsullied_14|Immaculé
trp_unsullied_14_pl|Immaculés
trp_unsullied_15|Immaculé
trp_unsullied_15_pl|Immaculés
trp_unsullied_16|Immaculé
trp_unsullied_16_pl|Immaculés
trp_unsullied_17|Immaculé
trp_unsullied_17_pl|Immaculés
trp_unsullied_18|Immaculé
trp_unsullied_18_pl|Immaculés
trp_unsullied_19|Immaculé
trp_unsullied_19_pl|Immaculés
trp_unsullied_20|Immaculé
trp_unsullied_20_pl|Immaculés
trp_kingdom_heroes_including_player_begin|Héros du royaume dont le joueur début
trp_kingdom_heroes_including_player_begin_pl|Héros du royaume dont le joueur début
; trp_npc1|Ser Bennis of Hollow Hill
; trp_npc1_pl|Ser Bennis of Hollow Hill
trp_npc2|Maron
trp_npc2_pl|Maron
; trp_npc3|Alyn
; trp_npc3_pl|Alyn
trp_npc4|Graznon zo Paton
trp_npc4_pl|Graznon zo Paton
trp_npc5|Ser Felton Flowers
trp_npc5_pl|Ser Felton Flowers
trp_npc6|Martyn Snow
trp_npc6_pl|Martyn Snow
trp_npc7|Ser Jasper Rivers
trp_npc7_pl|Ser Jasper Rivers
trp_npc8|Halbert Crowshead
trp_npc8_pl|Halbert Crowshead
trp_npc9|Kanosos l'Obstiné
trp_npc9_pl|Kanosos l'Obstiné
; trp_npc10|Mavros Sand
; trp_npc10_pl|Mavros Sand
trp_npc11|Garrett Longley
trp_npc11_pl|Garrett Longley
trp_npc12|Brynden Storm
trp_npc12_pl|Brynden Storm
; trp_npc13|Ser Roger Osgrey
; trp_npc13_pl|Ser Roger Osgrey
trp_npc14|Drollo
trp_npc14_pl|Drollo
trp_npc15|Arratos Entarion
trp_npc15_pl|Arratos Entarion
; trp_npc16|Ser Clavis Lyber
; trp_npc16_pl|Ser Clavis Lyber
trp_npc17|Serol Lynaqo
trp_npc17_pl|Serol Lynaqo
trp_npc18|Gyrnir Pyke
trp_npc18_pl|Gyrnir Pyke
; trp_npc19|Saathos
; trp_npc19_pl|Saathos
trp_npc20|Bilaquo Mentarios
trp_npc20_pl|Bilaquo Mentarios
trp_npc21|Berengar Parren
trp_npc21_pl|Berengar Parren
trp_npc22|Alen Cargyll
trp_npc22_pl|Alen Cargyll
trp_npc23|Fenna
trp_npc23_pl|Fenna
trp_npc24|Roderick
trp_npc24_pl|Roderick
trp_npc25|Carver
trp_npc25_pl|Carver
trp_npc26|Caul
trp_npc26_pl|Caul
; trp_npc27|Melly Waterman
; trp_npc27_pl|Melly Waterman
; trp_npc28|Ser Titus Harper
; trp_npc28_pl|Ser Titus Harper
trp_kingdom_1_lord|Roi Renly Baratheon
trp_kingdom_1_lord_pl|Roi Renly Baratheon
trp_kingdom_2_lord|Roi Robb Stark
trp_kingdom_2_lord_pl|Roi Robb Stark
trp_kingdom_3_lord|Seigneur Nestor Royce
trp_kingdom_3_lord_pl|Seigneur Nestor Royce
trp_kingdom_4_lord|Seigneur de la Mer Ferrago Antaryon
trp_kingdom_4_lord_pl|Seigneur de la Mer Ferrago Antaryon
; trp_kingdom_5_lord|Archon Sharako Mortello
; trp_kingdom_5_lord_pl|Archon Sharako Mortello
trp_kingdom_6_lord|Prince Oberyn Nymeros Martell
trp_kingdom_6_lord_pl|Prince Oberyn Nymeros Martell
trp_kingdom_8_lord|Roi Stannis Baratheon
trp_kingdom_8_lord_pl|Roi Stannis Baratheon
trp_kingdom_9_lord|Seigneur Tywin Lannister
trp_kingdom_9_lord_pl|Seigneur Tywin Lannister
trp_kingdom_10_lord|Seigneur Mace Tyrell
trp_kingdom_10_lord_pl|Seigneur Mace Tyrell
trp_kingdom_11_lord|Roi Balon Greyjoy
trp_kingdom_11_lord_pl|Roi Balon Greyjoy
; trp_kingdom_12_lord|Prince Morello
; trp_kingdom_12_lord_pl|Prince Morello
; trp_kingdom_13_lord|Archon Bessaro Omosethes
; trp_kingdom_13_lord_pl|Archon Bessaro Omosethes
; trp_kingdom_14_lord|Archon Coloqo Elemos
; trp_kingdom_14_lord_pl|Archon Coloqo Elemos
; trp_kingdom_15_lord|Prince Lotho Saskos
; trp_kingdom_15_lord_pl|Prince Lotho Saskos
trp_kingdom_16_lord|Triarque Malaquo Maegyr
trp_kingdom_16_lord_pl|Triarque Malaquo Maegyr
; trp_kingdom_17_lord|High Priest Caltos
; trp_kingdom_17_lord_pl|High Priest Caltos
; trp_kingdom_18_lord|Archon Marro Balar
; trp_kingdom_18_lord_pl|Archon Marro Balar
trp_kingdom_19_lord|Seigneur Triston Sunderland
trp_kingdom_19_lord_pl|Seigneur Triston Sunderland
trp_kingdom_20_lord|Roi Aegon Targaryen
trp_kingdom_20_lord_pl|Roi Aegon Targaryen
trp_kingdom_21_lord|Mance Rayder
trp_kingdom_21_lord_pl|Mance Rayder
trp_kingdom_22_lord|Khal Pono
trp_kingdom_22_lord_pl|Khal Pono
trp_knight_1_1|Seigneur Sebastion Errol
trp_knight_1_1_pl|Seigneur Sebastion Errol
trp_knight_1_2|Seigneur Ralph Buckler
trp_knight_1_2_pl|Seigneur Ralph Buckler
; trp_knight_1_3|Lord Selwyn Tarth
; trp_knight_1_3_pl|Lord Selwyn Tarth
trp_knight_1_4|Seigneur Lester Morrigen
trp_knight_1_4_pl|Seigneur Lester Morrigen
trp_knight_1_5|Seigneur Hugh Grandison
trp_knight_1_5_pl|Seigneur Hugh Grandison
trp_knight_1_7|Seigneur Philip Fell
trp_knight_1_7_pl|Seigneur Philip Fell
trp_knight_1_8|Seigneur Bryce Caron
trp_knight_1_8_pl|Seigneur Bryce Caron
trp_knight_1_9|Ser Loras Tyrell
trp_knight_1_9_pl|Ser Loras Tyrell
trp_knight_1_10|Ser Ronnet Connington
trp_knight_1_10_pl|Ser Ronnet Connington
trp_knight_1_11|Seigneur Eldon Estremont
trp_knight_1_11_pl|Seigneur Eldon Estremont
trp_knight_1_12|Seigneur Casper Wylde
trp_knight_1_12_pl|Seigneur Casper Wylde
trp_knight_1_14|Ser Donnel Swann
trp_knight_1_14_pl|Ser Donnel Swann
trp_knight_1_15|Ser Rickard Morrigen
trp_knight_1_15_pl|Ser Rickard Morrigen
trp_knight_1_16|Ser Mycah Mertyns
trp_knight_1_16_pl|Ser Mycah Mertyns
trp_knight_1_18|Seigneur Gulian Swann
trp_knight_1_18_pl|Seigneur Gulian Swann
trp_knight_2_1|Seigneur Jon Ombre
trp_knight_2_1_pl|Seigneur Jon Ombre
trp_knight_2_2|Seigneur Rickard Karstark
trp_knight_2_2_pl|Seigneur Rickard Karstark
trp_knight_2_3|Seigneur Roose Bolton
trp_knight_2_3_pl|Seigneur Roose Bolton
trp_knight_2_4|Seigneur Robin Flint
trp_knight_2_4_pl|Seigneur Robin Flint
trp_knight_2_5|Seigneur Medger Cerwyn
trp_knight_2_5_pl|Seigneur Medger Cerwyn
trp_knight_2_6|Ser Wylis Manderly
trp_knight_2_6_pl|Ser Wylis Manderly
; trp_knight_2_7|Galbart Glover
; trp_knight_2_7_pl|Galbart Glover
; trp_knight_2_8|Ser Helman Tallhart
; trp_knight_2_8_pl|Ser Helman Tallhart
trp_knight_2_9|Seigneur Rodrik Ryswell
trp_knight_2_9_pl|Seigneur Rodrik Ryswell
trp_knight_2_11|Robett Glover
trp_knight_2_11_pl|Robett Glover
trp_knight_2_12|Seigneur Ondrew Locke
trp_knight_2_12_pl|Seigneur Ondrew Locke
trp_knight_2_13|Jon Omble
trp_knight_2_13_pl|Jon Omble
trp_knight_2_14|Harrion Karstark
trp_knight_2_14_pl|Harrion Karstark
trp_knight_2_15|Ser Wendel Manderly
trp_knight_2_15_pl|Ser Wendel Manderly
; trp_knight_2_18|Roger Ryswell
; trp_knight_2_18_pl|Roger Ryswell
trp_knight_2_21|Leobald Tallhart
trp_knight_2_21_pl|Leobald Tallhart
trp_knight_2_22|Maege Mormont
trp_knight_2_22_pl|Maege Mormont
trp_knight_2_23|Donella Hornwood
trp_knight_2_23_pl|Donella Hornwood
trp_knight_2_24|Seigneur Wyman Manderly
trp_knight_2_24_pl|Seigneur Wyman Manderly
trp_knight_5_1|Ser Stevron Frey
trp_knight_5_1_pl|Ser Stevron Frey
trp_knight_5_2|Ser Walder Frey
trp_knight_5_2_pl|Ser Walder Frey
trp_knight_5_3|Ser Edmun Frey
trp_knight_5_3_pl|Ser Edmun Frey
trp_knight_5_4|Seigneur Jason Mallister
trp_knight_5_4_pl|Seigneur Jason Mallister
trp_knight_5_5|Lord Tytos Nerbosc
trp_knight_5_5_pl|Lord Tytos Nerbosc
trp_knight_5_6|Seigneur Jonos Bracken
trp_knight_5_6_pl|Seigneur Jonos Bracken
trp_knight_5_7|Seigneur Theomar Petitbois
trp_knight_5_7_pl|Seigneur Theomar Petitbois
trp_knight_5_8|Seigneur Clement Piper
trp_knight_5_8_pl|Seigneur Clement Piper
trp_knight_5_9|Ser Marq Piper
trp_knight_5_9_pl|Ser Marq Piper
trp_knight_5_10|Ser Brynden Tully
trp_knight_5_10_pl|Ser Brynden Tully
trp_knight_5_11|Lord William Mouton
trp_knight_5_11_pl|Seigneur William Mouton
trp_knight_5_13|Ser Ryman Frey
trp_knight_5_13_pl|Ser Ryman Frey
trp_knight_5_14|Seigneur Karyl Vance
trp_knight_5_14_pl|Seigneur Karyl Vance
trp_knight_5_15|Ser Patrek Mallister
trp_knight_5_15_pl|Ser Patrek Mallister
; trp_knight_5_16|Ser Edmure Tully
; trp_knight_5_16_pl|Ser Edmure Tully
trp_knight_3_1|Seigneur Royce Coldwater
trp_knight_3_1_pl|Seigneur Royce Coldwater
trp_knight_3_2|Seigneur Benedar Belmore
trp_knight_3_2_pl|Seigneur Benedar Belmore
trp_knight_3_3|Seigneur Lyonel Corbray
trp_knight_3_3_pl|Seigneur Lyonel Corbray
trp_knight_3_4|Ser Lyn Corbray
trp_knight_3_4_pl|Ser Lyn Corbray
trp_knight_3_5|Seigneur Gilwood Hunter
trp_knight_3_5_pl|Seigneur Gilwood Hunter
; trp_knight_3_6|Ser Eustace Hunter
; trp_knight_3_6_pl|Ser Eustace Hunter
trp_knight_3_7|Ser Morton Waynwood
trp_knight_3_7_pl|Ser Morton Waynwood
trp_knight_3_8|Ser Donnel Waynwood
trp_knight_3_8_pl|Ser Donnel Waynwood
trp_knight_3_9|Seigneur Jon Lynderly
trp_knight_3_9_pl|Seigneur Jon Lynderly
trp_knight_3_10|Seigneur Gerold Grafton
trp_knight_3_10_pl|Seigneur Gerold Grafton
trp_knight_3_11|Lord Edmund Waxley
trp_knight_3_11_pl|Lord Edmund Waxley
trp_knight_3_12|Seigneur Yohn Royce
trp_knight_3_12_pl|Seigneur Yohn Royce
trp_knight_3_13|Seigneur Horton Redfort
trp_knight_3_13_pl|Seigneur Horton Redfort
trp_knight_3_14|Ser Jasper Redfort
trp_knight_3_14_pl|Ser Jasper Redfort
trp_knight_3_15|Ser Andar Royce
trp_knight_3_15_pl|Ser Andar Royce
trp_knight_3_22|Ser Mortas Coldwater
trp_knight_3_22_pl|Ser Mortas Coldwater
trp_knight_3_23|Seigneur Byron Melcolm
trp_knight_3_23_pl|Lord Byron Melcolm
trp_knight_3_24|Ser Symond Templeton
trp_knight_3_24_pl|Ser Symond Templeton
trp_knight_3_25|Anya Waynwood
trp_knight_3_25_pl|Anya Waynwood
trp_knight_4_1|Première épée Qarro Volentin
trp_knight_4_1_pl|Première épée Qarro Volentin
; trp_knight_4_2|Admiral Torone Otherys
; trp_knight_4_2_pl|Admiral Torone Otherys
trp_knight_4_3|Pranelis Otharys
trp_knight_4_3_pl|Pranelis Otharys
trp_knight_4_4|Tormo Fregar
trp_knight_4_4_pl|Tormo Fregar
; trp_knight_4_5|Denyo Antaryon
; trp_knight_4_5_pl|Denyo Antaryon
; trp_knight_4_6|Tybio Antaryon
; trp_knight_4_6_pl|Tybio Antaryon
; trp_knight_4_7|Lotharo Erosenes
; trp_knight_4_7_pl|Lotharo Erosenes
; trp_knight_4_8|Donalo Prestayn
; trp_knight_4_8_pl|Donalo Prestayn
